   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  2.6e-01  0.0e+00  0.0e+00
   1  T 0   1.295e+08  -1e-01  0.00  1.0e-01  9.3e-02  1.0e-01  4.3e+00  1.4e-01  6.9e-03  1.5e-01
   2  F 0   5.526e+10  -1e-01  0.26  1.0e-01  2.9e+01  1.0e-01  5.1e+00  1.5e-01  2.3e-03  1.6e-01
   3  T 0   8.445e+07  -2e-01  0.22  1.0e-01  1.7e-02  1.0e-01  5.4e+00  1.5e-01  2.3e-03  1.5e-01
   4  F 0   2.765e+09  -2e-01  0.36  1.0e-01  1.6e+01  1.0e-01  4.9e+00  1.4e-01  1.7e-03  1.5e-01
   5  T 0   3.327e+07  -4e-01  0.29  1.0e-01  2.8e-03  1.0e-01  5.1e+00  1.6e-01  1.5e-03  1.6e-01
   6  T 0   2.762e+07  -4e-01  0.46  1.0e-01  1.4e-01  1.0e-01  4.5e+00  1.4e-01  1.3e-03  1.4e-01
   7  T 0   1.584e+07  -5e-01  0.47  1.0e-01  9.2e-03  1.0e-01  3.6e+00  1.5e-01  1.3e-03  1.5e-01
   8  T 0   1.283e+07  -7e-01  0.47  1.0e-01  8.1e-02  1.0e-01  3.3e+00  1.6e-01  1.3e-03  1.6e-01
   9  F 0   1.225e+07  -8e-01  0.53  1.0e-01  1.4e-02  1.0e-01  3.2e+00  1.4e-01  1.3e-03  1.4e-01
  10  T 0   8.863e+06  -8e-01  0.55  1.0e-01  9.7e-03  1.0e-01  2.8e+00  1.4e-01  1.3e-03  1.5e-01
  11  T 0   8.454e+06  -9e-01  0.59  1.0e-01  1.6e-03  1.0e-01  2.5e+00  1.6e-01  1.2e-03  1.6e-01
  12  T 0   7.500e+06  -8e-01  0.63  1.0e-01  6.7e-04  1.0e-01  2.0e+00  2.0e-01  1.3e-03  2.0e-01
  13  T 0   6.755e+06  -8e-01  0.66  1.0e-01  6.3e-04  1.0e-01  1.6e+00  1.8e-01  1.3e-03  1.8e-01
  14  T 0   6.274e+06  -7e-01  0.69  1.0e-01  2.5e-03  1.0e-01  1.4e+00  1.7e-01  1.3e-03  1.8e-01
  15  T 0   6.199e+06  -6e-01  0.71  1.0e-01  1.8e-03  1.0e-01  1.4e+00  1.9e-01  1.3e-03  1.9e-01
  16  T 0   5.745e+06  -6e-01  0.72  1.0e-01  5.9e-04  1.0e-01  1.4e+00  2.1e-01  1.2e-03  2.1e-01
  17  T 0   5.309e+06  -5e-01  0.75  1.0e-01  1.5e-03  1.0e-01  1.3e+00  1.3e-01  1.3e-03  1.4e-01
  18  T 0   5.052e+06  -4e-01  0.77  1.0e-01  4.9e-04  1.0e-01  1.3e+00  1.4e-01  1.3e-03  1.5e-01
  19  T 0   4.816e+06  -4e-01  0.78  1.0e-01  7.7e-04  1.0e-01  1.2e+00  1.6e-01  1.3e-03  1.6e-01
  20  T 0   4.575e+06  -3e-01  0.80  1.0e-01  1.5e-03  1.0e-01  1.1e+00  1.5e-01  1.3e-03  1.5e-01
  21  T 0   4.374e+06  -3e-01  0.83  1.0e-01  8.3e-04  1.0e-01  1.0e+00  2.0e-01  1.3e-03  2.0e-01
  22  T 0   4.187e+06  -2e-01  0.84  1.0e-01  8.3e-04  1.0e-01  1.1e+00  1.6e-01  1.3e-03  1.7e-01
  23  T 0   4.068e+06  -2e-01  0.84  1.0e-01  1.8e-03  1.0e-01  1.1e+00  1.6e-01  1.5e-03  1.6e-01
  24  T 0   3.970e+06  -2e-01  0.85  1.0e-01  1.5e-03  1.0e-01  1.3e+00  1.5e-01  1.3e-03  1.5e-01
  25  T 0   3.918e+06  -2e-01  0.85  1.0e-01  1.1e-03  1.0e-01  1.4e+00  1.4e-01  1.3e-03  1.4e-01
  26  F 0   3.948e+06  -1e-01  0.84  1.0e-01  9.2e-04  1.0e-01  1.7e+00  2.6e-01  1.4e-03  2.6e-01
  27  T 0   3.787e+06  -2e-01  0.85  1.0e-01  1.9e-03  1.0e-01  1.7e+00  1.7e-01  1.4e-03  1.7e-01
  28  T 0   3.684e+06  -1e-01  0.84  1.0e-01  1.3e-03  1.0e-01  1.6e+00  1.4e-01  1.3e-03  1.4e-01
