   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  3.3e-01  0.0e+00  0.0e+00
   1  T 0   1.119e+08  -5e-06  0.50  1.0e-01  4.7e-02  1.0e-01  6.0e+00  1.5e-01  4.7e-03  1.6e-01
   2  T 0   3.886e+07  -4e-06  0.47  1.0e-01  6.9e-03  1.0e-01  2.8e+00  1.5e-01  1.6e-03  1.5e-01
   3  T 0   2.750e+07  -7e-03  0.47  1.0e-01  2.6e-03  1.0e-01  1.1e+00  1.4e-01  1.1e-03  1.4e-01
   4  T 0   1.907e+07  -7e-03  0.47  1.0e-01  1.3e-03  1.0e-01  1.4e+00  1.4e-01  8.1e-04  1.4e-01
   5  T 0   1.166e+07  -2e-06  0.54  1.0e-01  7.4e-04  1.0e-01  2.0e+00  1.5e-01  1.2e-03  1.5e-01
   6  T 0   6.667e+06  -1e-05  0.65  1.0e-01  4.3e-03  1.0e-01  3.7e+00  1.4e-01  1.5e-03  1.4e-01
   7  T 0   5.128e+06  -9e-03  0.75  1.0e-01  1.0e-03  1.0e-01  3.2e+00  1.4e-01  9.7e-04  1.4e-01
   8  T 0   4.195e+06  -4e-02  0.78  1.0e-01  1.4e-03  1.0e-01  2.7e+00  1.4e-01  9.7e-04  1.4e-01
   9  T 0   3.893e+06  -6e-02  0.76  1.0e-01  2.8e-04  1.0e-01  1.3e+00  1.4e-01  7.9e-04  1.5e-01
  10  T 0   3.582e+06  -5e-02  0.78  1.0e-01  1.1e-04  8.8e-02  7.7e-01  1.6e-01  8.4e-04  1.6e-01
  11  T 0   3.436e+06  -5e-02  0.78  1.0e-01  1.8e-04  7.1e-02  4.7e-01  1.7e-01  8.7e-04  1.7e-01
  12  T 0   3.061e+06  -4e-02  0.83  1.0e-01  1.1e-03  1.0e-01  2.6e+00  2.4e-01  9.0e-04  2.5e-01
  13  T 0   2.944e+06  -5e-02  0.83  1.0e-01  6.2e-05  1.0e-01  8.6e-01  1.5e-01  8.9e-04  1.6e-01
  14  T 0   2.881e+06  -4e-02  0.84  1.0e-01  6.7e-05  8.0e-02  6.0e-01  2.3e-01  9.1e-04  2.3e-01
  15  T 0   2.827e+06  -4e-02  0.84  1.0e-01  6.1e-05  9.8e-02  5.8e-01  1.7e-01  9.1e-04  1.7e-01
  16  T 0   2.779e+06  -3e-02  0.85  1.0e-01  7.5e-05  8.5e-02  5.6e-01  2.5e-01  9.1e-04  2.5e-01
  17  T 0   2.734e+06  -3e-02  0.86  1.0e-01  7.0e-05  9.1e-02  5.5e-01  2.1e-01  8.9e-04  2.1e-01
  18  T 0   2.694e+06  -3e-02  0.87  1.0e-01  6.0e-05  6.5e-02  4.7e-01  1.5e-01  8.9e-04  1.5e-01
  19  T 0   2.655e+06  -2e-02  0.87  1.0e-01  6.0e-05  8.2e-02  4.8e-01  1.7e-01  9.3e-04  1.7e-01
  20  T 0   2.613e+06  -1e-02  0.89  1.0e-01  6.2e-05  8.1e-02  6.4e-01  1.6e-01  8.9e-04  1.6e-01
  21  T 0   2.607e+06  -7e-03  0.90  1.0e-01  9.0e-05  1.0e-01  9.0e-01  2.2e-01  9.2e-04  2.2e-01
  22  T 0   2.583e+06  -6e-07  0.89  1.0e-01  1.1e-04  1.0e-01  7.9e-01  1.7e-01  1.3e-03  1.7e-01
  23  T 0   2.535e+06  -9e-07  0.90  1.0e-01  3.1e-05  8.5e-02  4.2e-01  1.7e-01  1.3e-03  1.7e-01
  24  T 0   2.525e+06   3e-08  0.91  1.0e-01  2.9e-05  2.5e-02  1.5e-01  1.7e-01  1.2e-03  1.8e-01
  25  T 0   2.509e+06   3e-06  0.92  1.0e-01  1.5e-05  3.8e-02  3.0e-01  1.7e-01  1.2e-03  1.7e-01
  26  T 0   2.458e+06  -7e-06  0.94  1.0e-01  1.2e-05  1.0e-01  1.5e+00  1.8e-01  1.6e-03  1.8e-01
  27  T 0   2.441e+06  -2e-05  0.96  1.0e-01  3.9e-05  1.0e-01  1.3e+00  1.6e-01  1.7e-03  1.6e-01
