   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  3.2e-01  0.0e+00  0.0e+00
   1  T 0   1.409e+08  -1e-05  0.20  1.0e-01  3.8e-02  1.0e-01  5.1e+00  2.6e+00  5.3e-03  2.6e+00
   2  F 0   1.409e+08  -1e-05  0.20  1.0e-01  3.8e-02  0.0e+00  0.0e+00  2.2e-01  1.8e-03  2.2e-01
   2  T 1   8.076e+07   5e-07  0.28  1.0e-01  1.8e-02  1.0e-01  1.4e+00  1.4e-01  1.6e-03  1.5e-01
   3  T 0   4.076e+07  -1e-05  0.40  1.0e-01  9.1e-03  1.0e-01  4.7e+00  2.0e-01  1.6e-03  2.0e-01
   4  T 0   1.779e+07  -7e-02  0.53  1.0e-01  2.3e-03  1.0e-01  4.4e+00  2.0e-01  1.2e-03  2.0e-01
   5  T 0   1.091e+07  -6e-06  0.62  1.0e-01  6.8e-02  1.0e-01  3.9e+00  1.5e-01  1.7e-03  1.6e-01
   6  T 0   8.844e+06  -6e-06  0.70  1.0e-01  3.0e-03  1.0e-01  3.5e+00  1.4e-01  1.6e-03  1.4e-01
   7  T 0   6.879e+06  -5e-06  0.71  1.0e-01  1.4e-03  1.0e-01  3.1e+00  1.5e-01  1.7e-03  1.5e-01
   8  T 0   6.394e+06  -4e-02  0.73  1.0e-01  6.4e-04  1.0e-01  2.9e+00  1.4e-01  1.2e-03  1.4e-01
   9  T 0   5.679e+06  -1e-02  0.74  1.0e-01  3.8e-04  1.0e-01  2.7e+00  1.7e-01  1.0e-03  1.7e-01
  10  T 0   5.315e+06  -8e-02  0.76  1.0e-01  4.9e-04  1.0e-01  2.4e+00  1.5e-01  1.0e-03  1.5e-01
  11  T 0   4.794e+06  -3e-02  0.76  1.0e-01  2.9e-04  1.0e-01  2.0e+00  1.5e-01  1.1e-03  1.5e-01
  12  T 0   4.300e+06  -9e-02  0.78  1.0e-01  2.1e-04  1.0e-01  1.8e+00  1.4e-01  1.0e-03  1.4e-01
  13  T 0   3.966e+06  -9e-02  0.80  1.0e-01  1.6e-04  1.0e-01  1.4e+00  1.7e-01  1.0e-03  1.7e-01
  14  T 0   3.729e+06  -1e-01  0.81  1.0e-01  1.2e-04  1.0e-01  1.4e+00  1.4e-01  1.1e-03  1.4e-01
  15  T 0   3.528e+06  -1e-01  0.82  1.0e-01  3.3e-04  1.0e-01  1.4e+00  1.4e-01  9.9e-04  1.4e-01
  16  T 0   3.364e+06  -1e-01  0.83  1.0e-01  3.3e-04  1.0e-01  1.3e+00  1.4e-01  1.0e-03  1.4e-01
  17  T 0   3.241e+06  -9e-02  0.84  1.0e-01  1.8e-04  1.0e-01  1.3e+00  1.5e-01  9.9e-04  1.5e-01
  18  T 0   3.183e+06  -8e-02  0.85  1.0e-01  2.9e-04  1.0e-01  1.4e+00  1.4e-01  1.0e-03  1.4e-01
  19  T 0   3.101e+06  -4e-02  0.84  1.0e-01  6.0e-04  1.0e-01  1.4e+00  1.5e-01  1.0e-03  1.5e-01
  20  T 0   3.013e+06  -4e-02  0.86  1.0e-01  2.6e-04  1.0e-01  1.3e+00  2.0e-01  1.0e-03  2.0e-01
  21  T 0   2.944e+06  -1e-02  0.86  1.0e-01  2.9e-04  1.0e-01  1.1e+00  1.5e-01  1.0e-03  1.5e-01
  22  T 0   2.867e+06  -4e-03  0.87  1.0e-01  2.6e-04  1.0e-01  9.9e-01  1.6e-01  1.0e-03  1.6e-01
  23  T 0   2.812e+06  -3e-07  0.89  1.0e-01  3.1e-04  1.0e-01  7.6e-01  1.7e-01  1.6e-03  1.7e-01
  24  T 0   2.769e+06   4e-06  0.90  1.0e-01  1.7e-04  1.0e-01  7.0e-01  2.2e-01  1.8e-03  2.3e-01
  25  T 0   2.737e+06  -2e-07  0.91  1.0e-01  1.7e-04  1.0e-01  6.6e-01  2.1e-01  1.6e-03  2.1e-01
  26  T 0   2.708e+06   1e-05  0.92  1.0e-01  2.4e-04  1.0e-01  6.4e-01  2.1e-01  1.5e-03  2.2e-01
  27  T 0   2.677e+06   6e-06  0.92  1.0e-01  3.7e-04  1.0e-01  6.4e-01  1.9e-01  1.5e-03  1.9e-01
  28  T 0   2.647e+06  -2e-05  0.93  1.0e-01  2.0e-04  1.0e-01  6.0e-01  1.4e-01  1.4e-03  1.4e-01
  29  T 0   2.621e+06   2e-06  0.93  1.0e-01  3.3e-04  1.0e-01  5.9e-01  1.5e-01  1.6e-03  1.5e-01
  30  T 0   2.595e+06  -4e-05  0.93  1.0e-01  9.7e-05  1.0e-01  5.5e-01  1.5e-01  1.4e-03  1.5e-01
  31  T 0   2.572e+06  -4e-06  0.94  1.0e-01  1.1e-04  1.0e-01  5.6e-01  1.9e-01  1.4e-03  1.9e-01
  32  T 0   2.549e+06  -2e-05  0.94  1.0e-01  1.5e-04  1.0e-01  5.5e-01  1.4e-01  1.7e-03  1.4e-01
  33  T 0   2.528e+06   2e-05  0.95  1.0e-01  2.3e-04  1.0e-01  5.3e-01  1.6e-01  1.4e-03  1.6e-01
  34  T 0   2.510e+06  -2e-05  0.96  1.0e-01  3.3e-04  1.0e-01  4.9e-01  1.4e-01  1.7e-03  1.4e-01
  35  T 0   2.499e+06   7e-06  0.96  1.0e-01  3.9e-04  1.0e-01  4.7e-01  1.4e-01  1.4e-03  1.4e-01
  36  T 0   2.491e+06  -5e-06  0.95  1.0e-01  4.6e-05  1.0e-01  5.3e-01  1.7e-01  1.4e-03  1.7e-01
  37  T 0   2.485e+06   3e-06  0.96  1.0e-01  5.9e-05  1.0e-01  4.6e-01  1.6e-01  1.5e-03  1.6e-01
