   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   5.388e+09   2e-02  0.00  1.0e-01  7.5e+02  1.0e+00  1.0e+00  3.8e-01  0.0e+00  0.0e+00
   1  T 0   2.680e+09  -3e-05  0.00  1.0e-01  1.3e-02  1.0e-01  8.5e+00  2.7e-01  4.9e-03  2.8e-01
   2  T 0   1.636e+09  -8e-02  0.00  1.0e-01  5.5e-03  1.0e-01  5.0e+00  2.0e-01  1.3e-03  2.1e-01
   3  T 0   1.113e+09  -9e-02  0.10  1.0e-01  2.5e-03  1.0e-01  3.7e+00  1.9e-01  1.1e-03  2.0e-01
   4  T 0   7.698e+08  -1e-01  0.16  1.0e-01  1.4e-03  1.0e-01  4.3e+00  2.0e-01  1.1e-03  2.0e-01
   5  T 0   5.325e+08  -2e-01  0.27  1.0e-01  2.4e-03  1.0e-01  5.1e+00  1.9e-01  1.1e-03  1.9e-01
   6  F 0   5.325e+08  -2e-01  0.27  1.0e-01  2.4e-03  0.0e+00  0.0e+00  2.3e-01  1.2e-03  2.3e-01
   6  T 1   4.329e+08  -2e-01  0.33  1.0e-01  2.3e-03  1.0e-01  3.5e+00  2.0e-01  8.7e-04  2.0e-01
   7  T 0   3.500e+08  -3e-01  0.38  1.0e-01  7.7e-04  1.0e-01  4.7e+00  1.9e-01  1.1e-03  1.9e-01
   8  T 0   2.917e+08  -3e-01  0.43  1.0e-01  2.4e-04  1.0e-01  5.0e+00  1.9e-01  1.2e-03  2.0e-01
   9  T 0   2.519e+08  -4e-01  0.53  1.0e-01  4.5e-04  1.0e-01  5.3e+00  2.0e-01  1.1e-03  2.0e-01
  10  T 0   2.340e+08  -3e-01  0.64  1.0e-01  4.9e-04  1.0e-01  4.5e+00  2.0e-01  9.4e-04  2.0e-01
  11  T 0   2.210e+08  -3e-01  0.68  1.0e-01  9.5e-05  1.0e-01  3.4e+00  2.5e-01  1.2e-03  2.6e-01
  12  T 0   2.116e+08  -2e-01  0.73  1.0e-01  5.3e-05  1.0e-01  2.9e+00  2.1e-01  9.4e-04  2.1e-01
  13  F 0   2.116e+08  -2e-01  0.73  1.0e-01  5.3e-05  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.2e-01
  13  T 1   2.080e+08  -2e-01  0.75  1.0e-01  5.6e-05  9.2e-02  1.1e+00  2.1e-01  8.7e-04  2.1e-01
  14  T 0   2.002e+08  -2e-01  0.78  1.0e-01  1.0e-04  1.0e-01  3.1e+00  2.1e-01  1.2e-03  2.1e-01
  15  T 0   1.936e+08  -1e-01  0.82  1.0e-01  9.5e-05  1.0e-01  3.7e+00  2.2e-01  1.1e-03  2.2e-01
  16  T 0   1.879e+08  -1e-01  0.84  1.0e-01  6.1e-05  1.0e-01  3.5e+00  2.1e-01  1.2e-03  2.2e-01
  17  T 0   1.836e+08  -5e-02  0.86  1.0e-01  5.2e-05  1.0e-01  2.9e+00  2.4e-01  1.1e-03  2.4e-01
  18  T 0   1.804e+08  -4e-02  0.88  1.0e-01  1.0e-04  1.0e-01  2.5e+00  2.4e-01  1.2e-03  2.4e-01
  19  T 0   1.781e+08  -8e-03  0.89  1.0e-01  3.6e-05  1.0e-01  2.1e+00  2.4e-01  1.2e-03  2.5e-01
  20  T 0   1.767e+08  -5e-04  0.90  1.0e-01  3.0e-05  1.0e-01  1.8e+00  2.8e-01  1.2e-03  2.9e-01
  21  T 0   1.761e+08  -5e-07  0.91  1.0e-01  3.0e-05  1.0e-01  1.2e+00  2.1e-01  2.0e-03  2.1e-01
  22  T 0   1.757e+08  -6e-07  0.92  1.0e-01  2.6e-05  1.0e-01  9.3e-01  2.0e-01  1.8e-03  2.1e-01
  23  T 0   1.754e+08   3e-07  0.92  1.0e-01  2.1e-05  1.0e-01  7.2e-01  2.1e-01  2.0e-03  2.1e-01
  24  T 0   1.752e+08  -3e-06  0.93  1.0e-01  2.3e-05  1.0e-01  6.4e-01  2.2e-01  1.6e-03  2.2e-01
  25  T 0   1.749e+08   3e-06  0.93  1.0e-01  3.6e-05  1.0e-01  8.5e-01  2.1e-01  1.6e-03  2.2e-01
  26  T 0   1.748e+08  -9e-07  0.93  1.0e-01  2.9e-05  1.0e-01  8.1e-01  2.1e-01  1.6e-03  2.1e-01
  27  F 0   1.748e+08  -9e-07  0.93  1.0e-01  2.9e-05  0.0e+00  0.0e+00  2.2e-01  1.7e-03  2.3e-01
  27  T 1   1.747e+08   1e-06  0.93  1.0e-01  2.4e-05  1.5e-02  7.1e-02  2.1e-01  1.4e-03  2.1e-01
  28  T 0   1.746e+08  -2e-07  0.94  1.0e-01  2.4e-05  1.0e-01  5.2e-01  2.1e-01  1.6e-03  2.1e-01
  29  T 0   1.744e+08  -7e-08  0.94  1.0e-01  2.1e-05  9.8e-02  3.8e-01  2.1e-01  1.7e-03  2.1e-01
  30  T 0   1.743e+08   2e-06  0.94  1.0e-01  1.4e-05  6.4e-02  4.1e-01  2.0e-01  1.6e-03  2.1e-01
  31  T 0   1.742e+08  -2e-06  0.95  1.0e-01  1.7e-05  1.0e-01  8.0e-01  2.0e-01  1.6e-03  2.1e-01
  32  T 0   1.741e+08  -9e-07  0.95  1.0e-01  3.0e-05  1.0e-01  1.1e+00  2.0e-01  1.6e-03  2.0e-01
  33  F 0   1.741e+08  -9e-07  0.95  1.0e-01  3.0e-05  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  33  T 1   1.740e+08  -2e-07  0.95  1.0e-01  1.5e-05  3.3e-02  1.4e-01  2.3e-01  1.4e-03  2.3e-01
  34  T 0   1.739e+08  -5e-08  0.95  1.0e-01  1.3e-05  5.0e-02  2.6e-01  2.1e-01  1.7e-03  2.1e-01
  35  T 0   1.739e+08  -1e-07  0.95  1.0e-01  6.9e-06  3.3e-02  2.3e-01  2.0e-01  1.6e-03  2.0e-01
  36  T 0   1.737e+08  -9e-07  0.96  1.0e-01  8.1e-06  1.0e-01  8.2e-01  2.1e-01  1.6e-03  2.1e-01
  37  F 0   1.737e+08  -9e-07  0.96  1.0e-01  8.1e-06  0.0e+00  0.0e+00  2.1e-01  2.0e-03  2.2e-01
  37  T 1   1.736e+08  -3e-06  0.96  1.0e-01  1.0e-05  1.0e-01  6.3e-01  2.0e-01  1.3e-03  2.1e-01
  38  F 0   1.736e+08  -3e-06  0.96  1.0e-01  1.0e-05  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  38  T 1   1.736e+08  -6e-08  0.96  1.0e-01  5.8e-06  3.4e-02  1.5e-01  2.2e-01  1.3e-03  2.2e-01
  39  T 0   1.736e+08   2e-07  0.96  1.0e-01  5.5e-06  4.7e-02  2.5e-01  2.1e-01  1.8e-03  2.2e-01
  40  T 0   1.734e+08  -5e-07  0.96  1.0e-01  1.2e-05  1.0e-01  1.1e+00  2.7e-01  1.6e-03  2.7e-01
  41  F 0   1.734e+08  -5e-07  0.96  1.0e-01  1.2e-05  0.0e+00  0.0e+00  2.5e-01  1.6e-03  2.5e-01
  41  T 1   1.734e+08  -2e-06  0.96  1.0e-01  1.5e-05  1.0e-01  5.8e-01  2.3e-01  1.4e-03  2.3e-01
  42  T 0   1.734e+08   4e-07  0.96  1.0e-01  9.8e-06  8.0e-02  4.2e-01  2.3e-01  1.7e-03  2.3e-01
  43  T 0   1.733e+08   6e-07  0.96  1.0e-01  5.9e-06  3.0e-02  1.8e-01  3.1e-01  1.6e-03  3.1e-01
  44  T 0   1.733e+08  -1e-05  0.96  1.0e-01  6.0e-06  4.0e-02  1.8e-01  2.2e-01  1.4e-03  2.2e-01
  45  T 0   1.733e+08  -4e-07  0.97  1.0e-01  2.0e-05  1.0e-01  1.3e+00  2.2e-01  1.8e-03  2.2e-01
  46  F 0   1.733e+08  -4e-07  0.97  1.0e-01  2.0e-05  0.0e+00  0.0e+00  2.1e-01  1.9e-03  2.1e-01
  46  T 1   1.732e+08  -1e-06  0.96  1.0e-01  8.6e-06  9.7e-02  4.4e-01  2.2e-01  1.4e-03  2.2e-01
  47  T 0   1.731e+08  -6e-07  0.96  1.0e-01  6.3e-06  3.2e-02  1.5e-01  2.3e-01  1.7e-03  2.3e-01
  48  T 0   1.731e+08   3e-08  0.96  1.0e-01  6.1e-06  7.5e-02  3.0e-01  2.1e-01  1.6e-03  2.1e-01
  49  F 0   1.731e+08   3e-08  0.96  1.0e-01  6.1e-06  0.0e+00  0.0e+00  2.4e-01  1.7e-03  2.5e-01
  49  T 1   1.730e+08  -1e-06  0.97  1.0e-01  5.1e-06  9.2e-02  4.4e-01  2.3e-01  1.4e-03  2.3e-01
  50  F 0   1.730e+08  -1e-06  0.97  1.0e-01  5.1e-06  0.0e+00  0.0e+00  2.1e-01  1.6e-03  2.1e-01
  50  T 1   1.730e+08  -4e-08  0.97  1.0e-01  5.1e-06  5.1e-02  2.8e-01  2.2e-01  1.6e-03  2.2e-01
  51  T 0   1.730e+08  -2e-07  0.96  1.0e-01  9.1e-06  6.1e-02  3.8e-01  2.1e-01  1.6e-03  2.1e-01
  52  T 0   1.730e+08   6e-07  0.96  1.0e-01  9.2e-06  7.5e-02  3.9e-01  2.0e-01  1.5e-03  2.0e-01
  53  T 0   1.729e+08  -3e-08  0.96  1.0e-01  6.5e-06  4.9e-02  2.6e-01  2.1e-01  1.7e-03  2.1e-01
  54  T 0   1.729e+08  -1e-08  0.96  1.0e-01  4.4e-06  2.3e-02  1.4e-01  2.1e-01  1.6e-03  2.1e-01
  55  T 0   1.729e+08  -2e-05  0.97  1.0e-01  4.6e-06  5.5e-02  2.8e-01  2.1e-01  1.5e-03  2.1e-01
  56  F 0   1.729e+08  -2e-05  0.97  1.0e-01  4.6e-06  0.0e+00  0.0e+00  2.1e-01  1.7e-03  2.1e-01
  56  T 1   1.729e+08   2e-05  0.97  1.0e-01  4.8e-06  5.5e-02  2.8e-01  2.1e-01  1.2e-03  2.1e-01
