   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  3.3e-01  0.0e+00  0.0e+00
   1  T 0   1.259e+09  -4e+00  0.40  1.0e-01  4.1e-04  1.0e-01  6.6e+00  2.0e-01  3.0e-03  2.0e-01
   2  T 0   1.165e+09  -3e+00  0.42  1.0e-01  4.1e-04  1.0e-01  6.7e+00  1.9e-01  1.1e-03  1.9e-01
   3  T 0   1.070e+09  -3e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.7e+00  2.3e-01  1.3e-03  2.3e-01
   4  T 0   9.754e+08  -3e+00  0.37  1.0e-01  4.1e-04  1.0e-01  6.5e+00  2.4e-01  1.1e-03  2.4e-01
   5  T 0   8.877e+08  -2e+00  0.38  1.0e-01  4.1e-04  1.0e-01  6.5e+00  2.7e-01  1.1e-03  2.7e-01
   6  T 0   8.105e+08  -2e+00  0.36  1.0e-01  4.2e-04  1.0e-01  6.5e+00  2.0e-01  1.2e-03  2.0e-01
   7  T 0   7.441e+08  -2e+00  0.34  1.0e-01  4.2e-04  1.0e-01  6.3e+00  1.9e-01  1.1e-03  1.9e-01
   8  T 0   6.756e+08  -2e+00  0.32  1.0e-01  4.3e-04  1.0e-01  6.0e+00  1.9e-01  1.1e-03  1.9e-01
   9  T 0   5.997e+08  -2e+00  0.31  1.0e-01  4.3e-04  1.0e-01  5.7e+00  2.3e-01  1.1e-03  2.3e-01
  10  T 0   5.108e+08  -2e+00  0.59  1.0e-01  3.9e-04  1.0e-01  5.6e+00  2.8e-01  1.1e-03  2.8e-01
  11  T 0   4.900e+08  -2e+00  0.59  1.0e-01  3.9e-04  1.0e-01  3.2e+00  2.1e-01  1.1e-03  2.1e-01
  12  T 0   4.687e+08  -1e+00  0.59  1.0e-01  3.8e-04  1.0e-01  3.3e+00  2.1e-01  1.2e-03  2.1e-01
  13  T 0   4.448e+08  -1e+00  0.61  1.0e-01  3.8e-04  1.0e-01  3.3e+00  2.1e-01  1.2e-03  2.1e-01
  14  T 0   4.212e+08  -1e+00  0.68  1.0e-01  3.8e-04  1.0e-01  3.1e+00  2.1e-01  1.2e-03  2.1e-01
  15  T 0   4.031e+08  -1e+00  0.70  1.0e-01  3.7e-04  1.0e-01  2.8e+00  2.2e-01  1.2e-03  2.2e-01
  16  T 0   3.856e+08  -1e+00  0.71  1.0e-01  3.6e-04  1.0e-01  2.9e+00  2.0e-01  1.1e-03  2.0e-01
  17  T 0   3.664e+08  -1e+00  0.72  1.0e-01  4.8e-04  1.0e-01  3.0e+00  2.1e-01  1.1e-03  2.1e-01
  18  T 0   3.473e+08  -1e+00  0.73  1.0e-01  3.5e-04  1.0e-01  3.0e+00  2.0e-01  1.1e-03  2.1e-01
  19  T 0   3.308e+08  -1e+00  0.79  1.0e-01  3.5e-04  1.0e-01  2.7e+00  2.1e-01  1.2e-03  2.1e-01
  20  T 0   3.198e+08  -9e-01  0.81  1.0e-01  3.4e-04  1.0e-01  2.4e+00  2.1e-01  1.1e-03  2.1e-01
  21  T 0   3.106e+08  -9e-01  0.81  1.0e-01  3.4e-04  1.0e-01  2.3e+00  2.1e-01  1.1e-03  2.1e-01
  22  T 0   3.011e+08  -9e-01  0.81  1.0e-01  3.5e-04  1.0e-01  2.4e+00  2.2e-01  1.1e-03  2.2e-01
  23  T 0   2.931e+08  -8e-01  0.82  1.0e-01  3.3e-04  1.0e-01  2.2e+00  2.1e-01  1.1e-03  2.1e-01
  24  T 0   2.859e+08  -8e-01  0.83  1.0e-01  3.9e-04  1.0e-01  2.3e+00  2.2e-01  1.1e-03  2.2e-01
  25  T 0   2.790e+08  -7e-01  0.83  1.0e-01  3.3e-04  1.0e-01  2.2e+00  2.2e-01  1.1e-03  2.2e-01
  26  T 0   2.744e+08  -7e-01  0.85  1.0e-01  2.9e-04  1.0e-01  1.9e+00  2.2e-01  1.2e-03  2.2e-01
  27  T 0   2.701e+08  -7e-01  0.85  1.0e-01  2.8e-04  1.0e-01  1.9e+00  2.1e-01  1.2e-03  2.1e-01
  28  T 0   2.656e+08  -7e-01  0.87  1.0e-01  3.0e-04  1.0e-01  1.9e+00  2.1e-01  1.2e-03  2.1e-01
  29  T 0   2.629e+08  -7e-01  0.87  1.0e-01  4.6e-04  1.0e-01  1.6e+00  2.1e-01  1.1e-03  2.1e-01
  30  T 0   2.602e+08  -6e-01  0.86  1.0e-01  2.5e-04  1.0e-01  1.6e+00  2.3e-01  1.2e-03  2.3e-01
  31  T 0   2.576e+08  -6e-01  0.88  1.0e-01  2.5e-04  1.0e-01  1.6e+00  2.2e-01  1.2e-03  2.2e-01
  32  T 0   2.557e+08  -6e-01  0.88  1.0e-01  2.5e-04  1.0e-01  1.3e+00  2.1e-01  1.2e-03  2.1e-01
  33  T 0   2.538e+08  -6e-01  0.88  1.0e-01  2.5e-04  1.0e-01  1.3e+00  2.4e-01  1.1e-03  2.4e-01
  34  T 0   2.520e+08  -6e-01  0.88  1.0e-01  2.8e-04  1.0e-01  1.3e+00  2.1e-01  1.2e-03  2.1e-01
  35  T 0   2.506e+08  -6e-01  0.89  1.0e-01  3.1e-04  1.0e-01  1.1e+00  2.1e-01  1.1e-03  2.1e-01
  36  T 0   2.492e+08  -6e-01  0.89  1.0e-01  6.4e-04  1.0e-01  1.1e+00  2.1e-01  1.1e-03  2.1e-01
  37  T 0   2.478e+08  -6e-01  0.89  1.0e-01  8.1e-04  1.0e-01  1.1e+00  2.1e-01  1.1e-03  2.1e-01
  38  T 0   2.463e+08  -5e-01  0.89  1.0e-01  2.8e-04  1.0e-01  1.1e+00  2.4e-01  1.1e-03  2.4e-01
  39  T 0   2.448e+08  -5e-01  0.89  1.0e-01  2.5e-04  1.0e-01  1.1e+00  2.4e-01  1.2e-03  2.4e-01
  40  T 0   2.434e+08  -5e-01  0.90  1.0e-01  2.5e-04  1.0e-01  1.0e+00  2.4e-01  1.1e-03  2.4e-01
  41  T 0   2.419e+08  -5e-01  0.90  1.0e-01  2.4e-04  1.0e-01  1.0e+00  2.0e-01  1.1e-03  2.1e-01
  42  T 0   2.404e+08  -5e-01  0.90  1.0e-01  2.4e-04  1.0e-01  1.1e+00  2.1e-01  1.1e-03  2.1e-01
  43  T 0   2.389e+08  -5e-01  0.90  1.0e-01  2.3e-04  1.0e-01  1.1e+00  2.1e-01  1.2e-03  2.1e-01
  44  T 0   2.374e+08  -5e-01  0.90  1.0e-01  2.3e-04  1.0e-01  1.1e+00  2.2e-01  1.1e-03  2.2e-01
  45  T 0   2.357e+08  -5e-01  0.90  1.0e-01  2.3e-04  1.0e-01  1.2e+00  2.1e-01  1.1e-03  2.1e-01
  46  T 0   2.340e+08  -5e-01  0.91  1.0e-01  2.3e-04  1.0e-01  1.2e+00  2.1e-01  1.1e-03  2.1e-01
  47  T 0   2.322e+08  -4e-01  0.91  1.0e-01  2.3e-04  1.0e-01  1.2e+00  2.1e-01  1.1e-03  2.1e-01
  48  T 0   2.302e+08  -4e-01  0.90  1.0e-01  2.2e-04  1.0e-01  1.3e+00  2.1e-01  1.2e-03  2.1e-01
  49  T 0   2.281e+08  -4e-01  0.91  1.0e-01  2.2e-04  1.0e-01  1.4e+00  2.0e-01  1.1e-03  2.1e-01
  50  T 0   2.260e+08  -4e-01  0.91  1.0e-01  2.2e-04  1.0e-01  1.4e+00  2.1e-01  1.2e-03  2.1e-01
  51  T 0   2.238e+08  -4e-01  0.91  1.0e-01  2.2e-04  1.0e-01  1.5e+00  2.4e-01  1.2e-03  2.4e-01
  52  T 0   2.216e+08  -4e-01  0.91  1.0e-01  2.4e-04  1.0e-01  1.5e+00  2.3e-01  1.1e-03  2.3e-01
  53  T 0   2.194e+08  -3e-01  0.91  1.0e-01  2.6e-04  1.0e-01  1.5e+00  3.3e-01  1.1e-03  3.3e-01
  54  T 0   2.175e+08  -3e-01  0.92  1.0e-01  2.7e-04  1.0e-01  1.5e+00  2.1e-01  1.1e-03  2.1e-01
  55  T 0   2.160e+08  -3e-01  0.92  1.0e-01  2.8e-04  1.0e-01  1.4e+00  2.1e-01  1.1e-03  2.1e-01
  56  T 0   2.147e+08  -3e-01  0.92  1.0e-01  2.9e-04  1.0e-01  1.3e+00  2.2e-01  1.1e-03  2.2e-01
  57  T 0   2.135e+08  -3e-01  0.92  1.0e-01  3.0e-04  1.0e-01  1.3e+00  2.2e-01  1.1e-03  2.2e-01
  58  T 0   2.125e+08  -3e-01  0.93  1.0e-01  3.0e-04  1.0e-01  1.2e+00  2.1e-01  1.2e-03  2.1e-01
  59  T 0   2.115e+08  -3e-01  0.93  1.0e-01  3.0e-04  1.0e-01  1.1e+00  2.0e-01  1.1e-03  2.0e-01
  60  T 0   2.106e+08  -3e-01  0.93  1.0e-01  3.0e-04  1.0e-01  1.0e+00  2.1e-01  1.2e-03  2.1e-01
  61  T 0   2.097e+08  -3e-01  0.94  1.0e-01  2.9e-04  1.0e-01  9.5e-01  2.0e-01  1.1e-03  2.1e-01
  62  T 0   2.090e+08  -3e-01  0.94  1.0e-01  2.9e-04  1.0e-01  9.1e-01  2.1e-01  1.1e-03  2.1e-01
  63  T 0   2.082e+08  -2e-01  0.94  1.0e-01  2.8e-04  1.0e-01  8.6e-01  2.1e-01  1.1e-03  2.1e-01
  64  T 0   2.075e+08  -2e-01  0.94  1.0e-01  2.8e-04  1.0e-01  8.5e-01  2.1e-01  1.1e-03  2.1e-01
  65  T 0   2.068e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.4e-01  2.1e-01  1.1e-03  2.1e-01
  66  T 0   2.061e+08  -2e-01  0.94  1.0e-01  2.6e-04  1.0e-01  8.4e-01  2.1e-01  1.1e-03  2.1e-01
  67  T 0   2.053e+08  -2e-01  0.94  1.0e-01  2.6e-04  1.0e-01  8.4e-01  2.0e-01  1.1e-03  2.1e-01
  68  T 0   2.045e+08  -2e-01  0.94  1.0e-01  2.6e-04  1.0e-01  8.5e-01  2.0e-01  1.2e-03  2.1e-01
  69  T 0   2.037e+08  -2e-01  0.94  1.0e-01  2.6e-04  1.0e-01  8.5e-01  2.1e-01  1.2e-03  2.1e-01
  70  T 0   2.028e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.6e-01  2.1e-01  1.1e-03  2.1e-01
  71  T 0   2.019e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.9e-01  2.0e-01  1.1e-03  2.0e-01
  72  T 0   2.010e+08  -2e-01  0.94  1.0e-01  2.8e-04  1.0e-01  9.0e-01  2.0e-01  1.3e-03  2.0e-01
  73  T 0   2.002e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  9.2e-01  2.0e-01  1.1e-03  2.0e-01
  74  T 0   1.993e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  9.6e-01  2.0e-01  1.1e-03  2.0e-01
  75  T 0   1.984e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  9.9e-01  2.0e-01  1.1e-03  2.0e-01
  76  T 0   1.976e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  9.5e-01  2.1e-01  1.2e-03  2.1e-01
  77  T 0   1.969e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  9.1e-01  2.1e-01  1.2e-03  2.1e-01
  78  T 0   1.962e+08  -2e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.4e-01  2.0e-01  1.1e-03  2.0e-01
  79  T 0   1.956e+08  -1e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.1e-01  2.0e-01  1.1e-03  2.0e-01
  80  T 0   1.950e+08  -1e-01  0.94  1.0e-01  2.7e-04  1.0e-01  8.0e-01  2.0e-01  1.1e-03  2.0e-01
  81  T 0   1.945e+08  -1e-01  0.94  1.0e-01  2.7e-04  1.0e-01  7.8e-01  2.2e-01  1.1e-03  2.2e-01
  82  T 0   1.939e+08  -1e-01  0.94  1.0e-01  2.5e-04  1.0e-01  7.9e-01  2.1e-01  1.1e-03  2.1e-01
  83  T 0   1.933e+08  -1e-01  0.94  1.0e-01  2.5e-04  1.0e-01  8.3e-01  2.0e-01  1.1e-03  2.0e-01
  84  T 0   1.926e+08  -1e-01  0.94  1.0e-01  2.3e-04  1.0e-01  8.1e-01  2.0e-01  1.2e-03  2.0e-01
