   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   5.388e+09   2e-02  0.00  1.0e-01  7.5e+02  1.0e+00  1.0e+00  5.3e-01  0.0e+00  0.0e+00
   1  F 0   5.388e+09   2e-02  0.00  1.0e-01  7.5e+02  0.0e+00  0.0e+00  2.8e-01  7.7e-03  2.8e-01
   1  T 1   4.192e+09  -2e-16  0.00  1.0e-01  4.0e-02  1.0e-01  2.3e+00  2.8e-01  6.8e-03  2.9e-01
   2  T 0   2.474e+09  -9e-06  0.00  1.0e-01  1.0e-02  1.0e-01  8.4e+00  2.8e-01  2.8e-03  2.8e-01
   3  T 0   1.270e+09  -9e-02  0.19  1.0e-01  4.3e-03  1.0e-01  8.2e+00  2.7e-01  2.3e-03  2.8e-01
   4  T 0   8.956e+08  -8e-02  0.21  1.0e-01  2.0e-03  1.0e-01  7.6e+00  2.8e-01  1.9e-03  2.8e-01
   5  T 0   6.132e+08  -2e-01  0.24  1.0e-01  1.4e-03  1.0e-01  7.5e+00  3.3e-01  2.0e-03  3.3e-01
   6  T 0   4.893e+08  -2e-01  0.34  1.0e-01  9.7e-04  1.0e-01  6.9e+00  2.8e-01  1.9e-03  2.8e-01
   7  T 0   4.049e+08  -3e-01  0.35  1.0e-01  1.1e-03  1.0e-01  6.3e+00  2.7e-01  2.0e-03  2.7e-01
   8  T 0   3.256e+08  -3e-01  0.39  1.0e-01  7.1e-04  1.0e-01  5.6e+00  2.7e-01  1.9e-03  2.8e-01
   9  T 0   2.822e+08  -3e-01  0.53  1.0e-01  7.4e-04  1.0e-01  4.9e+00  2.7e-01  1.9e-03  2.7e-01
  10  T 0   2.592e+08  -3e-01  0.56  1.0e-01  1.2e-04  1.0e-01  4.0e+00  2.7e-01  1.9e-03  2.7e-01
  11  T 0   2.440e+08  -2e-01  0.66  1.0e-01  2.3e-04  1.0e-01  3.7e+00  2.3e-01  1.9e-03  2.3e-01
  12  T 0   2.335e+08  -2e-01  0.68  1.0e-01  1.1e-04  1.0e-01  3.3e+00  1.9e-01  1.3e-03  1.9e-01
  13  T 0   2.242e+08  -1e-01  0.71  1.0e-01  1.8e-04  1.0e-01  3.1e+00  2.0e-01  1.4e-03  2.0e-01
  14  T 0   2.159e+08  -1e-01  0.72  1.0e-01  2.3e-04  1.0e-01  2.9e+00  1.8e-01  1.4e-03  1.9e-01
  15  T 0   2.074e+08  -7e-02  0.76  1.0e-01  1.1e-04  1.0e-01  2.8e+00  1.9e-01  1.4e-03  1.9e-01
  16  T 0   2.011e+08  -4e-02  0.79  1.0e-01  1.0e-04  1.0e-01  2.5e+00  2.0e-01  1.4e-03  2.0e-01
  17  T 0   1.951e+08  -1e-02  0.80  1.0e-01  1.0e-04  1.0e-01  2.4e+00  1.9e-01  1.4e-03  1.9e-01
  18  T 0   1.902e+08  -9e-06  0.82  1.0e-01  1.4e-04  1.0e-01  2.2e+00  2.0e-01  2.4e-03  2.0e-01
  19  T 0   1.859e+08  -7e-07  0.83  1.0e-01  3.5e-04  1.0e-01  2.0e+00  2.0e-01  2.2e-03  2.0e-01
  20  T 0   1.844e+08   8e-07  0.87  1.0e-01  8.1e-04  1.0e-01  1.7e+00  2.0e-01  2.0e-03  2.0e-01
  21  F 0   1.844e+08   8e-07  0.87  1.0e-01  8.1e-04  0.0e+00  0.0e+00  1.9e-01  2.0e-03  1.9e-01
  21  T 1   1.836e+08  -4e-06  0.86  1.0e-01  2.3e-04  1.0e-01  9.2e-01  2.0e-01  1.5e-03  2.0e-01
  22  F 0   1.836e+08  -4e-06  0.86  1.0e-01  2.3e-04  0.0e+00  0.0e+00  2.0e-01  2.0e-03  2.0e-01
  22  T 1   1.832e+08  -4e-09  0.86  1.0e-01  1.9e-04  1.0e-01  7.5e-01  1.9e-01  1.3e-03  1.9e-01
  23  T 0   1.820e+08  -4e-06  0.88  1.0e-01  9.5e-05  1.0e-01  1.5e+00  1.9e-01  2.0e-03  2.0e-01
  24  T 0   1.801e+08  -2e-08  0.89  1.0e-01  1.3e-04  1.0e-01  1.6e+00  1.9e-01  1.8e-03  1.9e-01
  25  T 0   1.785e+08   3e-06  0.90  1.0e-01  9.2e-04  1.0e-01  1.6e+00  2.0e-01  2.2e-03  2.0e-01
  26  T 0   1.783e+08  -2e-06  0.90  1.0e-01  1.3e-04  1.0e-01  1.7e+00  1.9e-01  2.0e-03  1.9e-01
  27  T 0   1.766e+08   9e-06  0.91  1.0e-01  2.3e-04  1.0e-01  1.6e+00  1.9e-01  1.8e-03  1.9e-01
  28  T 0   1.757e+08   2e-07  0.92  1.0e-01  2.6e-04  1.0e-01  1.4e+00  2.0e-01  1.8e-03  2.0e-01
  29  T 0   1.750e+08  -4e-07  0.93  1.0e-01  1.0e-04  1.0e-01  1.2e+00  2.0e-01  2.0e-03  2.0e-01
  30  T 0   1.745e+08  -5e-05  0.93  1.0e-01  2.1e-04  1.0e-01  1.1e+00  1.9e-01  1.7e-03  1.9e-01
  31  T 0   1.740e+08   4e-06  0.94  1.0e-01  1.3e-04  1.0e-01  8.9e-01  2.1e-01  2.0e-03  2.2e-01
  32  T 0   1.739e+08  -1e-05  0.94  1.0e-01  9.8e-05  1.0e-01  9.0e-01  2.0e-01  2.0e-03  2.0e-01
  33  T 0   1.736e+08  -7e-06  0.94  1.0e-01  1.1e-04  1.0e-01  8.6e-01  1.9e-01  1.9e-03  2.0e-01
  34  T 0   1.733e+08   3e-06  0.94  1.0e-01  2.0e-04  1.0e-01  8.4e-01  1.9e-01  2.0e-03  2.0e-01
  35  T 0   1.731e+08   2e-06  0.95  1.0e-01  1.6e-04  1.0e-01  8.0e-01  1.9e-01  1.8e-03  1.9e-01
  36  T 0   1.728e+08  -3e-08  0.95  1.0e-01  1.2e-04  1.0e-01  8.2e-01  1.9e-01  1.8e-03  1.9e-01
  37  T 0   1.726e+08  -4e-07  0.95  1.0e-01  1.6e-04  1.0e-01  8.6e-01  2.0e-01  1.8e-03  2.0e-01
  38  T 0   1.724e+08  -2e-06  0.95  1.0e-01  6.4e-05  1.0e-01  8.7e-01  2.0e-01  1.8e-03  2.0e-01
  39  T 0   1.722e+08  -5e-07  0.95  1.0e-01  8.8e-05  1.0e-01  8.4e-01  1.9e-01  1.9e-03  1.9e-01
  40  T 0   1.720e+08   3e-07  0.95  1.0e-01  8.5e-05  1.0e-01  8.4e-01  2.0e-01  1.9e-03  2.0e-01
  41  T 0   1.718e+08  -3e-08  0.95  1.0e-01  4.2e-05  1.0e-01  8.3e-01  1.9e-01  1.8e-03  1.9e-01
  42  T 0   1.717e+08  -1e-06  0.96  1.0e-01  4.5e-05  1.0e-01  9.0e-01  1.9e-01  1.9e-03  1.9e-01
  43  T 0   1.715e+08  -3e-06  0.96  1.0e-01  2.3e-05  1.0e-01  8.8e-01  2.0e-01  2.0e-03  2.0e-01
  44  T 0   1.715e+08  -6e-07  0.96  1.0e-01  4.4e-05  1.0e-01  1.0e+00  1.9e-01  1.9e-03  2.0e-01
  45  T 0   1.712e+08  -3e-06  0.96  1.0e-01  4.6e-05  1.0e-01  9.2e-01  2.0e-01  2.0e-03  2.0e-01
  46  T 0   1.711e+08   2e-07  0.96  1.0e-01  4.2e-05  1.0e-01  9.1e-01  1.9e-01  1.8e-03  1.9e-01
  47  T 0   1.709e+08   5e-06  0.96  1.0e-01  3.9e-05  1.0e-01  8.3e-01  1.9e-01  2.0e-03  1.9e-01
