   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   2.483e-01   1e+00  0.00  1.0e+00  2.5e-02  1.0e+00  1.0e+00  4.8e-03  0.0e+00  0.0e+00
   1  F 0   1.000e+00   1e+01  1.00  1.0e+00  0.0e+00  1.5e+00  1.5e+01  5.2e-03  3.7e-01  3.7e-01
   2  F 0   9.574e-01   1e+00  0.56  1.0e+00  5.1e+02  7.8e-01  1.4e+00  5.2e-03  4.2e-01  4.3e-01
   3  T 0   1.000e+00   2e-01  0.99  1.0e+00  6.2e+02  3.2e-01  1.1e+00  5.3e-03  4.2e-01  4.2e-01
   4  T 0   9.999e-01   6e-03  0.99  1.0e+00  5.6e+00  6.4e-02  7.8e-02  5.2e-03  4.1e-01  4.1e-01
   5  T 0   9.980e-01   9e-06  0.88  1.0e+00  2.8e-02  4.1e-03  1.7e-02  5.2e-03  4.1e-01  4.1e-01
   6  F 0   7.654e-01   5e-03  0.00  1.0e+00  3.0e-02  2.3e-01  3.1e+00  5.4e-03  4.0e-01  4.1e-01
   7  F 0   3.398e-01   2e-02  0.03  1.0e+00  4.7e-02  7.9e-01  7.3e+00  5.3e-03  4.1e-01  4.1e-01
   8  T 0   1.303e-01   2e-01  0.46  1.0e+00  5.6e-02  7.9e-01  9.4e+00  5.3e-03  4.0e-01  4.1e-01
   9  F 0   1.101e-01   4e-01  0.50  1.0e+00  1.3e-01  6.4e-01  2.4e+00  5.2e-03  4.2e-01  4.2e-01
  10  F 0   1.000e+00   5e-01  0.99  1.0e+00  2.2e-01  1.0e+00  1.8e+01  5.2e-03  4.3e-01  4.4e-01
  11  F 0   7.656e-01   2e-01  0.01  1.0e+00  2.7e-01  3.5e-01  3.6e+00  5.3e-03  4.1e-01  4.2e-01
  12  F 0   3.764e-01   2e+00  0.01  1.0e+00  1.1e+00  1.1e+00  6.5e+00  5.3e-03  4.4e-01  4.5e-01
  13  F 0   9.076e-01   5e-01  0.64  1.0e+00  7.8e+07  9.5e-01  8.9e+00  5.2e-03  4.2e-01  4.3e-01
  14  F 0   1.000e+00   6e-02  0.99  1.0e+00  9.0e+07  1.0e+00  3.2e+00  5.4e-03  4.4e-01  4.4e-01
  15  F 0   1.000e+00   8e-04  0.99  1.0e+00  4.8e+03  2.0e-02  2.9e-02  5.2e-03  4.2e-01  4.2e-01
  16  T 0   1.000e+00   2e-07  0.99  1.0e+00  2.0e+00  2.8e-04  4.2e-04  5.6e-03  4.1e-01  4.1e-01
  17  F 0   9.755e-01   4e-07  0.06  1.0e+00  2.6e-02  5.4e-02  2.2e-01  5.5e-03  4.2e-01  4.2e-01
  18  F 0   7.342e-01   6e-03  0.00  1.0e+00  2.5e-02  2.4e-01  3.3e+00  5.4e-03  4.1e-01  4.2e-01
  19  F 0   2.873e-01   1e-01  0.04  1.0e+00  2.5e-01  7.8e-01  7.5e+00  5.4e-03  4.2e-01  4.3e-01
  20  F 0   7.260e-02   8e-01  0.48  1.0e+00  8.1e-02  7.9e-01  9.4e+00  5.5e-03  4.2e-01  4.2e-01
  21  F 0   9.435e-02   5e-01  0.67  1.0e+00  1.5e+06  9.4e-01  6.0e+00  5.5e-03  4.5e-01  4.6e-01
  22  T 0   9.606e-02   2e-02  0.68  1.0e+00  2.9e+04  1.1e-01  2.3e-01  5.3e-03  4.2e-01  4.2e-01
  23  F 0   9.606e-02   1e-04  0.68  1.0e+00  6.1e+02  8.9e-03  1.0e-02  5.3e-03  4.1e-01  4.2e-01
  24  T 0   9.606e-02   3e-09  0.68  1.0e+00  3.4e-02  4.6e-05  6.7e-05  5.4e-03  4.1e-01  4.2e-01
  25  T 0   8.585e-02   3e-03  0.59  1.0e+00  6.8e-03  5.1e-01  1.6e+00  5.4e-03  4.1e-01  4.2e-01
  26  T 0   7.692e-02   8e-06  0.59  1.0e+00  7.8e-03  4.1e-01  1.7e+00  6.8e-03  4.1e-01  4.2e-01
  27  T 0   6.354e-02   7e-08  0.63  1.0e+00  9.6e-03  6.5e-01  3.2e+00  5.3e-03  4.2e-01  4.2e-01
  28  T 0   5.814e-02   2e-03  0.65  1.0e+00  6.6e-03  6.5e-01  1.6e+00  5.6e-03  4.1e-01  4.2e-01
  29  T 0   5.686e-02   1e-04  0.65  1.0e+00  2.9e-03  1.7e-01  2.4e-01  5.4e-03  4.3e-01  4.4e-01
  30  T 0   5.525e-02   3e-08  0.65  1.0e+00  3.4e-03  3.3e-01  3.9e-01  5.3e-03  4.1e-01  4.1e-01
  31  T 0   5.379e-02   3e-12  0.65  1.0e+00  7.9e-04  3.4e-01  5.2e-01  5.2e-03  4.1e-01  4.1e-01
  32  T 0   5.379e-02   4e-16  0.65  1.0e+00  2.2e-07  3.1e-01  3.4e-01  5.3e-03  4.0e-01  4.1e-01
  33  T 0   5.379e-02   7e-16  0.65  1.0e+00  1.1e-10  8.3e-06  1.8e-05  5.4e-03  4.1e-01  4.1e-01
Termination on Convergence criteria
