   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.000e-02   9e+07  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  2.6e-03  0.0e+00  0.0e+00
   1  T 0   1.475e-02   6e+07  1.00  1.0e-01  0.0e+00  5.0e-06  1.5e-04  1.2e-03  1.6e-02  1.8e-02
   2  T 0   2.187e-02   4e+07  1.00  1.0e-01  0.0e+00  7.5e-06  2.3e-04  1.0e-03  8.5e-03  9.6e-03
   3  T 0   3.256e-02   3e+07  1.00  1.0e-01  0.0e+00  1.1e-05  3.5e-04  1.0e-03  8.4e-03  9.4e-03
   4  T 0   4.859e-02   2e+07  1.00  1.0e-01  0.0e+00  1.7e-05  5.2e-04  1.0e-03  8.3e-03  9.3e-03
   5  T 0   7.264e-02   1e+07  1.00  1.0e-01  0.0e+00  2.5e-05  7.8e-04  1.0e-03  8.1e-03  9.2e-03
   6  T 0   1.087e-01   8e+06  1.00  1.0e-01  0.0e+00  3.8e-05  1.2e-03  1.0e-03  8.2e-03  9.2e-03
   7  T 0   1.628e-01   6e+06  1.00  1.0e-01  0.0e+00  5.7e-05  1.8e-03  9.9e-04  8.4e-03  9.4e-03
   8  T 0   2.440e-01   4e+06  1.00  1.0e-01  0.0e+00  8.5e-05  2.6e-03  9.9e-04  8.1e-03  9.2e-03
   9  T 0   3.657e-01   2e+06  1.00  1.0e-01  0.0e+00  1.3e-04  3.9e-03  1.0e-03  8.2e-03  9.3e-03
  10  T 0   5.483e-01   2e+06  1.00  1.0e-01  0.0e+00  1.9e-04  5.9e-03  1.0e-03  8.2e-03  9.3e-03
  11  T 0   8.222e-01   1e+06  1.00  1.0e-01  0.0e+00  2.9e-04  8.9e-03  9.9e-04  8.2e-03  9.2e-03
  12  T 0   1.233e+00   7e+05  0.05  1.0e-01  1.2e+12  4.3e-04  1.3e-02  1.0e-03  8.3e-03  9.3e-03
