   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.000e-02   9e+07  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  1.3e-03  0.0e+00  0.0e+00
   1  T 0   1.910e-02   5e+07  1.00  1.0e-01  0.0e+00  1.0e-05  3.1e-04  1.5e-03  3.6e-02  3.7e-02
   2  T 0   3.805e-02   2e+07  1.00  1.0e-01  0.0e+00  2.0e-05  6.2e-04  1.1e-03  1.5e-02  1.6e-02
   3  T 0   7.605e-02   1e+07  1.00  1.0e-01  0.0e+00  4.0e-05  1.2e-03  1.1e-03  1.6e-02  1.7e-02
   4  T 0   1.520e-01   6e+06  1.00  1.0e-01  0.0e+00  8.0e-05  2.5e-03  1.5e-03  1.4e-02  1.6e-02
   5  T 0   3.040e-01   3e+06  1.00  1.0e-01  0.0e+00  1.6e-04  4.9e-03  1.1e-03  3.6e-02  3.7e-02
   6  T 0   6.079e-01   1e+06  1.00  1.0e-01  0.0e+00  3.2e-04  9.9e-03  1.1e-03  1.5e-02  1.6e-02
   7  T 0   1.215e+00   7e+05  0.05  1.0e-01  1.6e+14  6.4e-04  2.0e-02  1.1e-03  1.3e-02  1.5e-02
   8  T 0   2.429e+00   4e+05  0.05  1.0e-01  7.8e+13  1.3e-03  3.9e-02  1.1e-03  1.2e-02  1.3e-02
   9  T 0   4.852e+00   2e+05  0.05  1.0e-01  3.9e+13  2.6e-03  7.9e-02  1.1e-03  1.5e-02  1.6e-02
  10  T 0   9.678e+00   9e+04  0.05  1.0e-01  2.0e+13  5.1e-03  1.6e-01  1.1e-03  1.4e-02  1.5e-02
  11  T 0   1.926e+01   5e+04  0.05  1.0e-01  9.8e+12  1.0e-02  3.1e-01  1.2e-03  1.6e-02  1.7e-02
  12  T 0   3.813e+01   2e+04  0.05  1.0e-01  4.9e+12  2.0e-02  6.1e-01  1.0e-03  1.4e-02  1.5e-02
  13  T 0   7.472e+01   1e+04  0.05  1.0e-01  2.4e+12  3.9e-02  1.2e+00  1.2e-03  1.4e-02  1.5e-02
  14  T 0   1.436e+02   5e+03  0.05  1.0e-01  1.2e+12  7.2e-02  2.2e+00  1.1e-03  1.3e-02  1.4e-02
  15  T 0   2.654e+02   2e+03  0.05  1.0e-01  6.0e+11  1.3e-01  4.0e+00  1.2e-03  1.3e-02  1.5e-02
  16  T 0   4.567e+02   1e+03  0.05  1.0e-01  2.9e+11  2.0e-01  6.2e+00  1.1e-03  1.2e-02  1.3e-02
  17  T 0   6.939e+02   4e+02  0.05  1.0e-01  1.3e+11  2.5e-01  7.7e+00  1.2e-03  1.2e-02  1.3e-02
  18  T 0   8.809e+02   7e+01  0.05  1.0e-01  4.4e+10  2.0e-01  6.1e+00  1.1e-03  1.1e-02  1.2e-02
  19  T 0   9.450e+02   5e+00  0.05  1.0e-01  5.6e+09  6.7e-02  2.1e+00  1.0e-03  1.2e-02  1.3e-02
  20  T 0   9.500e+02   3e-02  0.05  1.0e-01  5.9e+07  5.3e-03  1.6e-01  1.1e-03  1.3e-02  1.4e-02
  21  T 0   9.500e+02   7e-07  0.05  1.0e-01  3.3e+03  2.8e-05  8.6e-04  1.1e-03  1.2e-02  1.3e-02
  22  T 0   9.500e+02   4e-11  0.05  1.0e-01  5.1e-06  7.8e-10  2.4e-08  1.1e-03  1.3e-02  1.4e-02
  23  T 0   9.500e+02   0e+00  0.05  1.0e-01  1.2e-13  7.8e-13  2.4e-11  1.2e-03  1.5e-02  1.6e-02
Termination on Convergence criteria
Total number of system evaluations: 24
