   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   2.098e+03   2e+01  0.00  1.0e+00  5.1e+01  1.0e+00  1.0e+00  5.9e-02  0.0e+00  0.0e+00
   1  T 0   2.389e+03   5e+00  0.00  1.0e+00  4.1e+06  2.4e+00  4.1e+00  5.8e-03  2.8e-03  8.7e-03
   2  T 0   1.631e+03   3e+01  0.10  1.0e+00  1.6e+02  5.7e+00  9.8e+00  7.1e-03  3.6e-03  1.1e-02
   3  T 0   1.767e+03   2e+00  0.10  1.0e+00  4.0e+07  1.3e+00  2.6e+00  5.8e-03  2.2e-03  8.0e-03
   4  T 0   1.587e+03   1e+00  0.10  1.0e+00  7.1e+02  3.3e+00  3.9e+00  5.8e-03  5.4e-03  1.1e-02
   5  T 0   1.512e+03   4e-01  0.10  1.0e+00  1.2e+02  1.2e+00  1.4e+00  5.8e-03  2.2e-03  8.0e-03
   6  T 0   1.507e+03   2e-03  0.10  1.0e+00  4.2e+01  2.2e-02  4.3e-02  5.7e-03  2.1e-03  7.9e-03
   7  T 0   1.506e+03   1e-03  0.10  1.0e+00  1.8e+01  7.8e-03  1.6e-02  7.8e-03  1.4e-03  9.3e-03
   8  T 0   1.506e+03   2e-03  0.10  1.0e+00  1.8e+01  6.6e-03  1.6e-02  1.2e-02  9.8e-04  1.3e-02
   9  T 0   1.506e+03   0e+00  0.10  1.0e+00  1.8e+01  7.0e-03  1.6e-02  5.7e-03  1.0e-03  6.7e-03
  10  T 0   1.505e+03   4e-04  0.10  1.0e+00  1.8e+01  6.3e-03  1.5e-02  8.5e-03  1.0e-03  9.6e-03
  11  T 0   1.505e+03   7e-05  0.10  1.0e+00  1.8e+01  6.0e-03  1.4e-02  6.9e-03  9.0e-04  7.8e-03
  12  T 0   1.505e+03   1e-03  0.10  1.0e+00  1.8e+01  5.8e-03  1.4e-02  5.6e-03  9.6e-04  6.6e-03
Total number of system evaluations: 13
