   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.560e+00   0e+00  0.00  2.0e-01  2.9e+05  1.0e+00  1.0e+00  1.3e-04  0.0e+00  0.0e+00
   1  T 0   1.446e+00   0e+00  0.00  2.0e-01  5.6e-02  1.3e+00  1.5e+00  8.7e-05  4.6e-02  4.6e-02
   2  T 0   1.373e+00   0e+00  0.00  2.0e-01  4.2e-02  9.2e-01  1.0e+00  6.2e-05  1.0e-03  1.1e-03
   3  T 0   1.345e+00   3e-03  0.00  2.0e-01  1.9e-02  5.0e-01  5.9e-01  6.1e-05  9.7e-04  1.1e-03
   4  T 0   1.341e+00   6e-04  0.00  2.0e-01  1.1e-02  1.5e-01  2.4e-01  5.8e-05  8.0e-04  9.4e-04
   5  T 0   1.340e+00   4e-05  0.00  2.0e-01  5.3e-03  8.3e-02  1.2e-01  4.8e-05  2.3e-03  2.3e-03
   6  T 0   1.340e+00   2e-05  0.00  2.0e-01  2.5e-03  4.7e-02  6.1e-02  4.0e-05  5.8e-04  6.5e-04
   7  T 0   1.340e+00   5e-06  0.00  2.0e-01  1.1e-03  2.6e-02  3.1e-02  3.8e-05  5.4e-04  6.0e-04
   8  T 0   1.340e+00   2e-06  0.00  2.0e-01  4.7e-04  1.3e-02  1.5e-02  3.7e-05  5.0e-04  5.6e-04
   9  T 0   1.340e+00   4e-07  0.00  2.0e-01  1.7e-04  5.7e-03  6.7e-03  3.7e-05  5.2e-04  5.8e-04
  10  T 0   1.340e+00   6e-08  0.00  2.0e-01  5.3e-05  2.3e-03  2.7e-03  3.8e-05  4.9e-04  5.5e-04
  11  T 0   1.340e+00   3e-05  0.00  2.0e-01  2.4e-05  7.8e-04  1.0e-03  3.7e-05  4.3e-04  4.9e-04
  12  F 0   1.340e+00   0e+00  0.00  2.0e-01  9.4e-06  3.1e-04  4.3e-04  3.7e-05  4.2e-04  4.8e-04
  13  F 0   1.340e+00   1e-05  0.00  2.0e-01  4.2e-06  1.2e-04  1.8e-04  3.7e-05  3.5e-04  4.0e-04
Total number of system evaluations: 14
