   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.560e+00   0e+00  0.00  2.0e-01  2.9e+05  1.0e+00  1.0e+00  1.5e-04  0.0e+00  0.0e+00
   1  T 0   1.348e+00   8e-02  0.00  2.0e-01  5.2e-02  1.8e+00  2.5e+00  9.2e-05  4.1e-02  4.1e-02
   2  T 0   1.305e+00   1e-01  0.00  2.0e-01  9.3e-02  1.5e+00  1.6e+00  6.9e-05  9.3e-04  1.0e-03
   3  F 0   1.306e+00   1e-01  0.00  2.0e-01  3.6e-02  8.2e-01  9.1e-01  6.5e-05  8.6e-04  9.6e-04
   4  F 0   1.334e+00   1e-02  0.00  2.0e-01  1.8e-02  4.4e-01  6.4e-01  6.2e-05  7.6e-04  8.6e-04
   5  F 0   1.340e+00   5e-04  0.00  2.0e-01  1.1e-03  7.8e-02  7.9e-02  6.2e-05  8.1e-04  9.0e-04
   6  F 0   1.340e+00   2e-06  0.00  2.0e-01  5.6e-04  7.5e-03  1.1e-02  6.6e-05  5.9e-04  6.9e-04
   7  F 0   1.340e+00   3e-07  0.00  2.0e-01  2.3e-04  3.0e-03  4.5e-03  6.2e-05  5.9e-04  6.9e-04
   8  F 0   1.340e+00   2e-06  0.00  2.0e-01  1.3e-04  1.9e-03  2.8e-03  6.0e-05  5.1e-04  6.0e-04
   9  F 0   1.340e+00   3e-06  0.00  2.0e-01  6.4e-05  1.2e-03  1.7e-03  5.9e-05  5.0e-04  5.9e-04
  10  F 0   1.340e+00   1e-06  0.00  2.0e-01  3.0e-05  6.7e-04  9.6e-04  5.9e-05  4.9e-04  5.7e-04
  11  F 0   1.340e+00   0e+00  0.00  2.0e-01  1.4e-05  3.5e-04  5.1e-04  5.9e-05  4.9e-04  5.8e-04
  12  F 0   1.340e+00   7e-06  0.00  2.0e-01  6.0e-06  1.7e-04  2.4e-04  6.1e-05  4.3e-04  5.2e-04
  13  F 0   1.340e+00   0e+00  0.00  2.0e-01  1.6e-06  8.2e-05  1.1e-04  6.2e-05  4.9e-04  5.9e-04
Total number of system evaluations: 14
