   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.305e+01   3e+01  0.00  2.0e+00  4.1e-03  1.0e+00  1.0e+00  5.1e-02  0.0e+00  0.0e+00
   1  T 0   1.204e+01   0e+00  0.00  2.0e+00  1.6e-03  2.0e+02  3.6e+02  4.5e-03  8.1e-02  8.6e-02
   2  T 0   1.167e+01   0e+00  0.00  2.0e+00  3.2e-04  2.9e+01  4.4e+01  4.4e-03  5.1e-02  5.6e-02
   3  T 0   1.165e+01   0e+00  0.00  2.0e+00  2.7e-04  1.3e+01  2.5e+01  4.4e-03  3.5e-02  3.9e-02
   4  T 0   1.163e+01   0e+00  0.00  2.0e+00  2.7e-04  1.3e+01  2.5e+01  4.2e-03  8.2e-03  1.2e-02
   5  T 0   1.162e+01   0e+00  0.00  2.0e+00  2.8e-04  1.3e+01  2.5e+01  4.2e-03  8.1e-03  1.2e-02
   6  T 0   1.160e+01   0e+00  0.00  2.0e+00  2.8e-04  1.2e+01  2.5e+01  4.3e-03  8.2e-03  1.3e-02
   7  T 0   1.159e+01   0e+00  0.00  2.0e+00  2.9e-04  1.2e+01  2.5e+01  4.2e-03  8.1e-03  1.2e-02
   8  T 0   1.157e+01   0e+00  0.00  2.0e+00  2.9e-04  1.2e+01  2.4e+01  4.3e-03  8.2e-03  1.2e-02
   9  T 0   1.156e+01   0e+00  0.00  2.0e+00  3.0e-04  1.2e+01  2.4e+01  4.3e-03  8.2e-03  1.3e-02
  10  T 0   1.154e+01   0e+00  0.00  2.0e+00  3.0e-04  1.2e+01  2.4e+01  4.2e-03  8.1e-03  1.2e-02
  11  T 0   1.153e+01   0e+00  0.00  2.0e+00  3.1e-04  1.2e+01  2.4e+01  4.2e-03  8.1e-03  1.2e-02
  12  T 0   1.151e+01   0e+00  0.00  2.0e+00  3.1e-04  1.2e+01  2.3e+01  4.2e-03  8.1e-03  1.2e-02
  13  T 0   1.150e+01   0e+00  0.00  2.0e+00  3.2e-04  1.1e+01  2.3e+01  2.6e-03  7.0e-03  9.7e-03
Total number of system evaluations: 14
