   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.305e+01   3e+01  0.00  2.0e+00  4.1e-03  1.0e+00  1.0e+00  5.4e-02  0.0e+00  0.0e+00
   1  T 0   1.210e+01   0e+00  0.00  2.0e+00  2.7e-03  2.0e+02  3.6e+02  5.9e-03  8.0e-03  1.4e-02
   2  T 0   1.167e+01   0e+00  0.00  2.0e+00  4.4e-04  3.1e+01  4.6e+01  4.6e-03  4.8e-03  9.4e-03
   3  T 0   1.165e+01   0e+00  0.00  2.0e+00  3.9e-04  2.3e+01  4.3e+01  4.3e-03  2.9e-03  7.3e-03
   4  T 0   1.161e+01   0e+00  0.00  2.0e+00  4.4e-04  7.1e+01  1.0e+02  4.8e-03  2.8e-03  7.7e-03
   5  T 0   1.152e+01   0e+00  0.12  2.0e+00  3.3e-04  1.2e+02  1.8e+02  5.6e-03  2.4e-03  8.1e-03
   6  T 0   1.142e+01   0e+00  0.12  2.0e+00  5.9e-04  1.6e+02  2.6e+02  4.6e-03  4.5e-03  9.2e-03
   7  T 0   1.128e+01   0e+00  0.12  2.0e+00  4.6e-04  1.4e+02  2.4e+02  4.3e-03  2.7e-03  7.1e-03
   8  T 0   1.123e+01   0e+00  0.50  2.0e+00  5.2e-05  4.6e+01  6.8e+01  6.3e-03  2.3e-03  8.6e-03
Total number of system evaluations: 9
