   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.070e-01   0e+00  0.00  1.0e-01  1.2e+03  1.0e+00  1.0e+00  6.7e-01  0.0e+00  0.0e+00
   1  T 0   9.432e-03   0e+00  0.00  1.0e-01  2.0e-02  1.0e-01  5.6e+00  3.0e-01  3.7e-03  3.0e-01
   2  T 0   7.875e-05   0e+00  0.00  1.0e-01  4.3e-04  1.0e-01  5.6e+00  3.0e-01  1.1e-03  3.0e-01
   3  T 0  -2.432e-05   0e+00  0.00  1.0e-01  4.1e-04  1.0e-01  4.4e+00  2.9e-01  1.1e-03  2.9e-01
   4  T 0  -1.142e-03   0e+00  0.00  1.0e-01  9.2e-03  1.0e-01  3.4e+00  2.8e-01  1.1e-03  2.9e-01
   5  T 0  -9.052e-03   0e+00  0.00  1.0e-01  4.0e-02  1.0e-01  3.8e+00  2.9e-01  1.1e-03  2.9e-01
   6  T 0  -2.944e-02   0e+00  0.00  1.0e-01  5.7e-02  1.0e-01  4.0e+00  2.9e-01  1.1e-03  2.9e-01
   7  T 0  -7.849e-02   0e+00  0.01  1.0e-01  7.3e-02  1.0e-01  3.9e+00  2.9e-01  1.1e-03  2.9e-01
   8  T 0  -1.644e-01   0e+00  0.36  1.0e-01  8.3e-02  1.0e-01  3.9e+00  2.9e-01  2.4e-03  2.9e-01
   9  T 0  -2.755e-01   0e+00  0.43  1.0e-01  8.5e-02  1.0e-01  3.8e+00  2.9e-01  1.8e-03  2.9e-01
  10  T 0  -4.005e-01   3e-06  0.50  1.0e-01  8.0e-02  1.0e-01  3.6e+00  2.9e-01  2.0e-03  2.9e-01
  11  T 0  -5.249e-01   1e-06  0.57  1.0e-01  6.9e-02  1.0e-01  3.3e+00  2.9e-01  1.9e-03  2.9e-01
  12  T 0  -6.339e-01   0e+00  0.63  1.0e-01  5.7e-02  1.0e-01  3.1e+00  2.9e-01  1.9e-03  2.9e-01
  13  T 0  -7.224e-01   0e+00  0.70  1.0e-01  4.4e-02  1.0e-01  2.8e+00  2.9e-01  2.1e-03  2.9e-01
  14  T 0  -7.931e-01   6e-08  0.73  1.0e-01  3.4e-02  1.0e-01  2.6e+00  2.9e-01  1.6e-03  2.9e-01
  15  T 0  -8.364e-01   3e-07  0.80  1.0e-01  4.0e-03  1.0e-01  2.2e+00  2.9e-01  1.7e-03  2.9e-01
  16  T 0  -8.589e-01   2e-07  0.85  1.0e-01  4.2e-03  1.0e-01  1.9e+00  2.9e-01  1.8e-03  2.9e-01
