   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   3.394e-01   2e-01  1.00  5.0e-01  0.0e+00  1.0e+00  1.0e+00  3.3e-01  0.0e+00  0.0e+00
   1  T 0   1.765e-01   0e+00  0.12  5.0e-01  1.8e-03  4.0e-01  7.5e+00  1.0e-01  5.9e-03  1.1e-01
   2  T 0   9.343e-02   0e+00  0.31  5.0e-01  1.5e-03  4.0e-01  6.6e+00  1.0e-01  3.9e-03  1.1e-01
   3  F 0   1.120e-01   0e+00  0.57  5.0e-01  9.2e-03  4.0e-01  5.2e+00  1.0e-01  1.3e-03  1.1e-01
   4  T 0   8.499e-02   0e+00  0.55  5.0e-01  9.9e-04  4.0e-01  4.6e+00  1.0e-01  9.3e-04  1.0e-01
   5  T 0   7.969e-02   0e+00  0.64  5.0e-01  2.8e-03  4.0e-01  3.5e+00  1.0e-01  9.7e-04  1.0e-01
   6  F 0   7.651e-02   0e+00  0.62  5.0e-01  1.3e-03  4.0e-01  2.7e+00  1.3e-01  9.7e-04  1.3e-01
   7  T 0   7.200e-02   0e+00  0.63  5.0e-01  8.8e-04  4.0e-01  2.1e+00  1.2e-01  9.7e-04  1.2e-01
   8  T 0   7.069e-02   0e+00  0.71  5.0e-01  1.7e-03  4.0e-01  1.6e+00  1.2e-01  1.0e-03  1.2e-01
   9  T 0   6.928e-02   0e+00  0.70  5.0e-01  6.6e-04  4.0e-01  1.4e+00  1.2e-01  1.0e-03  1.2e-01
  10  T 0   6.765e-02   0e+00  0.70  5.0e-01  7.2e-04  4.0e-01  1.3e+00  1.2e-01  9.3e-04  1.2e-01
  11  T 0   6.652e-02   0e+00  0.79  5.0e-01  6.8e-04  4.0e-01  1.0e+00  1.1e-01  9.8e-04  1.1e-01
  12  T 0   6.603e-02   0e+00  0.80  5.0e-01  6.0e-04  4.0e-01  9.9e-01  1.3e-01  9.8e-04  1.3e-01
  13  T 0   6.540e-02   0e+00  0.82  5.0e-01  6.2e-04  4.0e-01  9.2e-01  1.3e-01  9.8e-04  1.3e-01
  14  T 0   6.490e-02   0e+00  0.85  5.0e-01  5.1e-04  4.0e-01  7.2e-01  1.5e-01  1.0e-03  1.5e-01
  15  F 0   6.498e-02   0e+00  0.85  5.0e-01  5.8e-04  4.0e-01  9.1e-01  1.1e-01  1.0e-03  1.1e-01
  16  T 0   6.421e-02   0e+00  0.88  5.0e-01  5.3e-04  4.0e-01  8.4e-01  1.2e-01  9.7e-04  1.3e-01
  17  F 0   6.448e-02   0e+00  0.88  5.0e-01  5.8e-04  4.0e-01  8.0e-01  1.1e-01  9.8e-04  1.2e-01
  18  T 0   6.390e-02   0e+00  0.89  5.0e-01  5.0e-04  3.0e-01  6.2e-01  1.1e-01  1.0e-03  1.2e-01
  19  T 0   6.380e-02   0e+00  0.90  5.0e-01  4.2e-04  1.3e-01  3.2e-01  1.8e-01  1.0e-03  1.8e-01
  20  F 0   6.388e-02   0e+00  0.89  5.0e-01  4.4e-04  2.3e-01  4.6e-01  1.7e-01  1.0e-03  1.7e-01
  21  T 0   6.368e-02   0e+00  0.90  5.0e-01  2.9e-04  1.6e-01  3.4e-01  1.7e-01  1.0e-03  1.7e-01
  22  T 0   6.363e-02   0e+00  0.91  5.0e-01  2.9e-04  7.2e-02  2.1e-01  1.7e-01  1.0e-03  1.7e-01
  23  F 0   6.366e-02   0e+00  0.90  5.0e-01  3.0e-04  1.3e-01  2.6e-01  1.7e-01  9.6e-04  1.7e-01
  24  T 0   6.360e-02   0e+00  0.89  5.0e-01  2.6e-04  2.2e-01  3.3e-01  1.5e-01  9.6e-04  1.5e-01
  25  T 0   6.355e-02   0e+00  0.91  5.0e-01  1.2e-04  2.2e-01  2.9e-01  1.4e-01  9.9e-04  1.4e-01
  26  F 0   6.355e-02   0e+00  0.90  5.0e-01  1.9e-04  1.7e-01  2.3e-01  1.3e-01  9.8e-04  1.3e-01
  27  F 0   6.356e-02   0e+00  0.90  5.0e-01  4.3e-04  1.8e-01  2.8e-01  1.2e-01  9.7e-04  1.2e-01
  28  F 0   6.356e-02   0e+00  0.91  5.0e-01  4.8e-04  2.0e-01  3.2e-01  1.1e-01  9.8e-04  1.2e-01
  29  T 0   6.352e-02   0e+00  0.91  5.0e-01  3.0e-04  2.0e-01  2.8e-01  1.2e-01  9.8e-04  1.2e-01
  30  T 0   6.350e-02   0e+00  0.91  5.0e-01  2.5e-04  1.6e-01  2.1e-01  1.3e-01  1.0e-03  1.3e-01
  31  F 0   6.356e-02   0e+00  0.91  5.0e-01  7.1e-04  2.7e-01  3.0e-01  1.2e-01  9.9e-04  1.2e-01
  32  T 0   6.348e-02   0e+00  0.91  5.0e-01  1.2e-04  2.7e-01  3.0e-01  1.2e-01  1.1e-03  1.2e-01
  33  F 0   6.349e-02   0e+00  0.91  5.0e-01  3.8e-04  2.1e-01  2.3e-01  1.5e-01  9.9e-04  1.5e-01
  34  T 0   6.346e-02   0e+00  0.91  5.0e-01  1.2e-04  1.4e-01  1.7e-01  1.1e-01  9.9e-04  1.1e-01
  35  F 0   6.346e-02   0e+00  0.91  5.0e-01  1.8e-04  1.0e-01  1.3e-01  1.3e-01  1.0e-03  1.3e-01
  36  F 0   6.348e-02   0e+00  0.91  5.0e-01  2.5e-04  2.7e-01  2.9e-01  1.1e-01  9.8e-04  1.1e-01
  37  T 0   6.345e-02   0e+00  0.91  5.0e-01  1.4e-04  2.7e-01  2.9e-01  1.7e-01  9.8e-04  1.7e-01
  38  F 0   6.346e-02   0e+00  0.91  5.0e-01  2.1e-04  2.1e-01  2.6e-01  1.1e-01  1.0e-03  1.1e-01
  39  T 0   6.343e-02   0e+00  0.91  5.0e-01  1.0e-04  1.5e-01  2.1e-01  1.2e-01  9.5e-04  1.2e-01
  40  F 0   6.347e-02   0e+00  0.91  5.0e-01  3.6e-04  2.6e-01  2.8e-01  1.2e-01  9.9e-04  1.2e-01
  41  F 0   6.359e-02   0e+00  0.91  5.0e-01  7.0e-04  4.0e-01  4.5e-01  1.2e-01  1.0e-03  1.2e-01
  42  F 0   6.344e-02   0e+00  0.91  5.0e-01  2.6e-04  4.0e-01  4.2e-01  1.2e-01  9.7e-04  1.2e-01
  43  F 0   6.357e-02   0e+00  0.91  5.0e-01  6.9e-04  4.0e-01  4.1e-01  1.6e-01  1.0e-03  1.6e-01
  44  T 0   6.341e-02   0e+00  0.91  5.0e-01  9.8e-05  4.0e-01  4.1e-01  1.1e-01  9.8e-04  1.1e-01
  45  F 0   6.344e-02   0e+00  0.91  5.0e-01  3.7e-04  1.8e-01  2.0e-01  1.1e-01  9.8e-04  1.1e-01
  46  T 0   6.340e-02   0e+00  0.92  5.0e-01  5.2e-05  1.8e-01  1.9e-01  1.1e-01  9.8e-04  1.2e-01
  47  F 0   6.355e-02   0e+00  0.91  5.0e-01  6.8e-04  4.0e-01  4.0e-01  1.1e-01  9.4e-04  1.1e-01
  48  T 0   6.340e-02   0e+00  0.92  5.0e-01  7.4e-05  4.0e-01  4.0e-01  1.1e-01  9.6e-04  1.1e-01
  49  F 0   6.375e-02   0e+00  0.92  5.0e-01  8.4e-04  4.0e-01  5.7e-01  1.1e-01  9.5e-04  1.2e-01
  50  F 0   6.393e-02   0e+00  0.92  5.0e-01  2.1e-03  4.0e-01  8.0e-01  1.2e-01  9.4e-04  1.2e-01
  51  F 0   6.551e-02   0e+00  0.90  5.0e-01  1.9e-03  4.0e-01  1.2e+00  1.3e-01  1.0e-03  1.3e-01
  52  F 0   6.511e-02   0e+00  0.90  5.0e-01  3.1e-03  4.0e-01  1.5e+00  1.2e-01  9.7e-04  1.2e-01
  53  F 0   6.651e-02   0e+00  0.89  5.0e-01  1.3e-03  4.0e-01  1.7e+00  1.2e-01  9.4e-04  1.2e-01
  54  F 0   6.583e-02   0e+00  0.88  5.0e-01  2.9e-03  4.0e-01  1.9e+00  1.2e-01  9.9e-04  1.2e-01
  55  F 0   6.628e-02   0e+00  0.89  5.0e-01  1.3e-03  4.0e-01  1.9e+00  1.2e-01  1.0e-03  1.2e-01
  56  F 0   6.549e-02   0e+00  0.87  5.0e-01  2.8e-03  4.0e-01  1.9e+00  1.2e-01  9.4e-04  1.2e-01
  57  F 0   6.573e-02   0e+00  0.88  5.0e-01  1.4e-03  4.0e-01  1.8e+00  1.1e-01  9.9e-04  1.2e-01
  58  F 0   6.508e-02   0e+00  0.88  5.0e-01  2.3e-03  4.0e-01  1.7e+00  1.2e-01  9.8e-04  1.2e-01
  59  F 0   6.491e-02   0e+00  0.89  5.0e-01  1.2e-03  4.0e-01  1.5e+00  1.2e-01  9.9e-04  1.2e-01
  60  F 0   6.416e-02   0e+00  0.89  5.0e-01  1.5e-03  4.0e-01  1.2e+00  1.2e-01  9.9e-04  1.2e-01
  61  F 0   6.433e-02   0e+00  0.89  5.0e-01  1.0e-03  4.0e-01  1.2e+00  1.2e-01  1.0e-03  1.2e-01
  62  F 0   6.434e-02   0e+00  0.89  5.0e-01  1.3e-03  4.0e-01  1.3e+00  1.3e-01  1.0e-03  1.3e-01
  63  F 0   6.443e-02   0e+00  0.89  5.0e-01  1.0e-03  4.0e-01  1.3e+00  1.3e-01  1.1e-03  1.3e-01
  64  F 0   6.407e-02   0e+00  0.89  5.0e-01  1.1e-03  4.0e-01  1.2e+00  1.2e-01  1.1e-03  1.3e-01
  65  F 0   6.416e-02   0e+00  0.88  5.0e-01  9.0e-04  4.0e-01  1.0e+00  1.2e-01  1.1e-03  1.3e-01
  66  F 0   6.367e-02   0e+00  0.89  5.0e-01  5.6e-04  4.0e-01  7.6e-01  1.3e-01  1.1e-03  1.3e-01
  67  F 0   6.370e-02   0e+00  0.90  5.0e-01  6.6e-04  4.0e-01  5.9e-01  1.3e-01  1.0e-03  1.3e-01
  68  F 0   6.371e-02   0e+00  0.89  5.0e-01  6.1e-04  4.0e-01  6.5e-01  1.4e-01  1.2e-03  1.4e-01
  69  F 0   6.365e-02   0e+00  0.90  5.0e-01  5.6e-04  4.0e-01  6.1e-01  1.4e-01  1.2e-03  1.4e-01
  70  F 0   6.357e-02   0e+00  0.90  5.0e-01  4.1e-04  4.0e-01  5.8e-01  1.4e-01  1.2e-03  1.5e-01
  71  F 0   6.363e-02   0e+00  0.90  5.0e-01  5.5e-04  4.0e-01  5.5e-01  1.4e-01  1.2e-03  1.4e-01
  72  F 0   6.350e-02   0e+00  0.90  5.0e-01  3.5e-04  4.0e-01  4.8e-01  1.4e-01  1.2e-03  1.4e-01
  73  F 0   6.358e-02   0e+00  0.91  5.0e-01  5.3e-04  4.0e-01  4.4e-01  1.4e-01  1.1e-03  1.4e-01
  74  F 0   6.343e-02   0e+00  0.90  5.0e-01  1.8e-04  4.0e-01  4.2e-01  1.6e-01  1.2e-03  1.6e-01
  75  F 0   6.342e-02   0e+00  0.91  5.0e-01  1.7e-04  3.2e-02  5.9e-02  1.6e-01  1.9e-03  1.6e-01
  76  F 0   6.353e-02   0e+00  0.91  5.0e-01  5.4e-04  3.5e-01  3.5e-01  1.7e-01  1.5e-03  1.7e-01
  77  F 0   6.341e-02   0e+00  0.91  5.0e-01  1.9e-04  3.5e-01  3.5e-01  1.6e-01  1.5e-03  1.6e-01
  78  F 0   6.349e-02   0e+00  0.91  5.0e-01  4.8e-04  2.7e-01  2.7e-01  1.6e-01  1.4e-03  1.6e-01
  79  F 0   6.341e-02   0e+00  0.91  5.0e-01  1.9e-04  2.7e-01  2.7e-01  1.6e-01  1.5e-03  1.6e-01
  80  F 0   6.344e-02   0e+00  0.91  5.0e-01  3.6e-04  1.7e-01  1.7e-01  1.7e-01  1.4e-03  1.7e-01
  81  F 0   6.341e-02   0e+00  0.91  5.0e-01  1.6e-04  1.4e-01  1.4e-01  2.0e-01  1.5e-03  2.1e-01
  82  F 0   6.340e-02   0e+00  0.91  5.0e-01  1.4e-04  3.0e-02  3.8e-02  2.0e-01  1.5e-03  2.0e-01
  83  T 0   6.340e-02   0e+00  0.91  5.0e-01  1.4e-04  1.8e-02  2.5e-02  2.1e-01  1.4e-03  2.1e-01
  84  T 0   6.340e-02   0e+00  0.91  5.0e-01  1.3e-04  1.9e-02  2.6e-02  2.0e-01  1.4e-03  2.0e-01
  85  T 0   6.340e-02   0e+00  0.91  5.0e-01  1.2e-04  2.1e-02  2.8e-02  2.0e-01  1.5e-03  2.0e-01
  86  T 0   6.340e-02   0e+00  0.91  5.0e-01  1.1e-04  1.5e-02  2.4e-02  2.0e-01  1.4e-03  2.0e-01
  87  T 0   6.339e-02   0e+00  0.91  5.0e-01  9.5e-05  1.0e-02  2.0e-02  2.1e-01  1.4e-03  2.1e-01
  88  T 0   6.339e-02   0e+00  0.91  5.0e-01  8.4e-05  7.3e-03  1.6e-02  2.0e-01  1.5e-03  2.0e-01
  89  F 0   6.339e-02   0e+00  0.91  5.0e-01  9.9e-05  4.9e-02  5.1e-02  2.0e-01  1.5e-03  2.0e-01
  90  T 0   6.339e-02   0e+00  0.91  5.0e-01  5.7e-05  4.9e-02  5.2e-02  1.9e-01  1.5e-03  1.9e-01
  91  T 0   6.339e-02   0e+00  0.91  5.0e-01  6.4e-05  3.8e-02  4.2e-02  1.6e-01  1.5e-03  1.6e-01
  92  T 0   6.339e-02   0e+00  0.91  5.0e-01  4.9e-05  2.6e-02  3.3e-02  1.6e-01  1.5e-03  1.7e-01
  93  T 0   6.339e-02   0e+00  0.91  5.0e-01  5.6e-05  1.8e-02  2.7e-02  1.6e-01  1.5e-03  1.6e-01
  94  T 0   6.338e-02   0e+00  0.91  5.0e-01  6.4e-05  1.3e-02  2.4e-02  1.6e-01  1.5e-03  1.6e-01
  95  T 0   6.338e-02   0e+00  0.92  5.0e-01  4.5e-05  1.4e-02  2.2e-02  1.6e-01  1.4e-03  1.6e-01
  96  T 0   6.338e-02   0e+00  0.92  5.0e-01  5.0e-05  9.9e-03  1.5e-02  1.6e-01  1.5e-03  1.6e-01
  97  T 0   6.338e-02   0e+00  0.92  5.0e-01  5.4e-05  6.9e-03  1.3e-02  1.5e-01  1.5e-03  1.5e-01
  98  T 0   6.338e-02   0e+00  0.92  5.0e-01  4.2e-05  7.6e-03  1.2e-02  1.6e-01  1.5e-03  1.6e-01
  99  T 0   6.338e-02   0e+00  0.92  5.0e-01  4.5e-05  5.3e-03  1.0e-02  1.5e-01  1.5e-03  1.6e-01
 100  T 0   6.338e-02   0e+00  0.92  5.0e-01  4.9e-05  3.7e-03  9.9e-03  1.7e-01  1.5e-03  1.7e-01
Termination on Convergence criteria
Total number of system evaluations: 101
