   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.6e-01  0.0e+00  0.0e+00
   1  T 0   1.791e+00   0e+00  0.00  1.0e-01  5.0e-01  1.0e-01  6.0e+00  2.1e-01  4.7e-03  2.2e-01
   2  T 0   1.193e+00   0e+00  0.00  1.0e-01  2.3e-01  1.0e-01  6.0e+00  2.0e-01  1.3e-03  2.0e-01
   3  T 0   8.580e-01   0e+00  0.00  1.0e-01  1.2e-01  1.0e-01  6.0e+00  2.0e-01  1.3e-03  2.0e-01
   4  T 0   5.882e-01   0e+00  0.07  1.0e-01  1.7e-03  1.0e-01  6.0e+00  2.0e-01  1.4e-03  2.0e-01
   5  T 0   4.398e-01   0e+00  0.06  1.0e-01  2.0e-03  1.0e-01  5.8e+00  2.1e-01  1.4e-03  2.1e-01
   6  T 0   3.436e-01   0e+00  0.09  1.0e-01  2.3e-03  1.0e-01  4.7e+00  1.9e-01  1.3e-03  1.9e-01
   7  T 0   2.626e-01   0e+00  0.08  1.0e-01  2.5e-03  1.0e-01  4.3e+00  1.9e-01  1.3e-03  1.9e-01
   8  T 0   2.029e-01   0e+00  0.13  1.0e-01  2.6e-03  1.0e-01  3.9e+00  1.9e-01  1.3e-03  1.9e-01
   9  T 0   1.563e-01   0e+00  0.11  1.0e-01  2.7e-03  1.0e-01  3.5e+00  1.9e-01  1.3e-03  1.9e-01
  10  T 0   1.254e-01   0e+00  0.11  1.0e-01  2.8e-03  1.0e-01  2.9e+00  1.9e-01  1.2e-03  2.0e-01
  11  T 0   1.023e-01   0e+00  0.10  1.0e-01  2.9e-03  1.0e-01  2.8e+00  1.9e-01  1.2e-03  1.9e-01
  12  T 0   8.729e-02   0e+00  0.52  1.0e-01  1.1e-03  1.0e-01  2.4e+00  2.1e-01  1.3e-03  2.2e-01
  13  T 0   7.562e-02   0e+00  0.51  1.0e-01  9.8e-04  1.0e-01  2.3e+00  1.9e-01  1.3e-03  1.9e-01
  14  T 0   6.843e-02   0e+00  0.63  1.0e-01  1.2e-03  1.0e-01  2.1e+00  1.9e-01  1.3e-03  1.9e-01
  15  T 0   6.274e-02   0e+00  0.63  1.0e-01  8.6e-04  1.0e-01  2.1e+00  1.9e-01  1.3e-03  1.9e-01
  16  F 0   6.248e-02   0e+00  0.77  1.0e-01  1.2e-03  1.0e-01  2.0e+00  1.9e-01  1.3e-03  1.9e-01
  17  T 0   5.897e-02   0e+00  0.78  1.0e-01  5.2e-04  1.0e-01  1.9e+00  1.9e-01  1.3e-03  1.9e-01
  18  F 0   5.897e-02   0e+00  0.78  1.0e-01  5.2e-04  0.0e+00  0.0e+00  1.9e-01  1.4e-03  1.9e-01
  18  F 1   5.897e-02   0e+00  0.78  1.0e-01  5.2e-04  0.0e+00  0.0e+00  2.0e-01  1.1e-03  2.0e-01
  18  F 2   5.897e-02   0e+00  0.78  1.0e-01  5.2e-04  0.0e+00  0.0e+00  2.0e-01  1.1e-03  2.0e-01
  18  T 3   5.780e-02   0e+00  0.74  1.0e-01  6.5e-04  6.2e-02  1.0e+00  1.9e-01  1.1e-03  1.9e-01
  19  T 0   5.579e-02   0e+00  0.85  1.0e-01  9.4e-04  1.0e-01  1.7e+00  1.9e-01  1.3e-03  1.9e-01
  20  F 0   5.579e-02   0e+00  0.85  1.0e-01  9.4e-04  0.0e+00  0.0e+00  1.9e-01  1.3e-03  1.9e-01
  20  F 1   5.579e-02   0e+00  0.85  1.0e-01  9.4e-04  0.0e+00  0.0e+00  1.9e-01  1.0e-03  1.9e-01
  20  F 2   5.579e-02   0e+00  0.85  1.0e-01  9.4e-04  0.0e+00  0.0e+00  2.1e-01  1.1e-03  2.1e-01
  20  T 3   5.479e-02   0e+00  0.81  1.0e-01  5.5e-04  6.2e-02  9.4e-01  1.9e-01  1.1e-03  1.9e-01
  21  T 0   5.361e-02   0e+00  0.84  1.0e-01  7.2e-04  1.0e-01  1.7e+00  1.9e-01  1.3e-03  1.9e-01
  22  F 0   5.361e-02   0e+00  0.84  1.0e-01  7.2e-04  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.0e-01
  22  F 1   5.361e-02   0e+00  0.84  1.0e-01  7.2e-04  0.0e+00  0.0e+00  1.9e-01  1.1e-03  1.9e-01
  22  F 2   5.361e-02   0e+00  0.84  1.0e-01  7.2e-04  0.0e+00  0.0e+00  1.9e-01  1.1e-03  1.9e-01
  22  T 3   5.247e-02   0e+00  0.80  1.0e-01  6.4e-04  6.2e-02  9.5e-01  1.9e-01  1.1e-03  1.9e-01
  23  F 0   5.247e-02   0e+00  0.80  1.0e-01  6.4e-04  0.0e+00  0.0e+00  1.9e-01  1.3e-03  1.9e-01
  23  F 1   5.247e-02   0e+00  0.80  1.0e-01  6.4e-04  0.0e+00  0.0e+00  2.0e-01  1.1e-03  2.1e-01
  23  F 2   5.247e-02   0e+00  0.80  1.0e-01  6.4e-04  0.0e+00  0.0e+00  1.9e-01  1.0e-03  1.9e-01
  23  F 3   5.239e-02   0e+00  0.80  1.0e-01  5.7e-04  6.2e-02  9.2e-01  1.9e-01  1.1e-03  2.0e-01
  24  F 0   5.239e-02   0e+00  0.80  1.0e-01  5.7e-04  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  24  F 1   5.239e-02   0e+00  0.80  1.0e-01  5.7e-04  0.0e+00  0.0e+00  1.9e-01  1.1e-03  1.9e-01
  24  F 2   5.239e-02   0e+00  0.80  1.0e-01  5.7e-04  0.0e+00  0.0e+00  1.9e-01  1.1e-03  1.9e-01
  24  F 3   5.216e-02   0e+00  0.81  1.0e-01  7.9e-04  6.2e-02  8.9e-01  1.9e-01  1.1e-03  1.9e-01
  25  F 0   5.216e-02   0e+00  0.81  1.0e-01  7.9e-04  0.0e+00  0.0e+00  1.9e-01  1.4e-03  1.9e-01
  25  F 1   5.216e-02   0e+00  0.81  1.0e-01  7.9e-04  0.0e+00  0.0e+00  1.9e-01  1.1e-03  1.9e-01
  25  F 2   5.216e-02   0e+00  0.81  1.0e-01  7.9e-04  0.0e+00  0.0e+00  2.0e-01  1.1e-03  2.0e-01
  25  F 3   5.206e-02   0e+00  0.81  1.0e-01  5.4e-04  6.2e-02  8.7e-01  1.9e-01  1.0e-03  1.9e-01
  26  F 0   5.206e-02   0e+00  0.81  1.0e-01  5.4e-04  0.0e+00  0.0e+00  2.3e-01  2.0e-03  2.3e-01
  26  F 1   5.206e-02   0e+00  0.81  1.0e-01  5.4e-04  0.0e+00  0.0e+00  2.0e-01  1.1e-03  2.1e-01
