   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  5.4e-01  0.0e+00  0.0e+00
   1  T 0   1.791e+00   0e+00  0.00  1.1e-01  5.0e-01  1.0e-01  6.0e+00  2.3e-01  4.7e-03  2.3e-01
   2  T 0   1.158e+00   0e+00  0.00  1.2e-01  2.2e-01  1.1e-01  6.6e+00  2.0e-01  1.4e-03  2.0e-01
   3  T 0   7.947e-01   0e+00  0.00  1.3e-01  1.0e-01  1.2e-01  7.3e+00  2.9e-01  1.4e-03  2.9e-01
   4  T 0   5.087e-01   0e+00  0.06  1.5e-01  1.8e-03  1.3e-01  7.8e+00  2.1e-01  1.4e-03  2.1e-01
   5  T 0   3.739e-01   0e+00  0.07  1.6e-01  2.3e-03  1.5e-01  6.8e+00  2.0e-01  1.4e-03  2.0e-01
   6  T 0   2.698e-01   0e+00  0.07  1.8e-01  2.4e-03  1.6e-01  6.4e+00  2.1e-01  1.4e-03  2.1e-01
   7  T 0   1.912e-01   0e+00  0.12  1.9e-01  2.8e-03  1.8e-01  5.8e+00  2.3e-01  1.5e-03  2.4e-01
   8  T 0   1.466e-01   0e+00  0.09  2.1e-01  2.9e-03  1.9e-01  5.3e+00  2.7e-01  1.4e-03  2.7e-01
   9  T 0   1.161e-01   0e+00  0.11  2.4e-01  3.0e-03  2.1e-01  5.0e+00  2.7e-01  1.4e-03  2.7e-01
  10  F 0   1.161e-01   0e+00  0.11  1.2e-01  3.0e-03  0.0e+00  0.0e+00  2.8e-01  1.5e-03  2.8e-01
  10  T 1   9.921e-02   0e+00  0.06  1.3e-01  2.9e-03  1.2e-01  3.0e+00  2.8e-01  1.1e-03  2.8e-01
  11  T 0   8.532e-02   0e+00  0.10  1.4e-01  2.9e-03  1.3e-01  3.0e+00  2.5e-01  1.4e-03  2.5e-01
  12  T 0   8.201e-02   0e+00  0.46  1.6e-01  1.4e-03  1.4e-01  3.1e+00  2.4e-01  1.4e-03  2.4e-01
  13  F 0   8.201e-02   0e+00  0.46  7.8e-02  1.4e-03  0.0e+00  0.0e+00  2.3e-01  1.4e-03  2.3e-01
  13  T 1   7.356e-02   0e+00  0.64  8.6e-02  9.0e-04  7.8e-02  1.8e+00  2.0e-01  1.1e-03  2.0e-01
  14  T 0   6.851e-02   0e+00  0.67  9.5e-02  9.1e-04  8.6e-02  1.8e+00  3.0e-01  1.3e-03  3.0e-01
  15  T 0   6.439e-02   0e+00  0.77  1.0e-01  4.6e-04  9.5e-02  1.8e+00  2.3e-01  1.5e-03  2.3e-01
  16  T 0   6.108e-02   0e+00  0.81  1.1e-01  4.5e-04  1.0e-01  1.9e+00  2.0e-01  1.4e-03  2.0e-01
  17  F 0   6.108e-02   0e+00  0.81  5.7e-02  4.5e-04  0.0e+00  0.0e+00  2.0e-01  1.4e-03  2.1e-01
  17  T 1   5.964e-02   0e+00  0.84  6.3e-02  6.8e-04  5.7e-02  1.1e+00  2.5e-01  1.1e-03  2.5e-01
  18  T 0   5.783e-02   0e+00  0.87  6.9e-02  4.4e-04  6.3e-02  1.2e+00  2.2e-01  1.4e-03  2.2e-01
  19  F 0   5.783e-02   0e+00  0.87  3.5e-02  4.4e-04  0.0e+00  0.0e+00  2.0e-01  1.4e-03  2.0e-01
  19  T 1   5.678e-02   0e+00  0.86  3.8e-02  5.7e-04  3.5e-02  6.9e-01  2.1e-01  1.1e-03  2.1e-01
  20  T 0   5.562e-02   0e+00  0.90  4.2e-02  3.7e-04  3.8e-02  7.3e-01  2.3e-01  1.3e-03  2.3e-01
  21  T 0   5.493e-02   0e+00  0.89  4.6e-02  6.1e-04  4.2e-02  7.6e-01  2.0e-01  1.5e-03  2.0e-01
  22  T 0   5.393e-02   0e+00  0.90  5.1e-02  3.9e-04  4.6e-02  8.1e-01  2.0e-01  1.4e-03  2.0e-01
  23  F 0   5.393e-02   0e+00  0.90  2.5e-02  3.9e-04  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.0e-01
  23  T 1   5.336e-02   0e+00  0.90  2.8e-02  4.7e-04  2.5e-02  4.6e-01  2.0e-01  1.1e-03  2.0e-01
  24  T 0   5.263e-02   0e+00  0.91  3.1e-02  3.5e-04  2.8e-02  4.9e-01  2.0e-01  1.4e-03  2.0e-01
  25  T 0   5.191e-02   0e+00  0.91  3.4e-02  4.3e-04  3.1e-02  5.1e-01  2.1e-01  1.4e-03  2.1e-01
  26  T 0   5.132e-02   0e+00  0.92  3.7e-02  3.8e-04  3.4e-02  5.3e-01  2.0e-01  1.4e-03  2.0e-01
  27  T 0   5.104e-02   0e+00  0.92  4.1e-02  5.6e-04  3.7e-02  6.0e-01  2.1e-01  1.4e-03  2.1e-01
  28  F 0   5.104e-02   0e+00  0.92  2.0e-02  5.6e-04  0.0e+00  0.0e+00  2.0e-01  2.1e-03  2.0e-01
  28  T 1   5.067e-02   1e-07  0.91  2.3e-02  3.1e-04  2.0e-02  3.2e-01  2.0e-01  2.1e-03  2.0e-01
  29  T 0   5.036e-02   1e-05  0.92  2.5e-02  3.4e-04  2.3e-02  3.5e-01  2.0e-01  1.6e-03  2.0e-01
  30  T 0   5.014e-02   0e+00  0.92  2.7e-02  3.0e-04  2.5e-02  3.5e-01  2.0e-01  2.2e-03  2.0e-01
  31  T 0   4.995e-02   0e+00  0.93  3.0e-02  4.1e-04  2.7e-02  3.8e-01  2.1e-01  2.4e-03  2.1e-01
  32  F 0   4.995e-02   0e+00  0.93  1.5e-02  4.1e-04  0.0e+00  0.0e+00  2.0e-01  2.3e-03  2.1e-01
  32  T 1   4.983e-02   0e+00  0.93  1.6e-02  1.6e-04  1.5e-02  2.1e-01  2.0e-01  2.1e-03  2.1e-01
  33  T 0   4.968e-02   0e+00  0.94  1.8e-02  2.1e-04  1.6e-02  2.2e-01  2.0e-01  2.1e-03  2.1e-01
  34  T 0   4.952e-02   4e-06  0.94  2.0e-02  2.0e-04  1.8e-02  2.5e-01  2.0e-01  2.1e-03  2.0e-01
  35  T 0   4.936e-02   0e+00  0.94  2.2e-02  2.1e-04  2.0e-02  2.6e-01  2.1e-01  2.0e-03  2.1e-01
  36  T 0   4.920e-02   2e-06  0.94  2.4e-02  2.1e-04  2.2e-02  2.8e-01  2.1e-01  2.2e-03  2.1e-01
  37  T 0   4.904e-02   0e+00  0.95  2.7e-02  2.1e-04  2.4e-02  2.9e-01  2.1e-01  1.9e-03  2.1e-01
  38  T 0   4.889e-02   0e+00  0.95  2.9e-02  1.9e-04  2.7e-02  3.0e-01  2.1e-01  1.5e-03  2.1e-01
