   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  1.0e+00  1.0e+00  5.7e-01  0.0e+00  0.0e+00
   1  F 0   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.7e-01  6.1e-03  2.8e-01
   1  F 1   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.3e-01  2.2e-03  2.4e-01
   1  F 2   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.0e-01  2.3e-03  2.0e-01
   1  F 3   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.0e-01  2.3e-03  2.0e-01
   1  F 4   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.3e-01  2.3e-03  2.3e-01
   1  F 5   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.0e-01  2.3e-03  2.1e-01
   1  F 6   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00  2.1e-01  2.2e-03  2.1e-01
   1  T 7   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  3.5e-01  1.5e+00  2.1e-01  2.2e-03  2.1e-01
   2  F 0   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00  2.1e-01  2.0e-03  2.1e-01
   2  F 1   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   2  F 2   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.1e-01
   2  T 3   9.114e-01   0e+00  0.02  1.0e-01  3.0e-03  3.4e-01  8.4e+00  2.0e-01  1.6e-03  2.0e-01
   3  T 0   5.433e-01   0e+00  0.09  1.0e-01  2.0e-03  3.8e-01  1.4e+01  2.1e-01  2.1e-03  2.1e-01
   4  T 0   3.494e-01   0e+00  0.47  1.0e-01  8.5e-04  4.4e-01  1.1e+01  2.0e-01  2.1e-03  2.0e-01
   5  T 0   2.654e-01   0e+00  0.55  1.0e-01  7.6e-04  3.9e-01  7.2e+00  2.1e-01  2.0e-03  2.1e-01
   6  T 0   1.973e-01   0e+00  0.54  1.0e-01  7.2e-04  3.9e-01  6.3e+00  2.0e-01  2.0e-03  2.0e-01
   7  T 0   1.330e-01   0e+00  0.67  1.0e-01  4.6e-04  3.9e-01  5.9e+00  2.0e-01  2.0e-03  2.0e-01
