   k  l     Obj        Vio     Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  1.0e+00  1.0e+00  3.5e-01  0.0e+00  0.0e+00
   1  T 0   1.792e+00   0e+00  0.00  1.0e-01  5.0e-01  1.0e-01  6.0e+00  1.5e-01  3.8e-03  1.6e-01
   2  T 0   1.194e+00   0e+00  0.00  1.0e-01  2.4e-01  1.0e-01  6.0e+00  1.5e-01  2.1e-03  1.5e-01
   3  T 0   8.585e-01   0e+00  0.00  1.0e-01  1.2e-01  1.0e-01  6.0e+00  1.5e-01  1.3e-03  1.5e-01
   4  T 0   5.888e-01   0e+00  0.07  1.0e-01  1.7e-03  1.0e-01  6.0e+00  1.5e-01  1.3e-03  1.5e-01
   5  T 0   4.398e-01   0e+00  0.06  1.0e-01  2.0e-03  1.0e-01  5.8e+00  1.5e-01  1.3e-03  1.5e-01
   6  T 0   2.832e-01   0e+00  0.51  1.0e-01  8.3e-04  1.0e-01  5.7e+00  1.5e-01  1.3e-03  1.5e-01
   7  T 0   2.313e-01   0e+00  0.50  1.0e-01  7.8e-04  1.0e-01  4.2e+00  1.5e-01  1.3e-03  1.6e-01
   8  T 0   1.772e-01   0e+00  0.65  1.0e-01  5.6e-04  1.0e-01  4.2e+00  1.5e-01  1.3e-03  1.6e-01
   9  T 0   1.511e-01   0e+00  0.62  1.0e-01  1.2e-03  1.0e-01  3.6e+00  1.6e-01  1.3e-03  1.6e-01
Total number of system evaluations: 10
