   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   2.098e+03   2e+01  0.00  1.0e+00  5.1e+01  1.0e+00  1.0e+00
   1  T 0   2.389e+03   5e+00  0.00  1.0e+00  4.1e+06  2.4e+00  4.1e+00
   2  T 0   1.631e+03   3e+01  0.10  1.0e+00  1.6e+02  5.7e+00  9.8e+00
   3  T 0   1.767e+03   2e+00  0.10  1.0e+00  4.0e+07  1.3e+00  2.6e+00
   4  T 0   1.587e+03   1e+00  0.10  1.0e+00  7.1e+02  3.3e+00  3.9e+00
   5  T 0   1.512e+03   4e-01  0.10  1.0e+00  1.2e+02  1.2e+00  1.4e+00
   6  T 0   1.507e+03   2e-03  0.10  1.0e+00  4.2e+01  2.2e-02  4.3e-02
   7  T 0   1.506e+03   1e-03  0.10  1.0e+00  1.8e+01  7.8e-03  1.6e-02
   8  T 0   1.506e+03   2e-03  0.10  1.0e+00  1.8e+01  6.6e-03  1.6e-02
   9  T 0   1.506e+03   0e+00  0.10  1.0e+00  1.8e+01  7.0e-03  1.6e-02
  10  T 0   1.505e+03   4e-04  0.10  1.0e+00  1.8e+01  6.3e-03  1.5e-02
  11  T 0   1.505e+03   7e-05  0.10  1.0e+00  1.8e+01  6.0e-03  1.4e-02
  12  T 0   1.505e+03   1e-03  0.10  1.0e+00  1.8e+01  5.8e-03  1.4e-02
Total number of system evaluations: 13
