   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   1.560e+00   0e+00  0.00  2.0e+00  2.9e+05  1.0e+00  1.0e+00
   1  T 0   1.274e+00   3e-01  0.00  2.0e+00  1.4e-01  2.5e+00  4.0e+00
   2  F 0   1.270e+00   3e-01  0.00  2.0e+00  5.6e-02  1.6e+00  2.3e+00
   3  F 0   1.304e+00   1e-01  0.00  2.0e+00  4.9e-02  1.2e+00  1.8e+00
   4  F 0   1.318e+00   8e-02  0.00  2.0e+00  2.6e-02  9.8e-01  1.4e+00
   5  F 0   1.329e+00   4e-02  0.00  2.0e+00  2.6e-02  7.1e-01  1.1e+00
   6  F 0   1.333e+00   2e-02  0.00  2.0e+00  1.6e-02  5.7e-01  8.1e-01
   7  F 0   1.336e+00   1e-02  0.00  2.0e+00  1.5e-02  4.3e-01  6.3e-01
   8  F 0   1.338e+00   8e-03  0.00  2.0e+00  9.5e-03  3.3e-01  4.8e-01
   9  F 0   1.339e+00   5e-03  0.00  2.0e+00  8.2e-03  2.5e-01  3.7e-01
  10  F 0   1.339e+00   3e-03  0.00  2.0e+00  5.7e-03  1.9e-01  2.8e-01
  11  F 0   1.340e+00   2e-03  0.00  2.0e+00  4.7e-03  1.5e-01  2.2e-01
  12  F 0   1.340e+00   9e-04  0.00  2.0e+00  3.4e-03  1.1e-01  1.6e-01
Total number of system evaluations: 13
