   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   1.305e+01   3e+01  0.00  2.0e+00  4.1e-03  1.0e+00  1.0e+00
   1  T 0   1.204e+01   0e+00  0.00  2.0e+00  1.6e-03  2.0e+02  3.6e+02
   2  T 0   1.167e+01   0e+00  0.00  2.0e+00  3.2e-04  2.9e+01  4.4e+01
   3  T 0   1.165e+01   0e+00  0.00  2.0e+00  2.7e-04  1.3e+01  2.5e+01
   4  T 0   1.163e+01   0e+00  0.00  2.0e+00  2.7e-04  1.3e+01  2.5e+01
   5  T 0   1.162e+01   0e+00  0.00  2.0e+00  2.8e-04  1.3e+01  2.5e+01
   6  T 0   1.160e+01   0e+00  0.00  2.0e+00  2.8e-04  1.2e+01  2.5e+01
   7  T 0   1.159e+01   0e+00  0.00  2.0e+00  2.9e-04  1.2e+01  2.5e+01
   8  T 0   1.157e+01   0e+00  0.00  2.0e+00  2.9e-04  1.2e+01  2.4e+01
   9  T 0   1.156e+01   0e+00  0.00  2.0e+00  3.0e-04  1.2e+01  2.4e+01
  10  T 0   1.154e+01   0e+00  0.00  2.0e+00  3.0e-04  1.2e+01  2.4e+01
  11  T 0   1.153e+01   0e+00  0.00  2.0e+00  3.1e-04  1.2e+01  2.4e+01
  12  T 0   1.151e+01   0e+00  0.00  2.0e+00  3.1e-04  1.2e+01  2.3e+01
  13  T 0   1.150e+01   0e+00  0.00  2.0e+00  3.2e-04  1.1e+01  2.3e+01
Total number of system evaluations: 14
