   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   1.305e+01   3e+01  0.00  2.0e+00  4.1e-03  1.0e+00  1.0e+00
   1  T 0   1.210e+01   0e+00  0.00  2.0e+00  2.7e-03  2.0e+02  3.6e+02
   2  T 0   1.167e+01   0e+00  0.00  2.0e+00  4.4e-04  3.1e+01  4.6e+01
   3  T 0   1.165e+01   0e+00  0.00  2.0e+00  2.8e-04  8.8e+00  2.0e+01
   4  T 0   1.164e+01   0e+00  0.00  2.0e+00  2.9e-04  1.2e+01  2.4e+01
   5  T 0   1.162e+01   0e+00  0.00  2.0e+00  2.9e-04  1.6e+01  3.1e+01
   6  T 0   1.160e+01   0e+00  0.00  2.0e+00  2.9e-04  2.2e+01  4.2e+01
   7  T 0   1.156e+01   0e+00  0.00  2.0e+00  2.8e-04  2.9e+01  5.6e+01
   8  T 0   1.152e+01   0e+00  0.00  2.0e+00  2.8e-04  3.8e+01  7.5e+01
   9  T 0   1.147e+01   0e+00  0.00  2.0e+00  2.8e-04  5.4e+01  1.0e+02
  10  T 0   1.141e+01   0e+00  0.25  2.0e+00  3.0e-04  5.2e+01  9.5e+01
  11  T 0   1.136e+01   0e+00  0.25  2.0e+00  3.7e-04  6.0e+01  1.0e+02
  12  T 0   1.130e+01   0e+00  0.25  2.0e+00  3.5e-04  7.6e+01  1.3e+02
  13  T 0   1.124e+01   0e+00  0.50  2.0e+00  2.5e-04  6.9e+01  1.2e+02
  14  T 0   1.123e+01   3e-04  0.50  2.0e+00  1.1e-05  1.4e+00  2.1e+00
Total number of system evaluations: 15
