   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   2.028e+03   0e+00  0.00  2.0e-01  1.1e+02  1.0e+00  1.0e+00
   1  T 0   1.110e+03   0e+00  0.00  2.0e-01  8.2e+00  2.0e-01  1.6e+01
   2  T 0   7.599e+02   0e+00  0.00  2.0e-01  3.5e+00  2.0e-01  1.3e+01
   3  T 0   6.053e+02   1e-06  0.06  2.0e-01  5.4e-01  2.0e-01  1.0e+01
   4  T 0   5.513e+02   0e+00  0.09  2.0e-01  3.9e-01  2.0e-01  7.5e+00
   5  T 0   5.222e+02   0e+00  0.13  2.0e-01  3.2e-01  1.8e-01  5.1e+00
   6  T 0   5.031e+02   0e+00  0.15  2.0e-01  3.0e-01  2.0e-01  4.6e+00
   7  T 0   4.843e+02   0e+00  0.17  2.0e-01  2.8e-01  1.7e-01  4.1e+00
   8  T 0   4.668e+02   0e+00  0.19  2.0e-01  2.6e-01  2.0e-01  4.1e+00
   9  T 0   4.488e+02   0e+00  0.21  2.0e-01  2.4e-01  1.7e-01  3.9e+00
Total number of system evaluations: 10
