   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  1.0e+00  1.0e+00
   1  F 0   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 1   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 2   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 3   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 4   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 5   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  F 6   3.084e+00   0e+00  0.00  1.0e-01  3.3e+03  0.0e+00  0.0e+00
   1  T 7   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  3.5e-01  1.5e+00
   2  F 0   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00
   2  F 1   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00
   2  F 2   1.641e+00   0e+00  0.00  1.0e-01  2.2e-01  0.0e+00  0.0e+00
   2  T 3   9.112e-01   0e+00  0.02  1.0e-01  3.0e-03  3.4e-01  8.4e+00
   3  T 0   5.434e-01   0e+00  0.09  1.0e-01  2.0e-03  3.8e-01  1.4e+01
   4  T 0   3.506e-01   0e+00  0.47  1.0e-01  8.4e-04  4.4e-01  1.1e+01
   5  T 0   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  3.9e-01  6.8e+00
   6  F 0   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 1   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 2   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 3   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 4   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 5   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 6   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 7   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 8   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F 9   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  F10   2.735e-01   0e+00  0.54  1.0e-01  1.5e-03  0.0e+00  0.0e+00
   6  T11   2.730e-01   0e+00  0.53  1.0e-01  1.2e-03  1.1e-02  4.3e-02
   7  T 0   2.034e-01   0e+00  0.54  1.0e-01  2.6e-03  5.1e-01  6.6e+00
Total number of system evaluations: 29
