   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   5.153e-01   0e+00  0.00  1.0e-01  6.6e+02  1.0e+00  1.0e+00
   1  T 0   3.597e-01   0e+00  0.00  1.0e-01  3.6e-02  1.0e-01  8.5e+00
   2  T 0   2.592e-01   0e+00  0.00  1.0e-01  2.1e-02  1.0e-01  8.5e+00
   3  T 0   1.953e-01   0e+00  0.00  1.0e-01  1.3e-02  1.0e-01  8.5e+00
   4  T 0   1.521e-01   0e+00  0.26  1.0e-01  1.6e-04  1.0e-01  8.0e+00
   5  T 0   1.331e-01   0e+00  0.24  1.0e-01  1.4e-04  1.0e-01  6.1e+00
   6  T 0   1.124e-01   0e+00  0.55  1.0e-01  1.3e-04  1.0e-01  5.7e+00
   7  T 0   1.072e-01   0e+00  0.51  1.0e-01  1.3e-04  1.0e-01  3.2e+00
   8  T 0   1.016e-01   0e+00  0.53  1.0e-01  1.3e-04  1.0e-01  3.0e+00
   9  T 0   9.710e-02   0e+00  0.53  1.0e-01  1.4e-04  8.1e-02  2.7e+00
  10  T 0   9.205e-02   0e+00  0.54  1.0e-01  1.4e-04  8.9e-02  3.0e+00
  11  T 0   8.662e-02   0e+00  0.54  9.7e-02  1.4e-04  9.7e-02  3.0e+00
  12  T 0   8.071e-02   0e+00  0.54  1.0e-01  1.4e-04  1.0e-01  3.2e+00
  13  T 0   7.575e-02   0e+00  0.58  1.0e-01  1.4e-04  1.0e-01  2.8e+00
  14  T 0   7.122e-02   0e+00  0.59  1.0e-01  4.4e-04  1.0e-01  2.9e+00
  15  F 0   6.905e-02   0e+00  0.67  1.0e-01  1.3e-04  1.0e-01  2.3e+00
  16  T 0   6.717e-02   0e+00  0.66  1.0e-01  1.3e-04  1.0e-01  2.2e+00
  17  T 0   6.563e-02   0e+00  0.69  1.0e-01  1.2e-04  1.0e-01  1.7e+00
  18  T 0   6.438e-02   0e+00  0.72  1.0e-01  1.2e-04  1.0e-01  1.4e+00
  19  T 0   6.343e-02   0e+00  0.74  1.0e-01  1.2e-04  9.5e-02  1.3e+00
  20  T 0   6.271e-02   0e+00  0.73  1.0e-01  1.3e-04  1.0e-01  1.3e+00
  21  T 0   6.180e-02   0e+00  0.73  1.0e-01  1.3e-04  1.0e-01  1.3e+00
  22  T 0   6.085e-02   0e+00  0.72  1.0e-01  1.3e-04  1.0e-01  1.3e+00
  23  T 0   5.982e-02   0e+00  0.75  1.0e-01  1.1e-04  1.0e-01  1.4e+00
  24  T 0   5.883e-02   0e+00  0.75  1.0e-01  1.3e-04  9.9e-02  1.3e+00
  25  T 0   5.779e-02   0e+00  0.77  1.0e-01  8.9e-05  1.0e-01  1.3e+00
  26  T 0   5.680e-02   0e+00  0.78  1.0e-01  9.2e-05  8.4e-02  1.4e+00
  27  T 0   5.578e-02   0e+00  0.80  1.0e-01  9.6e-05  9.3e-02  1.4e+00
  28  T 0   5.497e-02   0e+00  0.83  1.0e-01  9.8e-05  1.0e-01  1.4e+00
  29  T 0   5.427e-02   0e+00  0.84  1.0e-01  9.8e-05  1.0e-01  1.3e+00
  30  T 0   5.365e-02   0e+00  0.85  1.0e-01  9.7e-05  1.0e-01  1.3e+00
  31  T 0   5.318e-02   0e+00  0.88  1.0e-01  9.6e-05  1.0e-01  1.1e+00
  32  T 0   5.286e-02   0e+00  0.89  1.0e-01  9.5e-05  1.0e-01  8.8e-01
  33  T 0   5.260e-02   0e+00  0.89  1.0e-01  9.3e-05  8.2e-02  7.3e-01
  34  T 0   5.234e-02   0e+00  0.89  1.0e-01  9.1e-05  8.2e-02  7.5e-01
  35  T 0   5.207e-02   0e+00  0.90  9.0e-02  8.9e-05  9.0e-02  7.9e-01
  36  T 0   5.178e-02   0e+00  0.90  9.9e-02  8.8e-05  9.9e-02  8.2e-01
  37  T 0   5.148e-02   0e+00  0.90  1.0e-01  8.6e-05  1.0e-01  8.7e-01
  38  T 0   5.117e-02   0e+00  0.90  1.0e-01  8.3e-05  1.0e-01  9.0e-01
  39  T 0   5.090e-02   0e+00  0.91  1.0e-01  7.0e-05  9.9e-02  8.1e-01
  40  T 0   5.069e-02   0e+00  0.91  1.0e-01  7.1e-05  9.9e-02  7.2e-01
  41  T 0   5.048e-02   0e+00  0.92  1.0e-01  7.2e-05  1.0e-01  6.7e-01
  42  T 0   5.027e-02   0e+00  0.92  1.0e-01  7.3e-05  8.0e-02  7.0e-01
  43  T 0   5.007e-02   0e+00  0.92  1.0e-01  7.4e-05  8.8e-02  7.2e-01
  44  T 0   4.990e-02   0e+00  0.93  9.7e-02  7.5e-05  9.0e-02  7.4e-01
  45  T 0   4.975e-02   0e+00  0.93  1.0e-01  7.6e-05  9.7e-02  7.3e-01
  46  T 0   4.962e-02   0e+00  0.94  1.0e-01  7.7e-05  1.0e-01  7.1e-01
  47  T 0   4.950e-02   0e+00  0.94  1.0e-01  7.7e-05  1.0e-01  6.5e-01
  48  T 0   4.941e-02   0e+00  0.94  1.0e-01  7.8e-05  1.0e-01  5.7e-01
  49  T 0   4.932e-02   0e+00  0.94  1.0e-01  7.9e-05  7.1e-02  5.3e-01
  50  T 0   4.923e-02   0e+00  0.95  1.0e-01  7.9e-05  7.8e-02  5.2e-01
  51  T 0   4.914e-02   0e+00  0.95  8.6e-02  8.0e-05  8.6e-02  5.6e-01
  52  T 0   4.904e-02   0e+00  0.95  9.4e-02  8.1e-05  9.1e-02  5.9e-01
  53  T 0   4.894e-02   0e+00  0.95  1.0e-01  8.2e-05  8.8e-02  6.1e-01
  54  T 0   4.883e-02   0e+00  0.95  1.0e-01  8.2e-05  1.0e-01  6.6e-01
  55  T 0   4.873e-02   0e+00  0.96  1.0e-01  8.3e-05  1.0e-01  6.0e-01
  56  T 0   4.866e-02   0e+00  0.96  1.0e-01  8.3e-05  1.0e-01  4.5e-01
  57  T 0   4.860e-02   0e+00  0.96  1.0e-01  8.3e-05  7.1e-02  4.3e-01
  58  T 0   4.853e-02   0e+00  0.96  1.0e-01  8.3e-05  7.6e-02  4.3e-01
  59  T 0   4.846e-02   0e+00  0.96  8.3e-02  8.3e-05  8.3e-02  4.4e-01
  60  T 0   4.839e-02   0e+00  0.96  9.2e-02  8.3e-05  9.2e-02  4.6e-01
  61  T 0   4.832e-02   0e+00  0.96  1.0e-01  8.3e-05  8.3e-02  4.8e-01
  62  T 0   4.824e-02   0e+00  0.96  1.0e-01  8.3e-05  9.2e-02  5.1e-01
  63  T 0   4.817e-02   0e+00  0.97  1.0e-01  8.3e-05  9.2e-02  5.2e-01
  64  T 0   4.812e-02   0e+00  0.97  1.0e-01  8.2e-05  6.1e-02  3.6e-01
  65  T 0   4.808e-02   0e+00  0.97  1.0e-01  8.2e-05  6.1e-02  3.7e-01
