   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
   0  T 0   5.153e-01   0e+00  0.00  1.0e-01  8.2e+02  1.0e+00  1.0e+00
   1  F 0   5.153e-01   0e+00  0.00  1.0e-01  8.2e+02  0.0e+00  0.0e+00
   1  F 1   5.153e-01   0e+00  0.00  1.0e-01  8.2e+02  0.0e+00  0.0e+00
   1  F 2   5.153e-01   0e+00  0.00  1.0e-01  8.2e+02  0.0e+00  0.0e+00
   1  F 3   5.153e-01   0e+00  0.00  1.0e-01  8.2e+02  0.0e+00  0.0e+00
   1  T 4   2.524e-01   0e+00  0.00  1.0e-01  1.0e-03  4.0e-01  1.1e+01
   2  T 0   1.551e-01   0e+00  0.18  1.0e-01  1.5e-04  3.1e-01  1.8e+01
   3  F 0   1.551e-01   0e+00  0.18  1.0e-01  1.5e-04  0.0e+00  0.0e+00
   3  T 1   1.264e-01   0e+00  0.34  1.0e-01  1.4e-04  3.1e-01  1.1e+01
   4  T 0   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  5.7e-01  1.2e+01
   5  F 0   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 1   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 2   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 3   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 4   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 5   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 6   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 7   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 8   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F 9   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F10   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F11   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F12   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F13   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F14   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F15   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F16   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  F17   1.060e-01   0e+00  0.44  1.0e-01  2.4e-04  0.0e+00  0.0e+00
   5  T18   1.056e-01   0e+00  0.41  1.0e-01  2.1e-04  5.1e-02  2.5e-01
   6  F 0   1.056e-01   0e+00  0.41  1.0e-01  2.1e-04  0.0e+00  0.0e+00
   6  T 1   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  2.8e-01  3.8e+00
   7  F 0   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  0.0e+00  0.0e+00
   7  F 1   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  0.0e+00  0.0e+00
   7  F 2   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  0.0e+00  0.0e+00
   7  F 3   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  0.0e+00  0.0e+00
   7  F 4   9.783e-02   0e+00  0.43  1.0e-01  4.8e-03  0.0e+00  0.0e+00
