   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   6.771e-01   5e+01  0.98  1.0e-01  4.0e+10  1.0e+00  1.0e+00  3.3e-02  0.0e+00  0.0e+00
   1  T 0   1.492e+00   4e+01  0.98  1.0e-01  1.0e+00  1.0e+00  1.2e+01  3.7e-02  2.8e-02  6.5e-02
   2  T 0   1.690e+00   3e+01  0.98  1.0e-01  1.0e+00  1.0e-01  1.6e-01  2.5e-02  2.7e-02  5.2e-02
   3  T 0   1.883e+00   3e+01  0.98  1.0e-01  1.0e+00  1.0e-01  1.4e-01  2.5e-02  2.7e-02  5.2e-02
   4  T 0   1.968e+00   1e+01  0.98  1.0e-01  1.0e+00  1.0e-01  1.1e-01  2.5e-02  2.6e-02  5.2e-02
   5  T 0   2.034e+00   0e+00  0.98  1.0e-01  1.0e+00  1.0e-01  1.3e-01  3.0e-02  3.2e-02  6.2e-02
   6  F 0   6.603e-01   3e-01  0.98  1.0e-01  1.0e+00  1.0e+00  1.6e+01  2.5e-02  3.1e-02  5.6e-02
   7  T 0   6.561e-01   1e-01  0.98  1.0e-01  1.0e+00  1.0e+00  1.5e+00  2.5e-02  4.1e-02  6.5e-02
   8  F 0   6.559e-01   2e-02  0.98  1.0e-01  1.0e+00  2.0e-01  2.8e-01  2.9e-02  3.9e-02  6.8e-02
   9  F 0   6.558e-01   6e-03  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  2.5e-02  4.0e-02  6.5e-02
  10  F 0   6.558e-01   3e-03  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  2.5e-02  5.0e-02  7.4e-02
  11  T 0   6.558e-01   4e-04  0.98  1.0e-01  1.0e+00  2.0e-01  2.5e-01  2.5e-02  4.9e-02  7.3e-02
  12  F 0   6.558e-01   3e-05  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  3.1e-02  4.2e-02  7.3e-02
  13  F 0   6.558e-01   1e-05  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  2.5e-02  4.4e-02  7.0e-02
  14  F 0   6.558e-01   4e-06  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  2.5e-02  7.2e-02  9.8e-02
  15  F 0   6.558e-01   9e-07  0.98  1.0e-01  1.0e+00  2.0e-01  3.4e-01  2.6e-02  1.1e-01  1.3e-01
  16  F 0   6.558e-01   7e-08  0.99  1.0e-01  1.0e+00  1.6e-01  2.0e-01  3.0e-02  4.8e-02  7.8e-02
  17  F 0   6.558e-01   7e-08  0.99  1.0e-01  1.0e+00  0.0e+00  0.0e+00  2.5e-02  3.2e-02  5.7e-02
Termination on Convergence criteria
