   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+08   0e+00  0.00  2.0e-01  3.3e+03  1.0e+00  1.0e+00  4.8e-01  0.0e+00  0.0e+00
   1  T 0   3.370e+08  -2e-16  0.00  2.0e-01  4.6e-01  2.0e-01  3.0e+00  2.0e-01  5.4e-03  2.1e-01
   2  T 0   1.509e+08   6e-07  0.00  2.0e-01  8.9e-02  2.0e-01  3.9e+00  2.0e-01  2.3e-03  2.1e-01
   3  T 0   7.657e+07  -8e-06  0.00  2.0e-01  1.8e-02  2.0e-01  3.8e+00  2.0e-01  2.3e-03  2.0e-01
   4  T 0   4.977e+07  -2e-03  0.00  2.0e-01  4.7e-03  2.0e-01  4.2e+00  2.0e-01  1.4e-03  2.0e-01
   5  T 0   3.035e+07  -1e-01  0.00  2.0e-01  6.2e-03  2.0e-01  4.3e+00  2.2e-01  1.2e-03  2.2e-01
   6  T 0   1.989e+07  -3e-01  0.00  2.0e-01  8.2e-03  2.0e-01  4.7e+00  2.0e-01  9.7e-04  2.0e-01
   7  F 0   1.989e+07  -3e-01  0.00  2.0e-01  8.2e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
   7  T 1   1.654e+07  -4e-01  0.03  2.0e-01  9.2e-03  2.0e-01  3.1e+00  2.0e-01  9.9e-04  2.0e-01
   8  T 0   1.405e+07  -4e-01  0.08  2.0e-01  3.3e-03  2.0e-01  4.6e+00  2.0e-01  1.2e-03  2.0e-01
   9  F 0   1.405e+07  -4e-01  0.08  2.0e-01  3.3e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
   9  T 1   1.187e+07  -6e-01  0.14  2.0e-01  2.5e-03  2.0e-01  3.0e+00  2.0e-01  1.0e-03  2.0e-01
  10  T 0   1.101e+07  -6e-01  0.16  2.0e-01  3.4e-03  2.0e-01  4.1e+00  2.0e-01  1.2e-03  2.0e-01
  11  F 0   1.101e+07  -6e-01  0.16  2.0e-01  3.4e-03  0.0e+00  0.0e+00  2.2e-01  1.2e-03  2.2e-01
  11  T 1   9.916e+06  -6e-01  0.18  2.0e-01  5.0e-03  2.0e-01  2.9e+00  2.0e-01  1.0e-03  2.0e-01
  12  F 0   9.916e+06  -6e-01  0.18  2.0e-01  5.0e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  12  T 1   9.663e+06  -6e-01  0.19  2.0e-01  2.9e-03  2.0e-01  3.0e+00  2.0e-01  9.9e-04  2.0e-01
  13  F 0   9.663e+06  -6e-01  0.19  2.0e-01  2.9e-03  0.0e+00  0.0e+00  2.3e-01  1.2e-03  2.3e-01
  13  T 1   9.215e+06  -6e-01  0.20  2.0e-01  3.3e-03  2.0e-01  3.0e+00  2.0e-01  1.0e-03  2.0e-01
  14  F 0   9.215e+06  -6e-01  0.20  2.0e-01  3.3e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  14  F 1   9.215e+06  -6e-01  0.20  2.0e-01  3.3e-03  0.0e+00  0.0e+00  2.6e-01  1.0e-03  2.7e-01
  14  T 2   8.722e+06  -6e-01  0.18  2.0e-01  3.8e-03  1.2e-01  1.7e+00  2.8e-01  1.1e-03  2.8e-01
  15  T 0   8.303e+06  -7e-01  0.25  2.0e-01  4.7e-03  2.0e-01  3.6e+00  2.3e-01  1.3e-03  2.3e-01
  16  F 0   8.303e+06  -7e-01  0.25  2.0e-01  4.7e-03  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  16  T 1   8.056e+06  -5e-01  0.24  2.0e-01  4.1e-03  2.0e-01  2.9e+00  2.0e-01  1.0e-03  2.0e-01
  17  F 0   8.056e+06  -5e-01  0.24  2.0e-01  4.1e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  17  F 1   8.056e+06  -5e-01  0.24  2.0e-01  4.1e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.1e-01
  17  T 2   7.548e+06  -6e-01  0.23  2.0e-01  4.2e-03  1.2e-01  1.6e+00  2.1e-01  9.9e-04  2.1e-01
  18  F 0   7.548e+06  -6e-01  0.23  2.0e-01  4.2e-03  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  18  T 1   7.363e+06  -6e-01  0.29  2.0e-01  2.7e-03  2.0e-01  2.4e+00  2.0e-01  9.9e-04  2.0e-01
  19  F 0   7.363e+06  -6e-01  0.29  2.0e-01  2.7e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  19  F 1   7.363e+06  -6e-01  0.29  2.0e-01  2.7e-03  0.0e+00  0.0e+00  2.1e-01  9.9e-04  2.1e-01
  19  T 2   7.073e+06  -5e-01  0.30  2.0e-01  2.9e-03  1.2e-01  1.3e+00  2.1e-01  1.0e-03  2.1e-01
  20  F 0   7.073e+06  -5e-01  0.30  2.0e-01  2.9e-03  0.0e+00  0.0e+00  2.2e-01  1.2e-03  2.2e-01
  20  T 1   7.062e+06  -5e-01  0.32  2.0e-01  3.0e-03  2.0e-01  2.2e+00  2.0e-01  1.0e-03  2.0e-01
  21  F 0   7.062e+06  -5e-01  0.32  2.0e-01  3.0e-03  0.0e+00  0.0e+00  2.4e-01  1.2e-03  2.4e-01
  21  F 1   7.062e+06  -5e-01  0.32  2.0e-01  3.0e-03  0.0e+00  0.0e+00  2.1e-01  1.0e-03  2.1e-01
  21  T 2   6.760e+06  -5e-01  0.32  2.0e-01  3.2e-03  1.2e-01  1.4e+00  2.1e-01  1.1e-03  2.1e-01
  22  F 0   6.760e+06  -5e-01  0.32  2.0e-01  3.2e-03  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  22  F 1   6.760e+06  -5e-01  0.32  2.0e-01  3.2e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.0e-01
  22  T 2   6.671e+06  -5e-01  0.32  2.0e-01  3.5e-03  1.2e-01  1.3e+00  2.1e-01  1.1e-03  2.1e-01
  23  F 0   6.671e+06  -5e-01  0.32  2.0e-01  3.5e-03  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  23  F 1   6.671e+06  -5e-01  0.32  2.0e-01  3.5e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.0e-01
  23  T 2   6.622e+06  -5e-01  0.34  2.0e-01  3.9e-03  1.2e-01  1.3e+00  2.1e-01  1.0e-03  2.1e-01
  24  F 0   6.622e+06  -5e-01  0.34  2.0e-01  3.9e-03  0.0e+00  0.0e+00  2.0e-01  1.4e-03  2.0e-01
  24  F 1   6.622e+06  -5e-01  0.34  2.0e-01  3.9e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.1e-01
  24  T 2   6.594e+06  -5e-01  0.33  2.0e-01  3.1e-03  1.2e-01  1.4e+00  2.0e-01  1.0e-03  2.0e-01
  25  F 0   6.594e+06  -5e-01  0.33  2.0e-01  3.1e-03  0.0e+00  0.0e+00  2.1e-01  1.3e-03  2.1e-01
  25  F 1   6.594e+06  -5e-01  0.33  2.0e-01  3.1e-03  0.0e+00  0.0e+00  2.1e-01  1.0e-03  2.2e-01
  25  T 2   6.537e+06  -5e-01  0.34  2.0e-01  3.3e-03  1.2e-01  1.4e+00  2.1e-01  1.1e-03  2.1e-01
  26  F 0   6.537e+06  -5e-01  0.34  2.0e-01  3.3e-03  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.0e-01
  26  F 1   6.537e+06  -5e-01  0.34  2.0e-01  3.3e-03  0.0e+00  0.0e+00  2.1e-01  1.1e-03  2.1e-01
  26  T 2   6.507e+06  -4e-01  0.34  2.0e-01  3.6e-03  1.2e-01  1.5e+00  2.0e-01  1.1e-03  2.0e-01
  27  F 0   6.507e+06  -4e-01  0.34  2.0e-01  3.6e-03  0.0e+00  0.0e+00  2.1e-01  1.3e-03  2.1e-01
  27  F 1   6.507e+06  -4e-01  0.34  2.0e-01  3.6e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.0e-01
  27  T 2   6.461e+06  -5e-01  0.35  2.0e-01  2.5e-03  1.2e-01  1.5e+00  2.0e-01  1.1e-03  2.1e-01
  28  F 0   6.461e+06  -5e-01  0.35  2.0e-01  2.5e-03  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.1e-01
  28  F 1   6.461e+06  -5e-01  0.35  2.0e-01  2.5e-03  0.0e+00  0.0e+00  2.7e-01  1.1e-03  2.7e-01
  28  T 2   6.418e+06  -4e-01  0.35  2.0e-01  3.0e-03  1.2e-01  1.6e+00  2.0e-01  1.1e-03  2.0e-01
  29  F 0   6.418e+06  -4e-01  0.35  2.0e-01  3.0e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  29  F 1   6.418e+06  -4e-01  0.35  2.0e-01  3.0e-03  0.0e+00  0.0e+00  2.2e-01  9.9e-04  2.2e-01
  29  T 2   6.379e+06  -4e-01  0.36  2.0e-01  3.1e-03  1.2e-01  1.5e+00  2.0e-01  1.0e-03  2.1e-01
  30  F 0   6.379e+06  -4e-01  0.36  2.0e-01  3.1e-03  0.0e+00  0.0e+00  2.0e-01  1.3e-03  2.1e-01
  30  F 1   6.379e+06  -4e-01  0.36  2.0e-01  3.1e-03  0.0e+00  0.0e+00  2.0e-01  1.0e-03  2.1e-01
  30  T 2   6.322e+06  -4e-01  0.37  2.0e-01  3.6e-03  1.2e-01  1.6e+00  2.0e-01  1.1e-03  2.0e-01
  31  F 0   6.322e+06  -4e-01  0.37  2.0e-01  3.6e-03  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.1e-01
  31  F 1   6.322e+06  -4e-01  0.37  2.0e-01  3.6e-03  0.0e+00  0.0e+00  2.1e-01  1.0e-03  2.1e-01
  31  T 2   6.294e+06  -4e-01  0.38  2.0e-01  2.5e-03  1.2e-01  1.5e+00  2.0e-01  1.1e-03  2.1e-01
  32  F 0   6.294e+06  -4e-01  0.38  2.0e-01  2.5e-03  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  32  F 1   6.294e+06  -4e-01  0.38  2.0e-01  2.5e-03  0.0e+00  0.0e+00  2.2e-01  1.1e-03  2.2e-01
  32  T 2   6.226e+06  -4e-01  0.38  2.0e-01  2.8e-03  1.2e-01  1.6e+00  2.1e-01  1.1e-03  2.1e-01
  33  F 0   6.226e+06  -4e-01  0.38  2.0e-01  2.8e-03  0.0e+00  0.0e+00  2.1e-01  1.3e-03  2.1e-01
