   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   6.103e+09   0e+00  0.00  2.0e-01  8.2e+02  1.0e+00  1.0e+00  5.2e-01  0.0e+00  0.0e+00
   1  T 0   2.210e+09  -2e-01  0.00  2.0e-01  4.0e-02  2.0e-01  1.3e+01  2.8e-01  2.2e-02  3.0e-01
   2  T 0   1.402e+09  -3e-01  0.23  2.0e-01  9.5e-03  2.0e-01  1.5e+01  2.8e-01  5.3e-03  2.9e-01
   3  T 0   4.437e+08  -3e-01  0.26  2.0e-01  2.8e-03  2.0e-01  1.2e+01  2.8e-01  6.2e-03  2.9e-01
   4  T 0   2.911e+08  -4e-01  0.48  2.0e-01  2.6e-04  2.0e-01  8.7e+00  2.8e-01  3.1e-03  2.8e-01
   5  T 0   2.565e+08  -4e-01  0.55  2.0e-01  2.0e-04  2.0e-01  6.2e+00  2.8e-01  2.6e-03  2.8e-01
   6  T 0   2.348e+08  -4e-01  0.59  2.0e-01  8.0e-05  2.0e-01  4.2e+00  2.8e-01  2.6e-03  2.8e-01
   7  T 0   2.237e+08  -4e-01  0.61  2.0e-01  6.6e-05  2.0e-01  3.3e+00  2.7e-01  2.6e-03  2.7e-01
   8  T 0   2.141e+08  -3e-01  0.65  2.0e-01  5.9e-05  2.0e-01  2.9e+00  2.8e-01  2.6e-03  2.8e-01
   9  T 0   2.068e+08  -3e-01  0.67  2.0e-01  5.9e-05  2.0e-01  2.5e+00  2.7e-01  2.6e-03  2.7e-01
  10  T 0   2.000e+08  -3e-01  0.70  2.0e-01  6.2e-05  2.0e-01  2.4e+00  2.7e-01  2.6e-03  2.7e-01
  11  T 0   1.931e+08  -3e-01  0.71  2.0e-01  6.1e-05  2.0e-01  2.5e+00  2.8e-01  2.6e-03  2.8e-01
  12  T 0   1.856e+08  -2e-01  0.73  2.0e-01  5.6e-05  2.0e-01  2.7e+00  2.7e-01  2.5e-03  2.7e-01
  13  T 0   1.788e+08  -2e-01  0.75  2.0e-01  4.9e-05  2.0e-01  2.7e+00  2.7e-01  2.5e-03  2.7e-01
  14  T 0   1.721e+08  -2e-01  0.77  2.0e-01  4.6e-05  2.0e-01  2.7e+00  2.7e-01  2.6e-03  2.7e-01
  15  T 0   1.657e+08  -1e-01  0.80  2.0e-01  3.9e-05  2.0e-01  2.8e+00  2.6e-01  2.6e-03  2.7e-01
  16  T 0   1.610e+08  -8e-02  0.84  2.0e-01  3.6e-05  2.0e-01  2.5e+00  2.7e-01  2.6e-03  2.7e-01
  17  T 0   1.577e+08  -6e-02  0.85  2.0e-01  4.2e-05  2.0e-01  2.3e+00  2.9e-01  2.6e-03  2.9e-01
  18  T 0   1.549e+08  -4e-02  0.87  2.0e-01  5.4e-05  2.0e-01  2.2e+00  3.1e-01  2.9e-03  3.1e-01
  19  T 0   1.524e+08  -2e-02  0.88  2.0e-01  1.1e-04  2.0e-01  2.1e+00  2.8e-01  2.6e-03  2.8e-01
  20  T 0   1.506e+08  -5e-03  0.89  2.0e-01  5.0e-05  2.0e-01  1.9e+00  2.7e-01  4.6e-03  2.8e-01
  21  T 0   1.498e+08  -5e-03  0.89  2.0e-01  7.5e-05  2.0e-01  2.1e+00  2.7e-01  4.1e-03  2.7e-01
  22  T 0   1.486e+08  -5e-03  0.90  2.0e-01  6.7e-05  2.0e-01  1.9e+00  2.6e-01  3.6e-03  2.7e-01
  23  T 0   1.475e+08  -4e-03  0.90  2.0e-01  6.3e-05  2.0e-01  1.6e+00  2.6e-01  3.6e-03  2.7e-01
  24  T 0   1.463e+08  -2e-03  0.92  2.0e-01  3.3e-05  2.0e-01  1.1e+00  2.9e-01  3.6e-03  2.9e-01
  25  T 0   1.457e+08  -1e-03  0.93  2.0e-01  5.1e-05  1.8e-01  8.5e-01  2.6e-01  3.7e-03  2.7e-01
  26  T 0   1.453e+08  -7e-04  0.93  2.0e-01  5.0e-05  2.0e-01  7.4e-01  2.6e-01  4.4e-03  2.7e-01
  27  T 0   1.450e+08  -6e-04  0.94  2.0e-01  2.2e-05  2.0e-01  6.7e-01  2.6e-01  4.3e-03  2.7e-01
  28  T 0   1.447e+08  -5e-04  0.94  2.0e-01  2.1e-05  1.7e-01  6.7e-01  2.6e-01  3.6e-03  2.6e-01
  29  T 0   1.445e+08  -4e-04  0.94  2.0e-01  1.9e-05  2.0e-01  6.4e-01  2.7e-01  3.6e-03  2.8e-01
  30  T 0   1.443e+08  -4e-04  0.95  2.0e-01  2.4e-05  1.8e-01  6.5e-01  2.7e-01  2.5e-03  2.7e-01
  31  T 0   1.441e+08  -4e-04  0.95  2.0e-01  1.8e-05  2.0e-01  5.9e-01  2.7e-01  3.1e-03  2.7e-01
  32  T 0   1.439e+08  -4e-04  0.95  2.0e-01  1.8e-05  1.8e-01  5.4e-01  2.6e-01  3.0e-03  2.7e-01
  33  T 0   1.438e+08  -3e-04  0.95  2.0e-01  1.8e-05  1.2e-01  5.1e-01  2.6e-01  3.6e-03  2.7e-01
  34  T 0   1.437e+08  -2e-04  0.95  2.0e-01  2.0e-05  1.3e-01  5.1e-01  3.4e-01  3.6e-03  3.4e-01
  35  T 0   1.436e+08  -2e-04  0.96  2.0e-01  1.5e-05  1.4e-01  5.4e-01  2.6e-01  3.6e-03  2.7e-01
  36  T 0   1.435e+08  -2e-04  0.96  2.0e-01  1.6e-05  1.3e-01  5.0e-01  2.7e-01  3.6e-03  2.7e-01
  37  T 0   1.434e+08  -2e-04  0.96  2.0e-01  1.7e-05  1.3e-01  5.0e-01  2.7e-01  3.5e-03  2.8e-01
  38  T 0   1.433e+08  -2e-04  0.96  2.0e-01  9.8e-06  1.2e-01  5.0e-01  2.6e-01  3.5e-03  2.7e-01
  39  T 0   1.432e+08  -1e-04  0.96  2.0e-01  9.6e-06  1.5e-01  5.1e-01  2.6e-01  3.7e-03  2.7e-01
  40  T 0   1.432e+08  -1e-04  0.97  2.0e-01  9.5e-06  1.6e-01  5.0e-01  2.9e-01  3.6e-03  2.9e-01
