   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+07  -9e+00  1.00  2.0e-01  0.0e+00  1.0e+00  1.0e+00  4.7e-01  0.0e+00  0.0e+00
   1  T 0   6.923e+07  -7e+00  0.12  2.0e-01  6.7e-04  2.0e-01  1.1e+01  2.3e-01  3.6e-03  2.3e-01
   2  T 0   5.341e+07  -6e+00  0.19  2.0e-01  7.1e-04  2.0e-01  1.1e+01  2.2e-01  1.2e-03  2.2e-01
   3  T 0   4.311e+07  -4e+00  0.09  2.0e-01  1.4e-03  2.0e-01  1.1e+01  2.1e-01  1.2e-03  2.1e-01
   4  T 0   3.124e+07  -4e+00  0.12  2.0e-01  1.0e-03  2.0e-01  1.2e+01  2.1e-01  1.3e-03  2.1e-01
   5  T 0   2.534e+07  -3e+00  0.08  2.0e-01  1.5e-03  2.0e-01  9.0e+00  2.2e-01  1.2e-03  2.3e-01
   6  T 0   2.179e+07  -3e+00  0.11  2.0e-01  2.2e-03  2.0e-01  8.5e+00  2.0e-01  1.4e-03  2.0e-01
   7  T 0   1.979e+07  -2e+00  0.10  2.0e-01  3.1e-03  2.0e-01  7.5e+00  2.1e-01  1.2e-03  2.1e-01
   8  T 0   1.811e+07  -2e+00  0.08  2.0e-01  4.2e-03  2.0e-01  7.4e+00  2.6e-01  1.3e-03  2.6e-01
   9  T 0   1.737e+07  -2e+00  0.10  2.0e-01  9.9e-03  2.0e-01  7.0e+00  2.5e-01  1.2e-03  2.5e-01
  10  T 0   1.628e+07  -2e+00  0.08  2.0e-01  1.2e-02  2.0e-01  6.9e+00  2.0e-01  1.3e-03  2.0e-01
  11  T 0   1.616e+07  -2e+00  0.10  2.0e-01  3.0e-02  2.0e-01  6.7e+00  2.1e-01  1.2e-03  2.1e-01
  12  T 0   1.534e+07  -2e+00  0.17  2.0e-01  6.0e-03  2.0e-01  6.6e+00  2.8e-01  1.3e-03  2.8e-01
  13  T 0   1.468e+07  -2e+00  0.19  2.0e-01  2.5e-02  2.0e-01  6.5e+00  2.1e-01  1.2e-03  2.1e-01
  14  T 0   1.442e+07  -2e+00  0.20  2.0e-01  1.7e-02  2.0e-01  6.4e+00  2.0e-01  1.3e-03  2.0e-01
  15  T 0   1.402e+07  -1e+00  0.26  2.0e-01  3.8e-02  2.0e-01  6.3e+00  2.1e-01  1.2e-03  2.1e-01
  16  T 0   1.352e+07  -1e+00  0.25  2.0e-01  4.3e-02  2.0e-01  6.3e+00  2.0e-01  1.2e-03  2.0e-01
  17  T 0   1.340e+07  -1e+00  0.32  2.0e-01  1.7e-02  2.0e-01  6.2e+00  2.0e-01  1.3e-03  2.1e-01
  18  T 0   1.270e+07  -1e+00  0.34  2.0e-01  2.0e-02  2.0e-01  6.2e+00  2.0e-01  1.2e-03  2.0e-01
