   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+07  -9e+00  1.00  5.0e-01  0.0e+00  1.0e+00  1.0e+00  3.2e-01  0.0e+00  0.0e+00
   1  T 0   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  5.0e-01  2.8e+01  2.1e-01  2.5e-03  2.1e-01
   2  F 0   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.4e-01  8.7e-04  1.4e-01
   2  F 1   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.4e-01  7.4e-04  1.5e-01
   2  F 2   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.5e-01  7.5e-04  1.5e-01
   2  F 3   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.5e-01  7.4e-04  1.5e-01
   2  F 4   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.8e-01  7.4e-04  1.8e-01
   2  F 5   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.6e-01  7.3e-04  1.7e-01
   2  F 6   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  0.0e+00  0.0e+00  1.7e-01  7.4e-04  1.7e-01
   2  T 7   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  5.0e-01  2.2e+01  1.6e-01  7.4e-04  1.6e-01
   3  F 0   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.6e-01  8.8e-04  1.6e-01
   3  F 1   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   3  F 2   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.5e-01  1.7e-03  1.5e-01
   3  F 3   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.6e-01  1.8e-03  1.6e-01
   3  F 4   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   3  F 5   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.5e-01  1.7e-03  1.5e-01
   3  F 6   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   3  F 7   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.4e-01  1.4e-03  1.4e-01
   3  F 8   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.4e-01  1.3e-03  1.4e-01
   3  F 9   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.7e-01  7.2e-04  1.7e-01
   3  F10   3.746e+07  -2e+00  0.58  5.0e-01  6.6e-02  0.0e+00  0.0e+00  1.8e-01  7.5e-04  1.8e-01
   3  T11   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  5.0e-01  1.2e+01  1.5e-01  7.2e-04  1.5e-01
   4  F 0   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  8.9e-04  1.5e-01
   4  F 1   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.6e-01  1.7e-03  1.6e-01
   4  F 2   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   4  F 3   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   4  F 4   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   4  F 5   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   4  F 6   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  1.6e-03  1.5e-01
   4  F 7   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.8e-01  1.4e-03  1.8e-01
   4  F 8   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  7.4e-04  1.5e-01
   4  F 9   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  7.3e-04  1.5e-01
   4  F10   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  7.3e-04  1.5e-01
   4  F11   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.6e-01  7.5e-04  1.6e-01
   4  F12   1.608e+07  -7e-01  0.55  5.0e-01  2.6e-01  0.0e+00  0.0e+00  1.5e-01  7.4e-04  1.5e-01
   4  T13   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  2.0e-01  2.3e+00  1.5e-01  7.3e-04  1.5e-01
   5  F 0   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.5e-01  1.8e-03  1.5e-01
   5  F 1   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.5e-01  2.0e-03  1.5e-01
   5  F 2   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.5e-01  2.0e-03  1.5e-01
   5  F 3   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.5e-01  1.8e-03  1.5e-01
   5  F 4   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.4e-01  1.9e-03  1.5e-01
   5  F 5   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.4e-01  1.7e-03  1.5e-01
   5  F 6   1.148e+07  -6e-01  0.59  5.0e-01  6.0e-02  0.0e+00  0.0e+00  1.5e-01  1.7e-03  1.5e-01
   5  T 7   1.130e+07  -5e-07  0.75  5.0e-01  3.7e-02  5.0e-01  9.4e+00  1.5e-01  1.7e-03  1.5e-01
   6  F 0   1.130e+07  -5e-07  0.75  5.0e-01  3.7e-02  0.0e+00  0.0e+00  1.4e-01  1.2e-03  1.5e-01
   6  F 1   1.130e+07  -5e-07  0.75  5.0e-01  3.7e-02  0.0e+00  0.0e+00  1.5e-01  1.5e-03  1.5e-01
   6  F 2   1.130e+07  -5e-07  0.75  5.0e-01  3.7e-02  0.0e+00  0.0e+00  1.4e-01  1.6e-03  1.5e-01
