   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+07  -9e+00  1.00  5.0e-01  0.0e+00  1.0e+00  1.0e+00  4.3e-01  0.0e+00  0.0e+00
   1  T 0   4.977e+07  -5e+00  0.12  5.0e-01  1.4e-03  5.0e-01  2.8e+01  2.0e-01  3.6e-03  2.0e-01
   2  F 0   7.936e+13  -3e+00  0.95  5.0e-01  2.0e+03  5.0e-01  2.9e+01  2.0e-01  1.2e-03  2.0e-01
   3  F 0   1.734e+08  -1e+00  0.56  5.0e-01  6.0e-01  5.0e-01  2.1e+01  2.2e-01  1.1e-03  2.2e-01
   4  F 0   7.051e+07  -7e-01  0.52  5.0e-01  8.4e-02  5.0e-01  1.5e+01  2.1e-01  1.2e-03  2.1e-01
   5  F 0   1.058e+08  -8e-01  0.67  4.2e-01  4.4e-01  4.2e-01  1.2e+01  2.0e-01  1.2e-03  2.0e-01
   6  T 0   2.025e+07  -9e-01  0.58  5.0e-01  1.2e-02  5.0e-01  1.0e+01  2.0e-01  1.2e-03  2.0e-01
   7  T 0   1.473e+07  -8e-01  0.58  5.0e-01  9.3e-03  5.0e-01  7.6e+00  2.0e-01  1.2e-03  2.0e-01
   8  T 0   1.016e+07  -9e-01  0.62  4.2e-01  1.6e-03  3.5e-01  5.8e+00  2.1e-01  1.2e-03  2.1e-01
   9  T 0   8.896e+06  -8e-01  0.62  5.0e-01  2.1e-03  5.0e-01  4.6e+00  2.1e-01  1.3e-03  2.1e-01
  10  T 0   7.185e+06  -8e-01  0.65  3.6e-01  9.2e-04  3.6e-01  3.7e+00  2.1e-01  1.2e-03  2.1e-01
  11  T 0   6.112e+06  -7e-01  0.69  3.6e-01  5.6e-04  2.5e-01  3.3e+00  2.0e-01  1.2e-03  2.0e-01
  12  T 0   5.381e+06  -7e-01  0.72  3.0e-01  3.6e-04  2.9e-01  2.9e+00  2.0e-01  1.2e-03  2.0e-01
  13  T 0   4.885e+06  -6e-01  0.75  3.6e-01  5.0e-04  2.1e-01  2.5e+00  2.0e-01  1.2e-03  2.1e-01
  14  T 0   4.448e+06  -5e-01  0.78  2.5e-01  3.0e-04  2.5e-01  2.2e+00  2.0e-01  1.4e-03  2.0e-01
  15  T 0   4.043e+06  -5e-01  0.80  3.0e-01  4.3e-04  2.5e-01  2.2e+00  2.0e-01  1.2e-03  2.0e-01
  16  T 0   3.700e+06  -4e-01  0.83  3.6e-01  2.9e-04  2.1e-01  2.1e+00  2.0e-01  1.2e-03  2.0e-01
  17  T 0   3.437e+06  -3e-01  0.85  2.5e-01  1.2e-02  2.1e-01  2.1e+00  2.0e-01  1.3e-03  2.0e-01
  18  T 0   3.285e+06  -3e-01  0.87  3.0e-01  2.6e-04  1.8e-01  1.5e+00  2.0e-01  1.3e-03  2.0e-01
  19  T 0   3.131e+06  -2e-01  0.88  3.0e-01  3.0e-04  2.1e-01  1.3e+00  2.5e-01  1.2e-03  2.5e-01
  20  T 0   3.001e+06  -2e-01  0.89  2.5e-01  9.0e-04  1.5e-01  1.1e+00  2.0e-01  1.2e-03  2.0e-01
  21  T 0   2.896e+06  -1e-01  0.90  3.1e-01  4.8e-04  1.8e-01  1.2e+00  2.0e-01  1.2e-03  2.0e-01
  22  T 0   2.835e+06  -1e-01  0.91  2.1e-01  1.0e-03  1.9e-01  1.2e+00  2.1e-01  1.2e-03  2.1e-01
  23  T 0   2.791e+06  -1e-01  0.90  2.6e-01  3.8e-04  2.1e-01  1.3e+00  2.0e-01  1.3e-03  2.0e-01
  24  T 0   2.711e+06  -7e-02  0.90  2.6e-01  6.3e-04  1.8e-01  1.1e+00  2.0e-01  1.3e-03  2.0e-01
  25  T 0   2.659e+06  -5e-02  0.91  3.1e-01  1.1e-03  2.2e-01  8.6e-01  2.0e-01  1.2e-03  2.0e-01
  26  T 0   2.614e+06  -4e-02  0.92  2.6e-01  6.4e-04  1.5e-01  8.5e-01  2.0e-01  1.3e-03  2.0e-01
  27  T 0   2.577e+06  -2e-02  0.92  1.8e-01  6.0e-04  1.8e-01  8.3e-01  2.0e-01  1.2e-03  2.1e-01
  28  T 0   2.548e+06  -4e-03  0.93  2.2e-01  5.4e-04  2.2e-01  7.7e-01  2.0e-01  1.2e-03  2.0e-01
  29  T 0   2.520e+06  -2e-05  0.93  2.6e-01  1.2e-03  1.5e-01  6.8e-01  2.0e-01  3.3e-03  2.0e-01
  30  T 0   2.501e+06  -1e-06  0.94  3.1e-01  1.2e-03  2.6e-01  7.2e-01  2.0e-01  2.5e-03  2.0e-01
  31  T 0   2.483e+06  -2e-05  0.94  2.2e-01  8.0e-04  1.8e-01  6.7e-01  2.0e-01  2.9e-03  2.1e-01
  32  T 0   2.468e+06   2e-05  0.94  1.5e-01  1.5e-03  1.5e-01  6.3e-01  2.1e-01  2.9e-03  2.1e-01
  33  T 0   2.456e+06   7e-07  0.95  1.8e-01  2.7e-04  1.8e-01  5.9e-01  2.1e-01  3.1e-03  2.1e-01
  34  T 0   2.446e+06   7e-06  0.95  2.2e-01  1.4e-04  1.3e-01  5.0e-01  2.0e-01  2.1e-03  2.0e-01
  35  T 0   2.436e+06   4e-05  0.96  2.2e-01  1.2e-04  1.5e-01  4.6e-01  2.0e-01  2.5e-03  2.0e-01
  36  T 0   2.427e+06   6e-05  0.96  1.9e-01  1.1e-04  1.3e-01  4.4e-01  2.0e-01  1.9e-03  2.0e-01
  37  T 0   2.420e+06   9e-06  0.96  2.2e-01  1.4e-04  1.5e-01  4.5e-01  2.0e-01  1.2e-03  2.0e-01
  38  T 0   2.414e+06  -4e-07  0.96  1.6e-01  1.2e-04  1.6e-01  4.5e-01  2.1e-01  1.6e-03  2.1e-01
  39  T 0   2.408e+06  -3e-05  0.96  1.9e-01  1.6e-04  1.1e-01  4.2e-01  2.0e-01  2.3e-03  2.0e-01
  40  T 0   2.403e+06  -3e-05  0.97  2.2e-01  1.2e-04  2.2e-01  4.2e-01  2.1e-01  2.9e-03  2.1e-01
  41  T 0   2.397e+06  -2e-05  0.97  1.6e-01  1.1e-04  1.6e-01  3.8e-01  2.0e-01  2.7e-03  2.1e-01
  42  T 0   2.392e+06  -4e-07  0.97  1.1e-01  1.3e-04  1.1e-01  3.5e-01  2.0e-01  3.2e-03  2.1e-01
  43  T 0   2.388e+06  -6e-06  0.97  1.3e-01  1.4e-04  1.3e-01  3.9e-01  2.0e-01  2.1e-03  2.1e-01
  44  T 0   2.384e+06   5e-06  0.97  1.6e-01  2.3e-04  1.6e-01  3.9e-01  2.0e-01  3.6e-03  2.0e-01
  45  T 0   2.378e+06   5e-05  0.97  1.9e-01  5.0e-04  1.1e-01  3.4e-01  2.1e-01  1.9e-03  2.2e-01
  46  T 0   2.374e+06  -2e-05  0.97  2.3e-01  1.5e-04  1.3e-01  3.1e-01  2.0e-01  2.3e-03  2.0e-01
  47  T 0   2.371e+06  -5e-06  0.97  1.6e-01  1.8e-04  1.6e-01  3.3e-01  2.1e-01  2.3e-03  2.1e-01
  48  T 0   2.368e+06   2e-14  0.97  1.1e-01  2.0e-04  1.1e-01  3.2e-01  2.2e-01  3.0e-03  2.2e-01
  49  T 0   2.367e+06  -2e-07  0.97  1.3e-01  2.1e-04  1.3e-01  2.9e-01  2.0e-01  2.7e-03  2.0e-01
  50  T 0   2.366e+06   7e-14  0.97  1.6e-01  1.8e-04  1.6e-01  3.3e-01  2.0e-01  3.3e-03  2.0e-01
  51  T 0   2.365e+06   1e-05  0.97  1.9e-01  8.5e-05  1.1e-01  3.0e-01  2.1e-01  2.8e-03  2.1e-01
  52  T 0   2.362e+06  -2e-06  0.97  1.3e-01  6.6e-05  1.3e-01  2.7e-01  2.0e-01  2.5e-03  2.0e-01
  53  T 0   2.361e+06   4e-07  0.97  9.5e-02  7.9e-05  9.5e-02  2.4e-01  2.0e-01  2.7e-03  2.0e-01
  54  T 0   2.359e+06  -2e-04  0.98  1.1e-01  1.0e-04  1.1e-01  2.5e-01  2.0e-01  1.8e-03  2.0e-01
  55  T 0   2.357e+06  -1e-05  0.98  1.4e-01  1.7e-04  1.4e-01  2.7e-01  2.0e-01  3.7e-03  2.1e-01
  56  T 0   2.355e+06  -3e-06  0.98  1.6e-01  5.8e-05  1.6e-01  2.6e-01  2.1e-01  3.5e-03  2.2e-01
  57  T 0   2.354e+06   9e-06  0.98  1.1e-01  5.7e-05  1.1e-01  2.2e-01  2.1e-01  2.3e-03  2.1e-01
  58  T 0   2.353e+06   9e-06  0.98  1.4e-01  7.1e-05  8.0e-02  1.8e-01  2.1e-01  2.6e-03  2.1e-01
  59  T 0   2.352e+06  -4e-06  0.98  9.6e-02  6.3e-05  9.6e-02  2.1e-01  2.1e-01  3.1e-03  2.1e-01
  60  T 0   2.351e+06  -2e-05  0.98  1.2e-01  1.2e-04  1.2e-01  2.2e-01  2.0e-01  3.3e-03  2.0e-01
  61  T 0   2.349e+06  -2e-05  0.98  8.1e-02  3.3e-04  8.1e-02  1.8e-01  2.0e-01  2.6e-03  2.0e-01
  62  T 0   2.348e+06   2e-13  0.98  9.7e-02  5.8e-05  5.7e-02  1.8e-01  2.0e-01  2.2e-03  2.1e-01
  63  T 0   2.347e+06  -8e-06  0.98  6.8e-02  6.3e-05  6.8e-02  2.1e-01  2.1e-01  1.2e-03  2.1e-01
  64  T 0   2.347e+06  -2e-05  0.98  8.1e-02  5.4e-05  8.1e-02  1.8e-01  2.2e-01  3.1e-03  2.3e-01
  65  T 0   2.346e+06  -1e-04  0.98  9.8e-02  1.8e-04  5.7e-02  1.7e-01  2.0e-01  2.3e-03  2.0e-01
