   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.132e+07  -9e+00  1.00  5.0e-01  0.0e+00  1.0e+00  1.0e+00  4.9e-01  0.0e+00  0.0e+00
   1  T 0   6.877e+07  -7e+00  0.12  5.0e-01  6.5e-04  2.3e-01  1.1e+01  2.2e-01  6.0e-03  2.3e-01
   2  T 0   5.039e+07  -6e+00  0.11  5.0e-01  6.7e-04  2.6e-01  1.1e+01  2.1e-01  2.1e-03  2.1e-01
   3  T 0   3.302e+07  -4e+00  0.09  5.0e-01  9.2e-04  3.5e-01  1.3e+01  2.1e-01  2.2e-03  2.1e-01
   4  F 0   3.302e+07  -4e+00  0.09  5.0e-01  9.2e-04  0.0e+00  0.0e+00  2.1e-01  2.1e-03  2.1e-01
   4  T 1   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  3.7e-01  1.3e+01  2.0e-01  1.6e-03  2.1e-01
   5  F 0   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  2.0e-03  2.2e-01
   5  F 1   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   5  F 2   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   5  F 3   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.6e-03  2.1e-01
   5  F 4   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   5  F 5   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.2e-01  1.5e-03  2.2e-01
   5  F 6   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.8e-03  2.1e-01
   5  F 7   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.6e-03  2.1e-01
   5  F 8   2.112e+07  -3e+00  0.29  5.0e-01  2.8e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   5  T 9   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  1.3e-02  4.9e-02  2.6e-01  1.5e-03  2.6e-01
   6  F 0   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.2e-01  2.3e-03  2.2e-01
   6  F 1   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.2e-01  1.7e-03  2.2e-01
   6  F 2   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.2e-01  1.5e-03  2.2e-01
   6  F 3   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   6  F 4   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.0e-01  1.6e-03  2.1e-01
   6  F 5   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   6  F 6   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   6  F 7   2.074e+07  -3e+00  0.28  5.0e-01  1.4e-02  0.0e+00  0.0e+00  2.2e-01  1.7e-03  2.2e-01
   6  T 8   2.057e+07  -3e+00  0.28  5.0e-01  2.9e-03  1.9e-02  8.1e-02  2.4e-01  1.5e-03  2.4e-01
   7  F 0   2.057e+07  -3e+00  0.28  5.0e-01  2.9e-03  0.0e+00  0.0e+00  2.7e-01  2.2e-03  2.7e-01
   7  T 1   1.920e+07  -3e+00  0.32  5.0e-01  1.6e-03  1.2e-01  1.6e+00  2.2e-01  1.6e-03  2.2e-01
   8  F 0   1.920e+07  -3e+00  0.32  5.0e-01  1.6e-03  0.0e+00  0.0e+00  2.1e-01  2.1e-03  2.1e-01
   8  T 1   1.783e+07  -3e+00  0.36  5.0e-01  1.0e-03  2.6e-01  1.9e+00  1.5e-01  1.4e-03  1.5e-01
   9  T 0   1.330e+07  -2e+00  0.57  5.0e-01  2.1e-01  4.1e-01  7.3e+00  1.5e-01  1.4e-03  1.5e-01
