   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.9e-01  0.0e+00  0.0e+00
   1  T 0   1.321e+08  -6e-13  0.47  1.0e-01  8.2e-02  1.0e-01  5.7e+00  2.1e-01  8.1e-03  2.2e-01
   2  T 0   4.487e+07  -4e-05  0.46  1.0e-01  1.7e-02  1.0e-01  4.3e+00  2.0e-01  5.3e-03  2.1e-01
   3  T 0   1.803e+07   7e-06  0.67  1.0e-01  4.9e-03  1.0e-01  4.4e+00  2.1e-01  2.0e-03  2.1e-01
   4  T 0   1.076e+07  -9e-06  0.67  1.0e-01  1.9e-03  1.0e-01  3.5e+00  2.1e-01  3.4e-03  2.1e-01
   5  T 0   8.454e+06  -9e-06  0.75  1.0e-01  9.5e-04  1.0e-01  3.4e+00  2.1e-01  2.9e-03  2.1e-01
   6  T 0   6.294e+06  -7e-05  0.74  1.0e-01  5.9e-04  1.0e-01  3.0e+00  2.1e-01  2.7e-03  2.1e-01
   7  T 0   5.852e+06  -1e-02  0.79  1.0e-01  5.3e-04  1.0e-01  2.9e+00  2.5e-01  1.5e-03  2.5e-01
   8  T 0   4.988e+06   1e-04  0.79  1.0e-01  1.7e-03  1.0e-01  2.8e+00  2.1e-01  2.5e-03  2.1e-01
   9  F 0   4.988e+06   1e-04  0.79  7.0e-02  1.7e-03  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.1e-01
   9  T 1   4.529e+06  -5e-02  0.80  8.4e-02  3.0e-04  7.0e-02  1.9e+00  2.1e-01  1.3e-03  2.1e-01
  10  T 0   4.350e+06   8e-06  0.81  1.0e-01  3.2e-04  8.4e-02  2.2e+00  2.1e-01  2.8e-03  2.1e-01
  11  F 0   4.350e+06   8e-06  0.81  7.0e-02  3.2e-04  0.0e+00  0.0e+00  2.1e-01  1.5e-03  2.2e-01
  11  T 1   4.039e+06  -5e-02  0.83  8.4e-02  2.4e-04  7.0e-02  1.7e+00  3.0e-01  1.3e-03  3.1e-01
  12  F 0   4.039e+06  -5e-02  0.83  5.9e-02  2.4e-04  0.0e+00  0.0e+00  2.3e-01  2.1e-03  2.3e-01
  12  T 1   3.940e+06  -1e-02  0.84  7.1e-02  2.4e-04  5.9e-02  1.4e+00  2.1e-01  1.2e-03  2.1e-01
  13  F 0   3.940e+06  -1e-02  0.84  4.9e-02  2.4e-04  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  13  T 1   3.835e+06  -4e-02  0.85  5.9e-02  2.0e-04  4.9e-02  1.2e+00  2.1e-01  9.9e-04  2.1e-01
  14  T 0   3.790e+06  -1e-02  0.85  7.1e-02  2.4e-04  5.9e-02  1.4e+00  2.0e-01  1.2e-03  2.0e-01
  15  F 0   3.790e+06  -1e-02  0.85  5.0e-02  2.4e-04  0.0e+00  0.0e+00  2.0e-01  1.2e-03  2.0e-01
  15  T 1   3.728e+06  -4e-02  0.85  6.0e-02  1.9e-04  5.0e-02  1.1e+00  2.1e-01  9.9e-04  2.1e-01
  16  F 0   3.728e+06  -4e-02  0.85  4.2e-02  1.9e-04  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  16  T 1   3.646e+06  -1e-02  0.86  5.0e-02  1.9e-04  4.2e-02  9.5e-01  2.1e-01  1.0e-03  2.1e-01
  17  T 0   3.564e+06  -3e-02  0.86  6.0e-02  1.9e-04  5.0e-02  1.1e+00  2.3e-01  1.2e-03  2.3e-01
  18  T 0   3.548e+06  -5e-03  0.86  7.2e-02  2.1e-04  6.0e-02  1.3e+00  2.2e-01  1.3e-03  2.2e-01
  19  F 0   3.548e+06  -5e-03  0.86  5.1e-02  2.1e-04  0.0e+00  0.0e+00  2.3e-01  1.2e-03  2.3e-01
  19  T 1   3.483e+06  -3e-02  0.87  6.1e-02  1.7e-04  5.1e-02  1.1e+00  2.1e-01  9.9e-04  2.1e-01
  20  F 0   3.483e+06  -3e-02  0.87  4.2e-02  1.7e-04  0.0e+00  0.0e+00  2.1e-01  2.0e-03  2.1e-01
  20  T 1   3.446e+06  -4e-03  0.87  5.1e-02  1.7e-04  4.2e-02  9.4e-01  2.2e-01  9.8e-04  2.2e-01
  21  F 0   3.446e+06  -4e-03  0.87  3.6e-02  1.7e-04  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
  21  T 1   3.405e+06  -2e-02  0.87  4.3e-02  1.3e-04  3.6e-02  7.8e-01  2.3e-01  1.1e-03  2.4e-01
  22  T 0   3.327e+06  -3e-03  0.87  5.1e-02  1.5e-04  4.3e-02  9.2e-01  2.2e-01  1.3e-03  2.2e-01
  23  T 0   3.324e+06  -1e-02  0.88  6.2e-02  1.6e-04  5.1e-02  1.1e+00  2.1e-01  1.2e-03  2.1e-01
  24  F 0   3.324e+06  -1e-02  0.88  4.3e-02  1.6e-04  0.0e+00  0.0e+00  2.1e-01  3.4e-03  2.2e-01
  24  T 1   3.252e+06  -6e-06  0.88  5.2e-02  1.6e-04  4.3e-02  9.0e-01  2.1e-01  2.2e-03  2.1e-01
  25  F 0   3.252e+06  -6e-06  0.88  3.6e-02  1.6e-04  0.0e+00  0.0e+00  2.1e-01  1.4e-03  2.1e-01
  25  T 1   3.225e+06  -6e-03  0.88  4.4e-02  1.2e-04  3.6e-02  7.5e-01  2.2e-01  1.4e-03  2.2e-01
  26  T 0   3.162e+06  -6e-05  0.89  5.2e-02  1.4e-04  4.4e-02  8.8e-01  2.4e-01  2.4e-03  2.4e-01
  27  F 0   3.162e+06  -6e-05  0.89  3.7e-02  1.4e-04  0.0e+00  0.0e+00  2.3e-01  1.5e-03  2.3e-01
  27  T 1   3.135e+06  -3e-03  0.89  4.4e-02  1.1e-04  3.7e-02  7.3e-01  3.2e-01  1.3e-03  3.2e-01
