   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.8e-01  0.0e+00  0.0e+00
   1  T 0   1.120e+08   7e-06  0.50  1.0e-01  4.8e-02  1.0e-01  6.0e+00  2.3e-01  7.6e-03  2.4e-01
   2  T 0   4.300e+07   3e-05  0.47  1.0e-01  1.5e-02  1.0e-01  4.4e+00  2.0e-01  3.6e-03  2.0e-01
   3  T 0   1.915e+07   4e-06  0.64  1.0e-01  3.1e-03  1.0e-01  4.4e+00  2.0e-01  2.8e-03  2.0e-01
   4  T 0   1.236e+07   7e-05  0.63  1.0e-01  1.2e-03  1.0e-01  3.1e+00  2.0e-01  2.4e-03  2.1e-01
   5  T 0   9.082e+06  -1e-02  0.62  1.0e-01  6.7e-04  1.0e-01  2.8e+00  2.1e-01  1.5e-03  2.1e-01
   6  T 0   6.661e+06   5e-05  0.67  1.0e-01  4.8e-04  1.0e-01  2.5e+00  2.1e-01  2.6e-03  2.1e-01
   7  T 0   5.555e+06  -4e-02  0.73  1.0e-01  3.9e-04  1.0e-01  2.2e+00  2.1e-01  1.5e-03  2.1e-01
   8  T 0   4.637e+06  -4e-02  0.74  1.0e-01  3.1e-04  1.0e-01  2.0e+00  2.1e-01  1.3e-03  2.1e-01
   9  T 0   3.969e+06  -7e-02  0.80  1.0e-01  4.0e-04  1.0e-01  1.9e+00  2.1e-01  1.2e-03  2.1e-01
  10  T 0   3.688e+06  -8e-02  0.81  1.0e-01  1.4e-04  1.0e-01  1.5e+00  2.1e-01  1.2e-03  2.1e-01
  11  T 0   3.445e+06  -7e-02  0.82  1.0e-01  1.2e-04  1.0e-01  1.5e+00  2.1e-01  1.2e-03  2.1e-01
  12  T 0   3.253e+06  -7e-02  0.84  1.0e-01  1.2e-04  1.0e-01  1.4e+00  2.1e-01  1.2e-03  2.1e-01
  13  T 0   3.098e+06  -6e-02  0.87  1.0e-01  1.7e-04  1.0e-01  1.3e+00  2.0e-01  1.2e-03  2.1e-01
