   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.6e-01  0.0e+00  0.0e+00
   1  T 0   4.153e+08  -1e-02  0.00  1.0e-01  3.0e+03  3.0e-03  1.6e-01  2.2e-01  1.3e-03  2.2e-01
   2  T 0   1.289e+08   6e-09  0.00  1.0e-01  3.0e-02  1.0e-01  3.8e+00  2.1e-01  5.7e-03  2.1e-01
   3  T 0   9.843e+07  -8e-02  0.04  1.0e-01  2.8e-01  1.0e-01  1.8e+00  2.7e-01  1.7e-03  2.7e-01
   4  T 0   7.059e+07  -1e-01  0.07  1.0e-01  2.5e-02  1.0e-01  1.5e+00  2.4e-01  1.3e-03  2.4e-01
   5  F 0   7.059e+07  -1e-01  0.07  7.0e-02  2.5e-02  0.0e+00  0.0e+00  2.5e-01  1.2e-03  2.5e-01
   5  T 1   5.201e+07  -2e-01  0.18  8.4e-02  5.1e-01  7.0e-02  2.5e+00  2.2e-01  1.0e-03  2.3e-01
   6  T 0   4.018e+07  -2e-01  0.18  1.0e-01  4.8e-02  8.4e-02  9.5e-01  2.1e-01  1.3e-03  2.1e-01
   7  F 0   4.018e+07  -2e-01  0.18  7.0e-02  4.8e-02  0.0e+00  0.0e+00  2.1e-01  1.2e-03  2.1e-01
   7  T 1   3.161e+07  -2e-01  0.37  8.4e-02  1.8e-01  7.0e-02  3.5e+00  2.4e-01  1.0e-03  2.4e-01
   8  T 0   2.144e+07  -2e-01  0.36  1.0e-01  2.4e-02  8.4e-02  1.2e+00  2.4e-01  1.3e-03  2.4e-01
   9  T 0   1.907e+07  -2e-01  0.38  1.0e-01  1.2e-03  7.1e-02  5.3e-01  2.3e-01  1.3e-03  2.3e-01
  10  T 0   1.324e+07  -2e-01  0.51  1.0e-01  3.2e-02  1.0e-01  2.0e+00  2.3e-01  1.3e-03  2.3e-01
  11  F 0   1.324e+07  -2e-01  0.51  7.0e-02  3.2e-02  0.0e+00  0.0e+00  2.3e-01  1.3e-03  2.3e-01
  11  T 1   1.265e+07  -2e-01  0.59  8.4e-02  1.3e-01  7.0e-02  2.8e+00  2.4e-01  1.0e-03  2.4e-01
