   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.9e-01  0.0e+00  0.0e+00
   1  T 0   1.409e+08   2e-07  0.20  1.0e-01  3.8e-02  1.0e-01  5.1e+00  2.1e-01  6.3e-03  2.2e-01
   2  F 0   6.886e+08   4e-07  0.37  1.0e-01  3.4e+01  1.0e-01  4.6e+00  2.0e-01  2.6e-03  2.0e-01
   3  T 0   4.887e+07   4e-07  0.43  1.0e-01  1.5e-02  1.0e-01  4.7e+00  2.4e-01  2.3e-03  2.4e-01
   4  F 0   1.287e+08  -2e-06  0.50  1.0e-01  3.1e+00  1.0e-01  4.2e+00  2.4e-01  2.3e-03  2.4e-01
   5  T 0   1.645e+07  -1e-01  0.49  1.0e-01  1.6e-03  1.0e-01  4.0e+00  2.2e-01  1.8e-03  2.2e-01
   6  T 0   1.112e+07  -9e-02  0.58  1.0e-01  2.7e-02  1.0e-01  3.5e+00  2.1e-01  1.5e-03  2.1e-01
   7  T 0   8.473e+06  -2e-01  0.61  1.0e-01  7.6e-04  1.0e-01  3.0e+00  2.0e-01  1.4e-03  2.0e-01
   8  T 0   6.769e+06  -1e-01  0.61  1.0e-01  3.8e-04  1.0e-01  2.8e+00  2.1e-01  1.5e-03  2.1e-01
   9  T 0   6.003e+06  -2e-01  0.68  1.0e-01  4.6e-04  1.0e-01  2.6e+00  2.0e-01  1.4e-03  2.0e-01
  10  T 0   5.111e+06  -1e-01  0.71  1.0e-01  2.5e-04  1.0e-01  2.1e+00  2.2e-01  1.5e-03  2.2e-01
  11  T 0   4.629e+06  -2e-01  0.72  1.0e-01  1.6e-04  1.0e-01  1.8e+00  2.0e-01  1.4e-03  2.1e-01
  12  T 0   4.228e+06  -2e-01  0.75  1.0e-01  2.3e-04  1.0e-01  1.6e+00  2.0e-01  1.4e-03  2.0e-01
  13  T 0   3.962e+06  -2e-01  0.78  1.0e-01  2.6e-04  1.0e-01  1.4e+00  2.0e-01  1.4e-03  2.0e-01
  14  T 0   3.737e+06  -2e-01  0.79  1.0e-01  1.6e-04  1.0e-01  1.3e+00  2.2e-01  1.4e-03  2.2e-01
  15  T 0   3.601e+06  -2e-01  0.80  1.0e-01  4.9e-04  1.0e-01  1.3e+00  2.1e-01  1.4e-03  2.2e-01
  16  T 0   3.437e+06  -1e-01  0.80  1.0e-01  1.5e-04  1.0e-01  1.3e+00  2.0e-01  1.4e-03  2.0e-01
  17  T 0   3.319e+06  -9e-02  0.81  1.0e-01  2.3e-04  1.0e-01  1.3e+00  2.1e-01  1.4e-03  2.1e-01
  18  T 0   3.183e+06  -5e-02  0.83  1.0e-01  1.3e-04  1.0e-01  1.3e+00  2.1e-01  1.6e-03  2.1e-01
  19  T 0   3.079e+06  -5e-02  0.85  1.0e-01  3.2e-04  1.0e-01  1.2e+00  2.2e-01  1.4e-03  2.2e-01
  20  T 0   2.980e+06  -1e-02  0.86  1.0e-01  3.9e-04  1.0e-01  1.1e+00  2.1e-01  1.6e-03  2.1e-01
  21  T 0   2.925e+06  -5e-03  0.86  1.0e-01  1.7e-04  1.0e-01  9.9e-01  2.0e-01  1.6e-03  2.0e-01
  22  T 0   2.873e+06  -6e-06  0.87  1.0e-01  1.4e-04  1.0e-01  7.5e-01  2.0e-01  2.5e-03  2.0e-01
  23  T 0   2.859e+06   8e-06  0.87  1.0e-01  1.6e-04  1.0e-01  7.1e-01  2.2e-01  2.2e-03  2.2e-01
  24  T 0   2.824e+06   2e-06  0.88  1.0e-01  9.1e-05  1.0e-01  5.0e-01  2.0e-01  2.3e-03  2.0e-01
  25  T 0   2.800e+06   2e-07  0.89  1.0e-01  1.4e-04  1.0e-01  4.6e-01  2.1e-01  2.4e-03  2.1e-01
  26  T 0   2.775e+06   1e-06  0.89  1.0e-01  1.2e-04  1.0e-01  4.5e-01  2.0e-01  2.1e-03  2.0e-01
  27  T 0   2.747e+06  -3e-06  0.90  1.0e-01  2.1e-04  1.0e-01  4.3e-01  2.0e-01  2.2e-03  2.0e-01
  28  T 0   2.722e+06   2e-06  0.90  1.0e-01  1.9e-04  1.0e-01  5.0e-01  2.0e-01  2.1e-03  2.1e-01
  29  T 0   2.697e+06  -8e-06  0.91  1.0e-01  8.2e-05  1.0e-01  5.2e-01  2.0e-01  2.1e-03  2.1e-01
  30  T 0   2.685e+06  -9e-07  0.91  1.0e-01  1.5e-04  1.0e-01  7.8e-01  2.1e-01  2.3e-03  2.1e-01
  31  T 0   2.657e+06  -1e-05  0.92  1.0e-01  1.1e-04  1.0e-01  5.5e-01  2.0e-01  2.4e-03  2.1e-01
  32  T 0   2.631e+06   4e-08  0.93  1.0e-01  2.2e-04  1.0e-01  5.2e-01  2.0e-01  2.3e-03  2.0e-01
  33  T 0   2.603e+06   1e-06  0.93  1.0e-01  2.7e-04  1.0e-01  5.6e-01  2.0e-01  2.1e-03  2.1e-01
  34  T 0   2.577e+06  -2e-06  0.93  1.0e-01  1.9e-04  1.0e-01  6.8e-01  2.1e-01  2.1e-03  2.2e-01
  35  T 0   2.555e+06   2e-07  0.94  1.0e-01  2.2e-04  1.0e-01  6.2e-01  2.1e-01  2.3e-03  2.1e-01
  36  T 0   2.541e+06  -8e-07  0.94  1.0e-01  3.3e-04  1.0e-01  7.0e-01  2.2e-01  2.3e-03  2.2e-01
  37  T 0   2.527e+06  -8e-06  0.95  1.0e-01  7.9e-05  1.0e-01  5.0e-01  2.1e-01  2.4e-03  2.1e-01
  38  T 0   2.516e+06  -1e-06  0.95  1.0e-01  1.2e-04  1.0e-01  4.8e-01  2.2e-01  2.3e-03  2.2e-01
  39  T 0   2.509e+06  -2e-05  0.96  1.0e-01  4.9e-05  1.0e-01  4.1e-01  2.1e-01  2.1e-03  2.1e-01
  40  T 0   2.502e+06  -2e-06  0.96  1.0e-01  1.0e-04  1.0e-01  4.6e-01  2.1e-01  2.3e-03  2.1e-01
  41  T 0   2.496e+06   2e-16  0.96  1.0e-01  7.4e-05  1.0e-01  3.7e-01  2.0e-01  2.6e-03  2.0e-01
  42  T 0   2.490e+06  -2e-05  0.96  1.0e-01  9.8e-05  1.0e-01  3.9e-01  2.0e-01  2.4e-03  2.1e-01
  43  T 0   2.485e+06  -8e-06  0.97  1.0e-01  1.1e-04  8.9e-02  3.4e-01  2.0e-01  2.3e-03  2.1e-01
  44  T 0   2.480e+06  -2e-16  0.97  1.0e-01  5.8e-05  1.0e-01  3.8e-01  2.0e-01  2.3e-03  2.0e-01
  45  T 0   2.474e+06  -4e-06  0.97  1.0e-01  9.0e-05  1.0e-01  3.7e-01  2.0e-01  2.1e-03  2.0e-01
  46  T 0   2.470e+06   1e-05  0.97  1.0e-01  1.3e-04  1.0e-01  4.1e-01  2.1e-01  2.2e-03  2.1e-01
  47  T 0   2.466e+06   3e-07  0.97  1.0e-01  2.5e-05  1.0e-01  3.9e-01  2.0e-01  2.3e-03  2.0e-01
  48  T 0   2.463e+06  -1e-05  0.97  1.0e-01  3.0e-05  1.0e-01  4.0e-01  2.0e-01  2.3e-03  2.1e-01
  49  T 0   2.460e+06  -2e-16  0.98  1.0e-01  8.2e-05  1.0e-01  3.4e-01  2.1e-01  2.1e-03  2.1e-01
  50  T 0   2.457e+06  -8e-07  0.98  1.0e-01  5.6e-05  1.0e-01  3.3e-01  2.1e-01  2.1e-03  2.1e-01
  51  T 0   2.455e+06   3e-07  0.98  1.0e-01  9.8e-05  1.0e-01  3.2e-01  2.0e-01  2.1e-03  2.0e-01
  52  T 0   2.451e+06   5e-06  0.98  1.0e-01  3.9e-05  1.0e-01  3.5e-01  2.2e-01  2.1e-03  2.2e-01
  53  T 0   2.448e+06  -6e-07  0.98  1.0e-01  7.1e-05  1.0e-01  3.4e-01  2.2e-01  2.1e-03  2.2e-01
  54  T 0   2.445e+06   6e-05  0.98  1.0e-01  1.8e-05  1.0e-01  3.3e-01  2.0e-01  2.1e-03  2.0e-01
  55  T 0   2.444e+06  -1e-05  0.98  1.0e-01  1.3e-05  1.0e-01  3.6e-01  2.2e-01  2.1e-03  2.2e-01
  56  F 0   2.444e+06   2e-05  0.98  1.0e-01  3.1e-05  1.0e-01  4.8e-01  2.0e-01  2.3e-03  2.1e-01
  57  T 0   2.441e+06  -1e-05  0.98  1.0e-01  2.3e-05  1.0e-01  4.1e-01  2.6e-01  2.2e-03  2.6e-01
  58  T 0   2.437e+06   9e-06  0.98  1.0e-01  8.3e-05  1.0e-01  4.4e-01  2.0e-01  2.4e-03  2.1e-01
  59  T 0   2.433e+06   4e-05  0.98  1.0e-01  3.4e-05  1.0e-01  2.6e-01  2.1e-01  2.5e-03  2.1e-01
  60  T 0   2.433e+06   4e-07  0.98  1.0e-01  4.2e-05  7.5e-02  1.9e-01  2.6e-01  2.0e-03  2.6e-01
  61  T 0   2.432e+06  -4e-05  0.98  1.0e-01  6.6e-05  1.0e-01  2.0e-01  2.9e-01  2.3e-03  3.0e-01
  62  T 0   2.431e+06   2e-06  0.98  1.0e-01  3.6e-05  1.0e-01  1.7e-01  2.3e-01  1.9e-03  2.3e-01
  63  T 0   2.429e+06   4e-06  0.99  1.0e-01  3.2e-05  6.4e-02  1.7e-01  2.2e-01  1.9e-03  2.2e-01
  64  T 0   2.428e+06  -2e-06  0.99  1.0e-01  7.7e-05  4.8e-02  1.4e-01  2.7e-01  2.2e-03  2.7e-01
  65  T 0   2.427e+06  -1e-08  0.99  1.0e-01  4.4e-05  9.6e-02  1.8e-01  2.2e-01  2.0e-03  2.2e-01
  66  T 0   2.426e+06   1e-05  0.99  1.0e-01  2.4e-05  1.0e-01  2.7e-01  2.1e-01  2.2e-03  2.1e-01
  67  T 0   2.423e+06  -1e-05  0.99  1.0e-01  3.5e-06  1.0e-01  2.4e-01  2.1e-01  2.2e-03  2.1e-01
  68  T 0   2.423e+06  -2e-06  0.99  1.0e-01  3.5e-06  7.0e-02  1.6e-01  2.0e-01  2.0e-03  2.1e-01
  69  T 0   2.423e+06   7e-09  0.99  1.0e-01  3.3e-06  8.2e-02  1.2e-01  2.2e-01  2.1e-03  2.2e-01
  70  T 0   2.423e+06   2e-06  0.99  1.0e-01  3.2e-06  8.7e-02  1.2e-01  2.3e-01  2.0e-03  2.3e-01
  71  T 0   2.422e+06   1e-05  0.99  1.0e-01  3.6e-06  9.8e-02  1.3e-01  2.3e-01  2.2e-03  2.4e-01
  72  T 0   2.422e+06   3e-07  0.99  1.0e-01  2.8e-06  1.0e-01  1.4e-01  2.3e-01  2.3e-03  2.3e-01
  73  T 0   2.422e+06  -2e-16  0.99  1.0e-01  2.9e-06  1.0e-01  1.7e-01  2.1e-01  2.3e-03  2.1e-01
  74  T 0   2.422e+06  -6e-06  0.99  1.0e-01  3.4e-06  1.0e-01  2.1e-01  2.4e-01  2.1e-03  2.5e-01
  75  F 0   2.422e+06   1e-06  0.99  1.0e-01  9.3e-06  1.0e-01  2.4e-01  2.2e-01  2.3e-03  2.2e-01
  76  T 0   2.422e+06  -5e-08  0.99  1.0e-01  5.4e-06  1.0e-01  2.6e-01  2.0e-01  2.6e-03  2.0e-01
  77  T 0   2.422e+06  -2e-06  0.99  1.0e-01  5.8e-06  9.6e-02  2.0e-01  2.0e-01  2.4e-03  2.0e-01
  78  T 0   2.422e+06  -7e-07  0.99  1.0e-01  3.3e-06  5.0e-02  8.2e-02  2.0e-01  2.2e-03  2.1e-01
  79  T 0   2.422e+06  -1e-07  0.99  1.0e-01  3.0e-06  1.2e-02  2.3e-02  2.0e-01  2.2e-03  2.1e-01
  80  T 0   2.422e+06  -3e-08  0.99  1.0e-01  2.8e-06  8.8e-03  1.6e-02  2.0e-01  1.9e-03  2.0e-01
  81  T 0   2.422e+06   6e-15  0.99  1.0e-01  2.6e-06  8.6e-03  1.8e-02  2.0e-01  1.9e-03  2.0e-01
  82  T 0   2.422e+06   8e-16  0.99  1.0e-01  2.5e-06  8.0e-03  1.9e-02  2.1e-01  2.0e-03  2.1e-01
  83  T 0   2.422e+06  -1e-14  0.99  1.0e-01  2.5e-06  8.4e-03  2.1e-02  2.1e-01  1.9e-03  2.1e-01
  84  T 0   2.422e+06   8e-06  0.99  1.0e-01  2.5e-06  8.8e-03  2.3e-02  2.4e-01  1.4e-03  2.4e-01
  85  T 0   2.422e+06   3e-08  0.99  1.0e-01  2.4e-06  9.4e-03  2.6e-02  2.1e-01  2.0e-03  2.1e-01
  86  T 0   2.422e+06  -5e-06  0.99  1.0e-01  2.5e-06  1.1e-02  3.0e-02  2.0e-01  1.5e-03  2.0e-01
  87  T 0   2.421e+06  -2e-14  0.99  1.0e-01  2.5e-06  1.3e-02  3.4e-02  2.0e-01  1.9e-03  2.0e-01
  88  T 0   2.421e+06  -5e-06  0.99  1.0e-01  2.5e-06  1.6e-02  3.8e-02  2.0e-01  1.5e-03  2.0e-01
  89  T 0   2.421e+06   1e-09  0.99  1.0e-01  2.5e-06  1.8e-02  4.3e-02  2.3e-01  2.0e-03  2.4e-01
  90  T 0   2.421e+06  -1e-15  0.99  1.0e-01  2.6e-06  2.0e-02  4.7e-02  2.0e-01  2.0e-03  2.1e-01
  91  T 0   2.421e+06  -8e-15  0.99  1.0e-01  2.7e-06  2.4e-02  5.3e-02  2.0e-01  2.1e-03  2.0e-01
  92  T 0   2.421e+06  -1e-08  0.99  1.0e-01  2.6e-06  2.4e-02  5.8e-02  2.0e-01  2.0e-03  2.0e-01
  93  T 0   2.421e+06   7e-16  0.99  1.0e-01  4.1e-06  4.1e-02  7.9e-02  2.0e-01  1.9e-03  2.1e-01
  94  F 0   2.421e+06   3e-08  0.99  1.0e-01  5.3e-06  7.3e-02  1.5e-01  2.3e-01  2.1e-03  2.4e-01
  95  F 0   2.425e+06   4e-06  0.99  1.0e-01  2.5e-05  1.0e-01  4.4e-01  2.0e-01  2.6e-03  2.0e-01
  96  F 0   2.426e+06  -2e-06  0.98  1.0e-01  3.8e-05  1.0e-01  5.3e-01  2.1e-01  2.2e-03  2.1e-01
  97  F 0   2.437e+06   2e-06  0.98  1.0e-01  5.1e-05  1.0e-01  6.5e-01  2.1e-01  2.3e-03  2.2e-01
  98  F 0   2.436e+06  -7e-06  0.97  1.0e-01  4.5e-05  1.0e-01  6.9e-01  2.2e-01  2.2e-03  2.2e-01
  99  F 0   2.448e+06  -1e-06  0.97  1.0e-01  5.9e-05  1.0e-01  7.4e-01  2.3e-01  2.4e-03  2.4e-01
 100  F 0   2.435e+06  -2e-05  0.96  1.0e-01  2.5e-05  1.0e-01  7.1e-01  2.6e-01  2.4e-03  2.6e-01
 101  F 0   2.430e+06  -9e-07  0.98  1.0e-01  4.0e-05  1.0e-01  5.2e-01  2.0e-01  2.5e-03  2.1e-01
 102  F 0   2.426e+06   3e-06  0.97  1.0e-01  2.1e-05  1.0e-01  3.4e-01  2.0e-01  2.1e-03  2.1e-01
 103  F 0   2.425e+06   9e-06  0.98  1.0e-01  2.1e-05  1.0e-01  2.0e-01  2.0e-01  2.3e-03  2.1e-01
 104  F 0   2.424e+06   5e-06  0.98  1.0e-01  1.8e-05  1.0e-01  1.7e-01  2.3e-01  2.1e-03  2.3e-01
 105  F 0   2.423e+06   6e-05  0.98  1.0e-01  1.6e-05  6.0e-02  1.0e-01  2.0e-01  2.3e-03  2.0e-01
 106  F 0   2.423e+06  -9e-06  0.98  1.0e-01  1.3e-05  7.6e-02  1.2e-01  2.0e-01  2.1e-03  2.1e-01
 107  F 0   2.422e+06   2e-16  0.98  1.0e-01  9.6e-06  6.3e-02  1.2e-01  2.0e-01  2.1e-03  2.0e-01
 108  F 0   2.422e+06  -5e-06  0.99  1.0e-01  6.1e-06  7.5e-02  1.3e-01  2.0e-01  2.2e-03  2.1e-01
 109  F 0   2.422e+06  -2e-08  0.99  1.0e-01  5.9e-06  8.5e-02  1.4e-01  2.0e-01  2.1e-03  2.0e-01
 110  F 0   2.422e+06  -3e-06  0.99  1.0e-01  6.0e-06  9.1e-02  1.4e-01  2.0e-01  2.0e-03  2.1e-01
 111  F 0   2.422e+06  -7e-06  0.99  1.0e-01  6.2e-06  1.0e-01  1.4e-01  2.1e-01  1.4e-03  2.1e-01
 112  F 0   2.422e+06  -4e-05  0.99  1.0e-01  6.3e-06  1.0e-01  1.2e-01  2.0e-01  1.9e-03  2.0e-01
