   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   4.248e+08   1e-02  0.00  1.0e-01  3.0e+03  1.0e+00  1.0e+00  4.5e-01  0.0e+00  0.0e+00
   1  T 0   4.153e+08  -1e-02  0.00  1.0e-01  3.0e+03  3.0e-03  1.6e-01  2.7e-01  1.3e-03  2.8e-01
   2  T 0   1.289e+08   6e-09  0.00  1.0e-01  3.0e-02  1.0e-01  3.8e+00  2.1e-01  5.7e-03  2.2e-01
   3  T 0   9.843e+07  -8e-02  0.04  1.0e-01  2.8e-01  1.0e-01  1.8e+00  2.3e-01  1.8e-03  2.3e-01
   4  T 0   7.059e+07  -1e-01  0.07  1.0e-01  2.5e-02  1.0e-01  1.5e+00  2.5e-01  1.3e-03  2.5e-01
   5  F 0   7.913e+07  -2e-01  0.19  1.0e-01  1.4e+00  1.0e-01  2.9e+00  2.8e-01  1.2e-03  2.8e-01
   6  T 0   4.300e+07  -2e-01  0.16  1.0e-01  6.0e-03  1.0e-01  1.2e+00  2.3e-01  1.3e-03  2.3e-01
   7  T 0   4.006e+07  -2e-01  0.17  1.0e-01  2.1e-03  4.2e-02  2.7e-01  2.1e-01  1.4e-03  2.1e-01
   8  T 0   3.593e+07  -2e-01  0.20  1.0e-01  1.7e-03  3.9e-02  4.4e-01  2.4e-01  1.2e-03  2.4e-01
   9  T 0   1.986e+07  -3e-01  0.37  1.0e-01  4.9e-02  1.0e-01  2.9e+00  2.2e-01  1.2e-03  2.3e-01
  10  F 0   1.586e+08  -3e-01  0.53  1.0e-01  1.1e+00  1.0e-01  4.3e+00  2.2e-01  1.2e-03  2.2e-01
  11  T 0   1.259e+07  -3e-01  0.49  1.0e-01  3.1e-03  1.0e-01  1.4e+00  2.1e-01  1.2e-03  2.2e-01
  12  T 0   1.224e+07  -3e-01  0.48  1.0e-01  1.2e-03  2.1e-02  7.4e-02  2.1e-01  1.2e-03  2.1e-01
  13  T 0   1.215e+07  -3e-01  0.48  1.0e-01  1.4e-03  6.4e-03  3.4e-02  2.1e-01  1.3e-03  2.1e-01
  14  T 0   1.128e+07  -3e-01  0.48  1.0e-01  7.8e-04  6.3e-02  4.1e-01  2.1e-01  1.2e-03  2.1e-01
  15  T 0   8.559e+06  -3e-01  0.54  1.0e-01  4.9e-03  1.0e-01  1.5e+00  2.1e-01  1.2e-03  2.1e-01
  16  T 0   6.122e+06  -3e-01  0.70  1.0e-01  1.2e-03  1.0e-01  3.5e+00  2.1e-01  1.2e-03  2.1e-01
  17  T 0   5.100e+06  -3e-01  0.73  1.0e-01  1.0e-03  1.0e-01  3.2e+00  2.1e-01  1.2e-03  2.1e-01
  18  T 0   4.676e+06  -3e-01  0.74  1.0e-01  8.3e-04  1.0e-01  2.0e+00  2.0e-01  1.2e-03  2.1e-01
  19  T 0   4.459e+06  -3e-01  0.74  1.0e-01  1.0e-04  1.0e-01  7.4e-01  2.1e-01  1.1e-03  2.1e-01
  20  T 0   4.115e+06  -3e-01  0.77  1.0e-01  2.2e-03  9.7e-02  1.0e+00  2.0e-01  1.6e-03  2.1e-01
  21  T 0   3.708e+06  -3e-01  0.80  1.0e-01  9.7e-05  1.0e-01  2.8e+00  2.1e-01  1.2e-03  2.1e-01
  22  T 0   3.586e+06  -2e-01  0.84  1.0e-01  1.4e-03  1.0e-01  2.5e+00  2.2e-01  1.3e-03  2.3e-01
  23  T 0   3.399e+06  -2e-01  0.82  1.0e-01  1.1e-04  1.0e-01  1.6e+00  2.1e-01  1.2e-03  2.1e-01
  24  T 0   3.202e+06  -2e-01  0.84  1.0e-01  2.7e-04  1.0e-01  8.5e-01  2.1e-01  1.2e-03  2.1e-01
  25  T 0   3.144e+06  -2e-01  0.84  1.0e-01  9.4e-05  1.0e-01  4.7e-01  2.1e-01  1.2e-03  2.1e-01
  26  T 0   2.973e+06  -2e-01  0.87  1.0e-01  5.8e-04  1.0e-01  1.1e+00  2.1e-01  1.3e-03  2.1e-01
  27  T 0   2.885e+06  -1e-01  0.89  1.0e-01  4.5e-04  1.0e-01  1.5e+00  2.2e-01  1.2e-03  2.2e-01
  28  T 0   2.848e+06  -1e-01  0.91  1.0e-01  3.5e-04  1.0e-01  1.5e+00  2.2e-01  1.3e-03  2.2e-01
  29  T 0   2.777e+06  -1e-01  0.87  1.0e-01  9.1e-05  1.0e-01  1.0e+00  2.1e-01  1.2e-03  2.1e-01
  30  T 0   2.708e+06  -9e-02  0.90  1.0e-01  4.7e-05  9.1e-02  4.8e-01  2.1e-01  1.2e-03  2.1e-01
  31  T 0   2.680e+06  -9e-02  0.91  1.0e-01  1.1e-04  4.0e-02  2.7e-01  2.1e-01  1.1e-03  2.1e-01
