   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.457e+07  -9e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  4.6e-01  0.0e+00  0.0e+00
   1  T 0   8.219e+07  -8e+00  0.12  1.0e-01  6.7e-04  1.0e-01  5.6e+00  2.2e-01  4.1e-03  2.2e-01
   2  T 0   7.133e+07  -7e+00  0.14  1.0e-01  6.7e-04  1.0e-01  5.6e+00  2.1e-01  1.2e-03  2.1e-01
   3  T 0   6.197e+07  -6e+00  0.11  1.0e-01  6.8e-04  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.0e-01
   4  T 0   5.414e+07  -6e+00  0.13  1.0e-01  7.0e-04  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.1e-01
   5  T 0   4.739e+07  -5e+00  0.09  1.0e-01  7.3e-04  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.0e-01
   6  T 0   4.082e+07  -4e+00  0.12  1.0e-01  1.1e-03  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.0e-01
   7  T 0   3.328e+07  -4e+00  0.10  1.0e-01  6.9e-04  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.1e-01
   8  T 0   2.577e+07  -3e+00  0.14  1.0e-01  7.3e-04  1.0e-01  5.7e+00  2.0e-01  1.2e-03  2.1e-01
   9  T 0   1.979e+07  -2e+00  0.13  1.0e-01  1.4e-03  1.0e-01  5.6e+00  2.0e-01  1.2e-03  2.0e-01
  10  T 0   1.283e+07  -2e+00  0.53  1.0e-01  5.1e-04  1.0e-01  5.2e+00  2.1e-01  1.2e-03  2.1e-01
  11  T 0   9.869e+06  -2e+00  0.51  1.0e-01  9.6e-04  1.0e-01  4.2e+00  2.1e-01  1.2e-03  2.1e-01
  12  T 0   7.636e+06  -1e+00  0.71  1.0e-01  7.1e-04  1.0e-01  3.5e+00  2.1e-01  1.2e-03  2.1e-01
