   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   9.457e+07  -9e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  4.7e-01  0.0e+00  0.0e+00
   1  T 0   8.219e+07  -8e+00  0.12  1.0e-01  6.7e-04  1.0e-01  5.6e+00  2.3e-01  3.8e-03  2.4e-01
   2  T 0   7.133e+07  -7e+00  0.14  1.0e-01  6.7e-04  1.0e-01  5.6e+00  2.0e-01  1.3e-03  2.0e-01
   3  T 0   6.197e+07  -6e+00  0.11  1.0e-01  6.8e-04  1.0e-01  5.7e+00  2.0e-01  1.5e-03  2.1e-01
   4  T 0   5.414e+07  -6e+00  0.13  1.0e-01  7.0e-04  1.0e-01  5.7e+00  2.1e-01  1.5e-03  2.1e-01
   5  T 0   4.739e+07  -5e+00  0.09  1.0e-01  7.3e-04  1.0e-01  5.7e+00  2.1e-01  1.4e-03  2.1e-01
   6  T 0   4.082e+07  -4e+00  0.11  1.0e-01  1.1e-03  1.0e-01  5.7e+00  2.2e-01  1.5e-03  2.2e-01
   7  T 0   3.332e+07  -4e+00  0.10  1.0e-01  6.9e-04  1.0e-01  5.6e+00  2.1e-01  1.5e-03  2.1e-01
   8  T 0   2.585e+07  -3e+00  0.13  1.0e-01  7.3e-04  1.0e-01  5.6e+00  2.0e-01  1.5e-03  2.0e-01
   9  T 0   1.993e+07  -3e+00  0.12  1.0e-01  1.6e-03  1.0e-01  5.6e+00  2.0e-01  1.5e-03  2.0e-01
  10  T 0   1.373e+07  -2e+00  0.53  1.0e-01  4.9e-04  1.0e-01  5.6e+00  2.1e-01  1.5e-03  2.1e-01
  11  T 0   1.073e+07  -2e+00  0.51  1.0e-01  6.1e-04  1.0e-01  4.2e+00  2.1e-01  1.6e-03  2.1e-01
  12  T 0   7.386e+06  -1e+00  0.76  1.0e-01  5.9e-04  1.0e-01  4.2e+00  2.1e-01  1.5e-03  2.2e-01
  13  T 0   6.356e+06  -1e+00  0.74  1.0e-01  4.2e-04  1.0e-01  3.0e+00  2.1e-01  1.5e-03  2.1e-01
  14  T 0   5.336e+06  -8e-01  0.83  1.0e-01  1.1e-03  1.0e-01  3.0e+00  2.0e-01  1.5e-03  2.0e-01
  15  T 0   4.765e+06  -6e-01  0.81  1.0e-01  5.3e-04  1.0e-01  2.6e+00  2.1e-01  1.6e-03  2.1e-01
  16  T 0   4.215e+06  -5e-01  0.87  1.0e-01  1.2e-03  1.0e-01  2.6e+00  2.0e-01  1.5e-03  2.1e-01
  17  T 0   4.124e+06  -4e-01  0.85  1.0e-01  9.3e-03  1.0e-01  2.3e+00  2.0e-01  1.5e-03  2.1e-01
  18  T 0   3.788e+06  -3e-01  0.85  1.0e-01  1.9e-03  1.0e-01  2.5e+00  2.0e-01  1.6e-03  2.1e-01
  19  F 0   3.788e+06  -3e-01  0.85  7.0e-02  1.9e-03  0.0e+00  0.0e+00  2.0e-01  1.5e-03  2.1e-01
  19  T 1   3.567e+06  -3e-01  0.83  8.4e-02  1.1e-03  7.0e-02  1.7e+00  2.1e-01  1.0e-03  2.1e-01
  20  T 0   3.404e+06  -2e-01  0.87  1.0e-01  1.4e-03  8.4e-02  1.8e+00  2.0e-01  1.5e-03  2.1e-01
  21  T 0   3.334e+06  -2e-01  0.88  1.0e-01  2.1e-03  1.0e-01  2.0e+00  2.0e-01  1.5e-03  2.1e-01
  22  T 0   3.205e+06  -2e-01  0.88  1.0e-01  1.4e-03  1.0e-01  2.0e+00  2.0e-01  1.4e-03  2.1e-01
  23  T 0   3.076e+06  -1e-01  0.90  1.0e-01  1.1e-03  1.0e-01  1.8e+00  2.0e-01  1.4e-03  2.1e-01
  24  T 0   3.001e+06  -1e-01  0.91  1.0e-01  1.5e-03  1.0e-01  1.6e+00  2.2e-01  1.6e-03  2.2e-01
  25  T 0   2.911e+06  -8e-02  0.91  1.0e-01  8.7e-04  1.0e-01  1.5e+00  2.1e-01  1.5e-03  2.1e-01
  26  T 0   2.855e+06  -6e-02  0.92  1.0e-01  6.6e-04  1.0e-01  1.2e+00  2.0e-01  1.6e-03  2.1e-01
  27  T 0   2.774e+06  -5e-02  0.92  1.0e-01  8.5e-04  1.0e-01  1.0e+00  2.1e-01  1.5e-03  2.2e-01
  28  T 0   2.748e+06  -3e-02  0.93  1.0e-01  1.6e-03  1.0e-01  8.1e-01  2.1e-01  1.5e-03  2.1e-01
  29  T 0   2.715e+06  -3e-02  0.93  1.0e-01  5.7e-04  1.0e-01  8.0e-01  2.1e-01  1.2e-03  2.1e-01
  30  T 0   2.650e+06  -1e-02  0.94  1.0e-01  1.0e-03  1.0e-01  7.5e-01  2.1e-01  1.5e-03  2.1e-01
  31  T 0   2.621e+06  -4e-03  0.94  1.0e-01  2.3e-03  1.0e-01  5.9e-01  2.0e-01  2.1e-03  2.1e-01
  32  T 0   2.605e+06   7e-06  0.94  1.0e-01  6.0e-04  1.0e-01  5.7e-01  2.4e-01  2.2e-03  2.4e-01
  33  T 0   2.576e+06  -6e-06  0.95  1.0e-01  1.5e-03  1.0e-01  5.5e-01  2.5e-01  2.5e-03  2.5e-01
  34  T 0   2.563e+06  -6e-09  0.95  1.0e-01  1.6e-03  1.0e-01  5.0e-01  2.1e-01  2.2e-03  2.1e-01
  35  T 0   2.547e+06   4e-06  0.96  1.0e-01  7.0e-04  1.0e-01  4.8e-01  2.1e-01  2.1e-03  2.1e-01
  36  T 0   2.537e+06  -9e-07  0.96  1.0e-01  1.3e-03  1.0e-01  3.9e-01  2.1e-01  2.0e-03  2.2e-01
  37  T 0   2.531e+06   0e+00  0.97  1.0e-01  1.4e-03  1.0e-01  4.0e-01  2.0e-01  2.0e-03  2.1e-01
  38  T 0   2.523e+06  -9e-05  0.97  1.0e-01  6.9e-04  1.0e-01  4.2e-01  2.1e-01  1.7e-03  2.1e-01
  39  T 0   2.512e+06  -1e-06  0.97  1.0e-01  9.1e-04  1.0e-01  4.1e-01  2.0e-01  2.1e-03  2.1e-01
  40  T 0   2.504e+06   2e-06  0.97  1.0e-01  1.1e-03  1.0e-01  4.0e-01  2.0e-01  1.9e-03  2.1e-01
  41  T 0   2.497e+06  -3e-06  0.97  1.0e-01  2.1e-03  1.0e-01  3.9e-01  2.1e-01  2.1e-03  2.1e-01
  42  T 0   2.490e+06  -4e-15  0.98  1.0e-01  2.5e-04  1.0e-01  3.5e-01  2.0e-01  2.0e-03  2.1e-01
  43  T 0   2.485e+06   1e-06  0.98  1.0e-01  6.9e-04  1.0e-01  3.3e-01  2.2e-01  2.3e-03  2.2e-01
  44  T 0   2.477e+06  -2e-06  0.98  1.0e-01  1.9e-04  1.0e-01  3.3e-01  2.0e-01  2.1e-03  2.1e-01
  45  T 0   2.473e+06  -3e-06  0.98  1.0e-01  3.3e-04  1.0e-01  3.2e-01  2.0e-01  2.0e-03  2.1e-01
  46  T 0   2.470e+06  -5e-07  0.98  1.0e-01  2.5e-04  1.0e-01  3.3e-01  2.0e-01  1.9e-03  2.0e-01
  47  T 0   2.466e+06  -1e-06  0.98  1.0e-01  1.8e-04  1.0e-01  3.2e-01  2.1e-01  2.2e-03  2.1e-01
  48  T 0   2.464e+06  -2e-07  0.98  1.0e-01  1.8e-04  1.0e-01  3.3e-01  2.1e-01  2.0e-03  2.1e-01
  49  T 0   2.462e+06  -7e-06  0.98  1.0e-01  2.0e-04  1.0e-01  3.5e-01  2.1e-01  2.3e-03  2.1e-01
  50  T 0   2.462e+06   6e-05  0.98  1.0e-01  2.6e-04  1.0e-01  3.5e-01  2.0e-01  2.1e-03  2.1e-01
  51  T 0   2.458e+06   3e-07  0.99  1.0e-01  4.5e-04  1.0e-01  3.6e-01  2.0e-01  2.1e-03  2.1e-01
  52  T 0   2.457e+06   1e-05  0.99  1.0e-01  6.4e-04  1.0e-01  3.3e-01  2.1e-01  2.3e-03  2.1e-01
  53  T 0   2.455e+06   5e-06  0.99  1.0e-01  7.8e-05  1.0e-01  3.0e-01  2.2e-01  1.9e-03  2.2e-01
  54  T 0   2.454e+06   4e-06  0.99  1.0e-01  1.3e-04  1.0e-01  2.4e-01  2.0e-01  2.0e-03  2.1e-01
  55  T 0   2.453e+06  -8e-06  0.99  1.0e-01  1.6e-04  1.0e-01  2.4e-01  2.0e-01  1.9e-03  2.1e-01
  56  F 0   2.453e+06  -8e-06  0.99  7.0e-02  1.6e-04  0.0e+00  0.0e+00  2.0e-01  2.2e-03  2.1e-01
  56  F 1   2.453e+06  -8e-06  0.99  4.9e-02  1.6e-04  0.0e+00  0.0e+00  2.1e-01  1.3e-03  2.1e-01
  56  T 2   2.453e+06   3e-05  0.99  5.9e-02  2.8e-04  4.9e-02  1.7e-01  2.0e-01  1.3e-03  2.1e-01
  57  T 0   2.448e+06   4e-07  0.99  7.1e-02  6.6e-04  5.9e-02  2.0e-01  2.6e-01  2.1e-03  2.6e-01
  58  T 0   2.447e+06   4e-05  0.99  8.5e-02  3.7e-05  7.1e-02  2.0e-01  2.0e-01  1.8e-03  2.1e-01
  59  T 0   2.447e+06   3e-06  0.99  1.0e-01  1.8e-04  8.5e-02  2.1e-01  2.1e-01  2.1e-03  2.2e-01
  60  T 0   2.446e+06  -1e-13  0.99  1.0e-01  1.7e-04  9.2e-02  2.0e-01  2.1e-01  2.0e-03  2.1e-01
  61  T 0   2.445e+06   6e-07  0.99  1.0e-01  1.6e-04  1.0e-01  2.3e-01  2.0e-01  1.9e-03  2.1e-01
  62  T 0   2.444e+06  -1e-14  0.99  1.0e-01  1.5e-04  9.6e-02  2.4e-01  2.1e-01  2.0e-03  2.1e-01
  63  T 0   2.444e+06  -4e-06  0.99  1.0e-01  1.7e-04  1.0e-01  2.5e-01  2.0e-01  1.9e-03  2.1e-01
