   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX||   T_s      T_o      T_t
   0  T 0   1.353e+09  -4e+00  1.00  1.0e-01  0.0e+00  1.0e+00  1.0e+00  5.2e-01  0.0e+00  0.0e+00
   1  T 0   1.134e+09  -3e+00  0.40  1.0e-01  4.0e-04  2.9e-01  1.4e+01  2.9e-01  8.7e-03  2.9e-01
   2  T 0   9.149e+08  -3e+00  0.37  1.0e-01  4.0e-04  3.0e-01  1.4e+01  2.8e-01  2.6e-03  2.9e-01
   3  T 0   6.959e+08  -2e+00  0.35  1.0e-01  4.7e-04  3.8e-01  1.7e+01  2.8e-01  2.7e-03  2.8e-01
   4  F 0   6.959e+08  -2e+00  0.35  1.0e-01  4.7e-04  0.0e+00  0.0e+00  2.7e-01  3.0e-03  2.8e-01
   4  F 1   6.959e+08  -2e+00  0.35  1.0e-01  4.7e-04  0.0e+00  0.0e+00  2.8e-01  1.9e-03  2.8e-01
   4  T 2   5.892e+08  -2e+00  0.42  1.0e-01  3.8e-04  2.8e-01  9.9e+00  2.8e-01  1.9e-03  2.8e-01
   5  T 0   4.748e+08  -1e+00  0.55  1.0e-01  7.5e-03  4.2e-01  1.4e+01  2.8e-01  2.8e-03  2.8e-01
   6  F 0   4.748e+08  -1e+00  0.55  1.0e-01  7.5e-03  0.0e+00  0.0e+00  2.7e-01  2.7e-03  2.7e-01
   6  T 1   4.463e+08  -1e+00  0.51  1.0e-01  4.0e-04  4.6e-01  3.6e+00  2.8e-01  1.9e-03  2.8e-01
   7  T 0   3.848e+08  -1e+00  0.60  1.0e-01  5.0e-04  7.0e-01  9.9e+00  3.0e-01  2.7e-03  3.1e-01
   8  T 0   3.481e+08  -1e+00  0.65  1.0e-01  3.2e-04  1.0e+00  9.3e+00  2.8e-01  2.8e-03  2.8e-01
   9  T 0   3.201e+08  -9e-01  0.68  1.0e-01  2.8e-04  4.8e-01  7.1e+00  2.8e-01  2.7e-03  2.9e-01
  10  T 0   2.937e+08  -8e-01  0.71  1.0e-01  4.3e-04  4.2e-01  6.1e+00  3.0e-01  2.7e-03  3.0e-01
  11  T 0   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  5.7e-01  5.9e+00  3.2e-01  2.7e-03  3.2e-01
  12  F 0   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.8e-01  2.7e-03  2.8e-01
  12  F 1   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.7e-01  2.0e-03  2.7e-01
  12  F 2   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.8e-01  2.0e-03  2.8e-01
  12  F 3   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.7e-01  1.9e-03  2.8e-01
  12  F 4   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.8e-01  1.9e-03  2.9e-01
  12  F 5   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  3.3e-01  2.0e-03  3.4e-01
  12  F 6   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.8e-01  2.0e-03  2.8e-01
  12  F 7   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.7e-01  1.9e-03  2.8e-01
  12  F 8   2.731e+08  -7e-01  0.74  1.0e-01  1.3e-03  0.0e+00  0.0e+00  2.8e-01  1.9e-03  2.8e-01
